name x y flux0 flux1 flux2 width rv
F10175 -41.825 -22.107 1.53e-17 1.17e-17 7.82e-18  5.26 -1122.73
F10159 -41.759 -21.922 1.93e-17 1.08e-17 1.00e-17 12.82 -1122.81
F10170 -41.754 -21.895 1.60e-17 1.12e-17 8.27e-18 10.75 -1122.74
F10163 -41.743 -21.963 2.18e-17 1.12e-17 7.98e-18 13.73 -1122.63
F10182 -41.742 -21.924 1.80e-17 1.19e-17 4.98e-18  5.64 -1122.52
F10178 -41.735 -21.810 1.47e-17 1.27e-17 8.84e-18 13.46 -1122.81
F10172 -41.718 -21.903 1.11e-17 1.06e-17 6.13e-18 13.36 -1122.58
F10161 -41.703 -21.904 1.70e-17 1.22e-17 7.01e-18  6.43 -1122.73
F10174 -41.701 -21.917 1.72e-17 1.06e-17 8.86e-18 14.44 -1122.70
F10168 -41.698 -21.906 1.57e-17 1.01e-17 7.11e-18  8.23 -1122.62
F10180 -41.697 -21.897 1.98e-17 1.08e-17 6.98e-18 10.04 -1122.74
F10167 -41.687 -21.863 1.56e-17 1.56e-17 9.21e-18 13.38 -1122.78
F10176 -41.674 -22.011 1.27e-17 1.04e-17 5.92e-18  7.52 -1122.75
F10179 -41.672 -21.393 1.33e-17 1.12e-17 4.53e-18  7.80 -1122.81
F10165 -41.667 -21.985 1.30e-17 1.14e-17 5.11e-18  6.57 -1122.68
F10162 -41.640 -21.951 1.28e-17 1.23e-17 4.92e-18  9.25 -1122.70
F10177 -41.617 -21.847 1.41e-17 1.06e-17 7.56e-18  8.68 -1122.73
F10156 -41.588 -21.791 1.33e-17 1.12e-17 8.60e-18  8.02 -1122.71
F10160 -41.544 -22.088 1.43e-17 1.21e-17 6.30e-18 17.26 -1122.76
