name x y flux1 flux2 flux3 par rv
P01429 -29.969  -2.035 1.75e-14 8.03e-15 4.02e-15   0.002    0.56
P05817 -29.940  -6.404 3.14e-16 2.28e-16 1.44e-16   0.000   -1.37
P10056 -29.951  -3.225 1.18e-13 2.34e-13 3.39e-13   0.002   -0.90
P07859 -29.961  -2.439 3.13e-14 1.31e-14 6.56e-15  -0.000   -0.10
P07212 -29.886  -2.259 8.56e-16 4.69e-16 3.00e-16   0.001    0.29
P05470 -29.890  -1.953 3.74e-14 1.80e-14 7.34e-15   0.001    0.32
P03564 -29.827  -1.900 4.03e-15 2.07e-15 1.27e-15   0.001    0.50
P06005 -29.837  -4.259 3.84e-16 2.68e-16 1.67e-16   0.002   -1.39
P04260 -29.796  -3.077 2.26e-16 1.42e-16 1.12e-16   0.002   -1.03
P01802 -29.850  -4.080 3.99e-16 2.76e-16 1.90e-16   0.000   -1.43
P07041 -29.759  -2.673 4.46e-16 3.21e-16 1.71e-16  -0.000   -0.46
P08505 -29.691  -3.425 1.40e-16 1.13e-16 6.49e-17   0.001   -1.24
P05169 -29.507 -10.950 6.16e-17 5.68e-17 3.72e-17   0.003   -1.38
P09139 -29.528  -3.187 7.56e-15 4.13e-15 1.69e-15   0.002   -1.35
P07062 -29.392  -4.370 1.05e-16 9.50e-17 5.81e-17   0.002   -1.93
P05829 -29.468  -2.685 1.31e-16 1.15e-16 7.36e-17   0.000   -0.69
P09828 -29.278  -5.033 6.22e-16 4.74e-16 2.26e-16   0.001   -2.10
P09751 -29.263  -2.366 6.54e-17 5.89e-17 4.21e-17   0.002   -1.10
P00774 -29.190  -3.159 6.99e-16 5.07e-16 2.64e-16   0.002   -1.70
P05353 -29.231  -1.527 7.75e-16 5.67e-16 2.80e-16   0.003    0.07
P09792 -28.994  -3.852 7.00e-13 3.81e-13 2.43e-13   0.002   -2.00
P09755 -28.885  -5.165 1.11e-14 5.81e-15 2.73e-15   0.002   -2.19
P05519 -28.810  -3.627 9.86e-16 5.94e-16 2.97e-16   0.003   -2.01
P02427 -28.807  -3.387 5.71e-17 5.58e-17 3.84e-17   0.002   -1.31
P09788 -28.733  -0.936 3.07e-16 2.39e-16 1.46e-16   0.002   -0.04
P02170 -28.713  -4.425 1.94e-15 1.01e-15 6.13e-16   0.003   -2.35
P04358 -28.608  -6.278 1.96e-15 1.29e-15 7.27e-16   0.003   -2.37
P03177 -28.547  -3.690 1.05e-16 8.36e-17 4.87e-17   0.001   -2.03
P00706 -28.557  -7.877 3.07e-16 2.23e-16 1.35e-16   0.001   -2.29
P07580 -28.351  -4.558 1.24e-14 6.78e-15 3.07e-15   0.002   -2.42
P09862 -27.982  -3.369 1.88e-14 9.86e-15 4.79e-15   0.001   -1.64
P01000 -27.741  -2.871 6.06e-16 4.57e-16 2.39e-16   0.001   -1.35
P00714 -27.783  -3.610 5.70e-16 3.25e-16 1.95e-16   0.000   -1.75
P06509 -27.517  -5.933 4.61e-13 2.83e-13 1.21e-13  -0.001   -2.68
P07234 -27.399  -3.362 1.80e-17 1.84e-17 1.54e-17   0.001   -1.53
P06591 -27.253  -5.534 4.98e-17 4.08e-17 3.31e-17   0.002   -2.75
P02861 -26.898  -2.169 2.49e-14 1.27e-14 5.17e-15   0.002   -0.78
P03378 -25.923 -13.442 5.54e-17 5.68e-17 3.91e-17   0.000   -2.45
P02764 -19.446 -12.813 3.28e-17 2.41e-17 1.65e-17  -0.000    1.83
P03355 -19.323 -14.405 9.87e-17 6.43e-17 3.49e-17  -0.001    2.03
P10168 -19.139 -14.557 2.29e-17 1.82e-17 1.21e-17   0.001    1.84
P07795 -19.016 -14.434 5.48e-14 7.27e-14 7.52e-14   0.001    1.77
P04090 -18.760 -14.755 3.17e-17 2.49e-17 1.71e-17   0.000    1.13
P09662 -18.737 -14.861 4.31e-14 2.60e-14 1.17e-14   0.001    0.78
P05173 -18.216 -14.093 1.10e-13 8.40e-14 4.41e-14   0.001    0.76
