name x y flux0 flux1 flux2 width rv
F04920 -25.285 -26.008 8.96e-17 7.48e-17 4.11e-17 19.51 -506.48
F04917 -24.617 -25.293 5.43e-17 4.12e-17 3.30e-17 23.33 -506.34
F04928 -24.311 -26.056 6.81e-17 5.21e-17 2.64e-17 27.33 -506.49
F04939 -24.274 -25.720 6.01e-17 4.04e-17 2.87e-17 23.82 -506.67
F04921 -24.254 -25.796 9.16e-17 5.27e-17 3.99e-17 36.46 -506.65
F04945 -24.250 -25.594 7.08e-17 4.74e-17 3.30e-17 12.21 -506.61
F04944 -24.232 -24.821 5.87e-17 3.39e-17 2.66e-17 15.56 -506.40
F04929 -24.206 -25.613 9.34e-17 5.23e-17 3.98e-17 21.92 -506.56
F04940 -24.198 -25.231 7.49e-17 4.38e-17 2.52e-17 15.34 -506.73
F04938 -24.170 -25.831 4.78e-17 4.02e-17 2.46e-17 35.68 -506.56
F04930 -24.169 -25.520 8.81e-17 6.62e-17 3.25e-17 38.18 -506.70
F04923 -24.166 -25.601 8.57e-17 5.40e-17 3.86e-17 28.70 -506.70
F04931 -24.153 -25.562 8.11e-17 7.69e-17 3.13e-17 17.98 -506.33
F04941 -24.153 -25.679 8.20e-17 5.49e-17 4.75e-17 25.33 -506.75
F04922 -24.149 -25.660 8.52e-17 4.63e-17 3.35e-17 30.94 -506.54
F04935 -24.119 -25.622 7.97e-17 7.53e-17 4.06e-17 14.38 -506.63
F04943 -24.113 -25.673 6.94e-17 5.25e-17 3.19e-17 28.48 -506.53
F04942 -24.112 -25.641 7.72e-17 4.66e-17 2.45e-17 19.12 -506.53
F04925 -24.107 -25.644 8.57e-17 7.17e-17 4.09e-17 21.40 -506.47
F04927 -24.091 -25.680 4.76e-17 5.38e-17 3.85e-17 17.45 -506.64
F04914 -24.089 -25.531 4.51e-17 2.50e-17 2.02e-17 18.10 -506.61
F04926 -24.075 -25.616 8.68e-17 4.42e-17 3.22e-17 21.93 -506.47
F04913 -24.073 -25.670 9.22e-17 5.78e-17 4.35e-17 14.53 -506.51
F04934 -24.054 -25.656 7.62e-17 7.00e-17 4.25e-17 17.89 -506.69
F04924 -24.046 -25.659 1.18e-16 5.37e-17 4.40e-17 12.47 -506.51
F04918 -24.034 -25.420 4.94e-17 3.69e-17 2.98e-17 28.91 -506.58
F04932 -24.011 -25.171 7.37e-17 4.14e-17 3.17e-17 25.58 -506.44
F04933 -23.909 -25.544 8.95e-17 5.78e-17 3.68e-17 13.76 -506.66
F04915 -23.903 -25.904 6.12e-17 5.40e-17 2.74e-17 25.60 -506.58
F04916 -23.867 -25.896 9.17e-17 5.43e-17 3.18e-17 21.07 -506.60
F04936 -23.855 -25.588 6.90e-17 5.23e-17 3.14e-17 17.06 -506.45
F04937 -23.772 -25.356 7.35e-17 5.53e-17 2.98e-17 17.57 -506.71
F04919 -23.439 -25.016 7.52e-17 6.33e-17 4.30e-17 14.76 -506.65
F03327 -19.602 -24.709 3.26e-17 2.44e-17 1.52e-17 10.03 -898.43
F03324 -19.601 -24.779 3.72e-17 2.48e-17 1.90e-17 11.67 -898.20
F03334 -19.567 -24.633 3.25e-17 2.18e-17 1.27e-17  7.84 -898.49
F03337 -19.510 -24.738 2.11e-17 1.48e-17 1.12e-17 12.32 -898.42
F03322 -19.509 -24.710 2.33e-17 1.38e-17 8.80e-18 13.30 -898.40
F03332 -19.500 -24.733 2.64e-17 1.55e-17 9.50e-18 15.54 -898.46
F03333 -19.483 -24.698 2.38e-17 1.94e-17 9.94e-18 14.91 -898.46
F03339 -19.475 -24.803 1.59e-17 1.55e-17 7.63e-18 10.29 -898.49
F03336 -19.474 -24.757 1.67e-17 1.36e-17 6.64e-18 16.12 -898.46
F03340 -19.470 -24.722 3.19e-17 2.83e-17 1.27e-17 11.21 -898.57
F03343 -19.470 -24.764 2.42e-17 1.29e-17 1.23e-17 14.75 -898.40
F03341 -19.467 -24.698 3.34e-17 1.69e-17 1.63e-17 12.21 -898.54
F03326 -19.453 -24.758 1.93e-17 1.72e-17 1.07e-17 20.08 -898.32
F03329 -19.453 -24.731 1.83e-17 1.74e-17 9.92e-18 13.43 -898.51
F03321 -19.449 -24.831 2.16e-17 1.53e-17 1.01e-17 17.15 -898.27
F03330 -19.447 -24.739 2.18e-17 1.43e-17 8.69e-18 13.39 -898.36
F03342 -19.442 -24.750 2.05e-17 1.49e-17 1.21e-17  9.21 -898.39
F03338 -19.442 -24.744 1.63e-17 1.10e-17 7.51e-18 11.94 -898.53
F03328 -19.441 -24.743 2.45e-17 1.48e-17 1.05e-17 12.33 -898.33
F03335 -19.440 -24.742 2.69e-17 3.28e-17 1.55e-17 14.44 -898.35
F03331 -19.439 -24.748 2.58e-17 2.16e-17 2.03e-17 10.16 -898.52
F03345 -19.433 -24.761 2.43e-17 1.68e-17 1.35e-17 13.00 -898.47
F03344 -19.429 -24.766 2.12e-17 1.63e-17 1.16e-17 11.21 -898.43
F03325 -19.412 -24.791 1.85e-17 1.56e-17 9.00e-18  5.67 -898.42
F03323 -19.128 -24.702 2.81e-17 2.00e-17 1.72e-17 10.25 -898.48
F02131 -17.339 -15.560 1.78e-17 1.82e-17 1.13e-17 10.11 -905.30
F02137 -17.159 -15.494 2.38e-17 1.85e-17 1.19e-17 12.24 -905.32
F02133 -17.113 -15.550 2.36e-17 1.57e-17 1.26e-17 11.84 -905.28
F02124 -17.105 -15.153 2.86e-17 2.35e-17 1.27e-17 11.65 -905.28
F02122 -17.101 -15.725 1.88e-17 1.30e-17 1.07e-17 10.75 -905.27
F02129 -17.088 -15.649 1.81e-17 1.51e-17 8.62e-18 13.08 -905.39
F02138 -17.076 -15.506 2.96e-17 2.08e-17 1.65e-17 12.97 -905.45
F02139 -17.063 -15.456 1.94e-17 1.44e-17 1.08e-17  9.26 -905.50
F02127 -17.042 -15.542 3.03e-17 2.44e-17 1.13e-17 18.69 -905.32
F02135 -17.037 -15.543 2.23e-17 2.04e-17 9.05e-18  8.86 -905.28
F02128 -17.029 -15.517 1.70e-17 1.14e-17 9.52e-18  7.39 -905.33
F02134 -17.028 -15.508 1.83e-17 1.54e-17 8.97e-18 19.57 -905.35
F02117 -17.021 -15.522 1.34e-17 1.19e-17 6.42e-18 14.32 -905.53
F02146 -17.017 -19.801 1.53e-17 1.13e-17 7.34e-18 13.77 -1108.77
F02132 -17.016 -15.557 3.03e-17 1.59e-17 1.33e-17 14.11 -905.49
F02115 -17.014 -15.517 2.62e-17 2.60e-17 1.03e-17 13.84 -905.27
F02119 -17.007 -15.496 2.40e-17 2.27e-17 1.38e-17 13.71 -905.33
F02123 -16.996 -15.522 2.51e-17 1.88e-17 1.46e-17 14.53 -905.27
F04363 -16.994 -19.752 2.04e-17 1.25e-17 8.87e-18  4.78 -950.49
F02120 -16.990 -15.532 2.32e-17 1.01e-17 9.92e-18 12.36 -905.46
F02116 -16.987 -15.454 1.95e-17 1.50e-17 1.10e-17 11.14 -905.17
F02121 -16.986 -15.484 2.87e-17 1.70e-17 9.45e-18 10.82 -905.22
F02136 -16.984 -15.514 1.64e-17 1.32e-17 7.70e-18 16.06 -905.35
F02126 -16.972 -15.480 2.62e-17 2.39e-17 1.40e-17 10.51 -905.42
F04377 -16.968 -19.258 2.23e-17 1.55e-17 7.97e-18 16.93 -950.53
F02118 -16.950 -15.518 2.43e-17 1.46e-17 1.40e-17 12.00 -905.50
F02142 -16.903 -19.821 2.27e-17 1.12e-17 8.39e-18 11.81 -1108.62
F02150 -16.885 -19.821 1.62e-17 1.46e-17 8.27e-18 10.67 -1108.95
F02159 -16.879 -19.819 1.83e-17 1.32e-17 8.04e-18  7.91 -1108.89
