name x y flux0 flux1 flux2 width rv
F08174  -1.002 -25.001 2.17e-17 1.65e-17 9.95e-18  8.80 -963.37
F08154  -0.711 -24.387 2.02e-17 1.79e-17 1.40e-17  8.02 -963.16
F08143  -0.363 -24.508 2.20e-17 1.15e-17 1.34e-17 11.79 -963.41
F08170  -0.357 -24.599 1.55e-17 1.08e-17 6.74e-18 11.89 -963.33
F08145  -0.338 -24.521 1.77e-17 1.33e-17 7.50e-18 15.38 -963.22
F08155  -0.336 -24.332 1.89e-17 1.53e-17 8.46e-18 20.26 -963.33
F08160  -0.317 -24.377 2.23e-17 1.88e-17 1.09e-17 13.56 -963.26
F08137  -0.291 -24.643 3.04e-17 2.11e-17 1.06e-17 12.95 -963.24
F08179  -0.285 -24.547 2.75e-17 1.36e-17 1.07e-17  8.17 -963.24
F08140  -0.276 -24.577 1.69e-17 1.16e-17 7.36e-18 11.19 -963.28
F08178  -0.264 -24.331 2.48e-17 1.70e-17 1.05e-17  9.61 -963.20
F08159  -0.251 -24.433 1.54e-17 1.17e-17 7.15e-18 10.74 -963.33
F08141  -0.246 -24.561 1.77e-17 1.59e-17 1.18e-17 16.04 -963.23
F08171  -0.244 -24.484 1.15e-17 1.09e-17 7.08e-18 10.14 -963.28
F08180  -0.237 -24.476 1.88e-17 1.52e-17 7.90e-18 10.02 -963.18
F08173  -0.233 -24.462 1.76e-17 1.82e-17 1.08e-17 12.80 -963.24
F08151  -0.232 -24.415 2.54e-17 1.82e-17 1.02e-17 11.09 -963.32
F08163  -0.230 -24.519 2.21e-17 1.18e-17 7.69e-18  8.17 -963.29
F08142  -0.224 -24.534 2.12e-17 1.43e-17 9.76e-18  9.49 -963.40
F08139  -0.224 -24.503 1.93e-17 1.29e-17 7.85e-18 15.63 -963.12
F08147  -0.222 -24.462 2.01e-17 1.12e-17 7.88e-18 13.70 -963.26
F08158  -0.220 -24.463 2.30e-17 2.19e-17 9.59e-18 12.24 -963.33
F08135  -0.218 -24.445 2.10e-17 1.39e-17 8.61e-18 10.15 -963.27
F08138  -0.213 -24.446 2.37e-17 1.14e-17 8.90e-18 12.07 -963.57
F08167  -0.210 -24.457 2.34e-17 2.07e-17 6.17e-18 11.82 -963.32
F08165  -0.207 -24.457 2.04e-17 1.58e-17 9.22e-18 11.20 -963.25
F08177  -0.202 -24.464 1.85e-17 1.54e-17 1.11e-17 12.52 -963.16
F08161  -0.202 -24.514 1.98e-17 1.69e-17 9.89e-18 12.27 -963.28
F08136  -0.200 -24.455 1.99e-17 1.72e-17 7.68e-18  7.18 -963.38
F08148  -0.199 -24.481 2.24e-17 1.30e-17 1.01e-17 11.95 -963.19
F08162  -0.196 -24.255 2.52e-17 1.37e-17 1.19e-17 11.20 -963.32
F08146  -0.192 -24.479 2.21e-17 1.39e-17 9.26e-18 12.80 -963.17
F08152  -0.179 -24.502 2.49e-17 1.36e-17 7.58e-18 10.41 -963.39
F08164  -0.176 -24.366 1.93e-17 1.62e-17 9.59e-18  7.55 -963.41
F08149  -0.171 -24.411 1.54e-17 1.05e-17 7.17e-18 13.48 -963.24
F08166  -0.161 -24.434 1.53e-17 1.51e-17 8.19e-18 16.77 -963.16
F08175  -0.160 -24.595 2.32e-17 1.50e-17 9.89e-18  5.29 -963.35
F08176  -0.153 -24.214 1.92e-17 1.72e-17 1.09e-17 14.42 -963.41
F08153  -0.146 -24.433 1.89e-17 1.83e-17 8.90e-18 10.82 -963.43
F08182  -0.144 -24.490 2.40e-17 1.46e-17 7.63e-18  9.23 -963.31
F08181  -0.134 -24.431 2.28e-17 1.66e-17 1.41e-17 12.84 -963.13
F08157  -0.128 -24.160 2.24e-17 1.45e-17 8.88e-18 16.49 -963.16
F08156  -0.123 -24.491 1.66e-17 1.13e-17 8.48e-18 12.81 -963.42
F08133  -0.112 -24.491 2.57e-17 1.37e-17 6.95e-18 18.04 -963.35
F08169  -0.042 -24.515 2.20e-17 1.28e-17 8.69e-18 16.62 -963.28
