name x y flux0 flux1 flux2 width rv
F08168   0.086 -24.308 2.08e-17 2.25e-17 1.16e-17  8.99 -963.16
F08172   0.346 -24.581 1.86e-17 1.39e-17 1.09e-17 12.89 -963.25
F06495   2.566 -19.018 1.31e-17 1.25e-17 7.39e-18 10.75 -909.14
F06500   2.583 -19.089 3.61e-17 2.81e-17 1.22e-17 12.07 -908.94
F06503   2.607 -19.059 1.84e-17 1.68e-17 9.11e-18 10.87 -909.22
F06488   2.717 -18.943 2.48e-17 2.49e-17 1.42e-17  7.63 -908.92
F06502   2.757 -18.744 2.38e-17 1.67e-17 1.08e-17  9.11 -909.16
F06494   2.770 -18.924 2.93e-17 1.95e-17 1.33e-17 13.21 -909.07
F06485   2.780 -18.963 2.03e-17 1.65e-17 1.33e-17 10.95 -909.24
F06478   2.803 -18.860 1.72e-17 1.37e-17 8.77e-18  9.03 -909.24
F06471   2.810 -18.845 3.31e-17 2.00e-17 1.14e-17  8.58 -909.09
F06483   2.814 -18.641 1.94e-17 1.23e-17 7.69e-18 10.63 -909.26
F06497   2.817 -18.818 2.15e-17 1.83e-17 1.08e-17 16.06 -909.10
F06491   2.821 -18.915 2.53e-17 1.33e-17 1.13e-17 11.63 -909.18
F06481   2.828 -18.881 3.10e-17 1.74e-17 1.21e-17  8.07 -909.17
F06489   2.835 -18.894 2.92e-17 2.22e-17 1.64e-17 14.83 -908.93
F06496   2.841 -18.865 2.90e-17 1.47e-17 9.69e-18 10.44 -908.96
F06484   2.855 -18.872 3.29e-17 2.89e-17 1.42e-17 12.02 -908.89
F06473   2.856 -18.879 2.47e-17 1.38e-17 1.41e-17 11.17 -908.97
F06472   2.857 -18.891 4.45e-17 2.04e-17 1.42e-17 13.15 -909.04
F06498   2.857 -18.972 2.97e-17 2.12e-17 1.61e-17 12.61 -909.07
F06475   2.863 -18.887 2.60e-17 1.35e-17 1.29e-17 13.82 -908.98
F06482   2.867 -18.876 1.70e-17 1.41e-17 7.45e-18 10.73 -909.15
F06504   2.868 -18.874 2.02e-17 1.47e-17 1.07e-17 16.53 -908.89
F06487   2.871 -18.923 2.29e-17 1.58e-17 9.15e-18 12.15 -908.93
F06486   2.878 -18.961 3.33e-17 2.44e-17 1.07e-17 11.80 -908.98
F06470   2.879 -18.924 3.20e-17 2.35e-17 1.10e-17  8.39 -909.12
F06493   2.900 -18.816 2.17e-17 1.20e-17 9.42e-18 13.16 -909.11
F06474   2.902 -19.020 3.80e-17 2.25e-17 2.06e-17 15.98 -909.19
F06479   2.905 -18.996 2.13e-17 1.63e-17 1.24e-17  9.89 -909.12
F06476   2.943 -18.816 2.00e-17 1.70e-17 1.05e-17  6.54 -909.13
F06480   2.947 -18.898 2.91e-17 2.27e-17 1.58e-17 11.71 -909.06
F06490   2.955 -19.021 1.75e-17 1.66e-17 8.59e-18 10.46 -909.11
F06499   2.983 -18.774 2.20e-17 1.09e-17 9.33e-18  8.58 -908.99
F06501   3.075 -19.010 1.96e-17 1.67e-17 7.61e-18  8.53 -909.14
F06477   3.108 -18.946 2.63e-17 1.66e-17 7.77e-18  9.91 -909.20
F06492   3.179 -18.832 3.13e-17 1.93e-17 1.85e-17 18.80 -909.09
F01688   8.723 -15.197 2.10e-17 1.30e-17 9.90e-18 13.93 -781.86
F01725   9.023 -15.646 2.79e-17 2.00e-17 9.45e-18 15.00 -781.69
F01707   9.036 -15.163 4.05e-17 2.91e-17 2.20e-17 19.19 -782.23
F01684   9.057 -15.051 3.14e-17 3.14e-17 1.32e-17 17.98 -781.98
F01730   9.106 -15.076 3.31e-17 1.65e-17 1.29e-17 12.96 -782.07
F01681   9.122 -15.157 3.37e-17 2.06e-17 1.15e-17 18.36 -781.91
F01695   9.167 -15.048 3.93e-17 2.66e-17 1.45e-17 11.20 -781.95
F01719   9.184 -15.000 2.05e-17 1.56e-17 8.13e-18 16.52 -781.90
F01692   9.228 -15.009 3.84e-17 2.23e-17 1.22e-17 19.84 -781.97
F01678   9.248 -15.005 3.29e-17 2.66e-17 1.71e-17 17.49 -781.94
F01691   9.268 -15.148 2.60e-17 2.07e-17 1.02e-17 11.29 -781.97
F01698   9.274 -15.077 2.01e-17 1.44e-17 1.54e-17 11.90 -781.88
F01700   9.296 -15.013 3.79e-17 3.02e-17 1.82e-17 12.10 -782.04
F01689   9.318 -15.011 2.68e-17 2.14e-17 1.46e-17 12.95 -781.87
F01714   9.320 -15.095 3.64e-17 2.47e-17 2.29e-17 17.90 -781.84
F01731   9.323 -15.008 1.74e-17 1.59e-17 1.10e-17 17.81 -782.04
F01679   9.356 -15.033 4.07e-17 2.75e-17 2.39e-17 11.60 -782.14
F01711   9.381 -15.021 3.48e-17 2.20e-17 1.50e-17 13.28 -782.15
F01694   9.411 -15.253 3.55e-17 2.83e-17 1.37e-17 11.03 -782.00
F01728   9.429 -15.091 3.80e-17 2.15e-17 1.61e-17 12.52 -782.10
F01677   9.437 -15.010 3.79e-17 2.64e-17 1.30e-17 12.26 -782.08
F01732   9.489 -15.089 3.48e-17 2.77e-17 1.49e-17 11.32 -782.00
F01676   9.564 -15.184 4.01e-17 2.27e-17 1.65e-17 12.03 -782.07
F01721   9.631 -15.127 3.63e-17 2.46e-17 1.57e-17  7.90 -781.98
