name x y flux0 flux1 flux2 width rv
F01016  15.001   4.875 3.57e-17 2.22e-17 2.02e-17 16.18 -697.17
F06825  15.081  11.548 1.30e-15 8.66e-16 5.02e-16 116.04 -124.18
F06847  15.150  10.893 1.12e-15 8.50e-16 4.89e-16 87.69 -124.25
F01014  15.165   5.021 4.18e-17 2.34e-17 1.91e-17 18.83 -697.13
F00995  15.172   4.985 4.05e-17 2.37e-17 2.03e-17 25.05 -697.43
F00987  15.194   4.967 4.20e-17 2.92e-17 2.46e-17 21.61 -697.02
F01008  15.199   4.877 3.62e-17 2.18e-17 1.81e-17  9.90 -697.03
F00996  15.205   4.957 3.58e-17 2.03e-17 1.67e-17 18.25 -697.17
F01000  15.213   4.949 4.67e-17 3.34e-17 2.18e-17 14.21 -697.13
F01009  15.218   4.935 4.26e-17 3.67e-17 1.92e-17 11.15 -697.23
F01012  15.221   4.921 3.31e-17 2.13e-17 1.73e-17 13.63 -697.08
F00988  15.222   4.946 3.64e-17 2.46e-17 1.94e-17 14.91 -697.02
F01010  15.223   4.931 3.49e-17 2.99e-17 1.70e-17 21.61 -697.14
F00998  15.226   4.913 4.78e-17 3.13e-17 2.23e-17 17.81 -697.16
F00991  15.229   4.928 3.51e-17 2.59e-17 1.81e-17  7.37 -697.06
F01003  15.234   4.923 3.67e-17 2.14e-17 1.51e-17 27.87 -697.18
F01006  15.244   4.975 4.29e-17 2.81e-17 1.51e-17 28.02 -697.17
F00994  15.251   4.737 4.03e-17 2.03e-17 2.11e-17 20.54 -697.33
F01001  15.255   4.697 5.72e-17 3.56e-17 2.42e-17 14.53 -697.13
F01007  15.286   4.874 4.08e-17 1.97e-17 1.36e-17 15.00 -697.01
F00990  15.287   4.952 2.94e-17 2.71e-17 1.77e-17 11.45 -697.08
F00989  15.295   4.964 4.85e-17 3.13e-17 2.33e-17 13.23 -697.07
F01004  15.303   4.975 3.87e-17 2.54e-17 1.98e-17 14.75 -696.93
F00993  15.303   4.959 5.34e-17 3.64e-17 2.41e-17 17.65 -697.25
F00997  15.304   4.848 3.63e-17 2.88e-17 1.66e-17 15.28 -697.05
F01005  15.307   5.008 2.98e-17 2.15e-17 1.93e-17 16.78 -696.98
F01002  15.311   4.862 4.23e-17 3.48e-17 1.94e-17 10.03 -697.21
F06861  15.314  10.019 1.53e-15 1.07e-15 6.28e-16 80.95 -124.16
F00992  15.322   4.607 3.89e-17 2.73e-17 1.94e-17 15.26 -697.20
F01015  15.327   4.961 3.78e-17 3.20e-17 1.81e-17 16.12 -697.19
F07126  15.361  14.807 2.30e-17 1.66e-17 1.02e-17  8.47 -1010.37
F06860  15.408  10.515 1.59e-15 1.04e-15 5.44e-16 98.66 -124.28
