name x y flux0 flux1 flux2 width rv
F09028  30.491 -13.972 2.80e-17 1.53e-17 1.01e-17 16.15 -847.68
F09030  30.730 -14.137 2.27e-17 1.89e-17 1.35e-17 18.61 -847.88
F09033  30.755 -14.334 3.90e-17 1.90e-17 1.93e-17 13.41 -848.04
F09035  30.836 -14.191 2.46e-17 1.99e-17 1.20e-17 11.05 -847.92
F09018  30.892 -14.295 3.95e-17 2.26e-17 1.69e-17 18.57 -847.92
F09025  30.974 -14.214 2.54e-17 2.01e-17 1.16e-17 14.85 -847.73
F09020  30.994 -14.098 2.25e-17 1.97e-17 1.58e-17 15.64 -847.90
F09009  31.020 -14.259 2.35e-17 1.48e-17 1.30e-17 13.69 -847.99
F09027  31.037 -13.972 1.96e-17 1.62e-17 1.00e-17  7.58 -847.89
F09013  31.040 -14.240 2.92e-17 1.74e-17 1.50e-17  9.62 -847.76
F09031  31.055 -14.249 3.14e-17 2.19e-17 1.31e-17 16.36 -847.99
F09026  31.067 -14.237 2.30e-17 1.43e-17 1.38e-17  9.90 -847.93
F09021  31.077 -14.161 2.14e-17 1.88e-17 1.47e-17 11.76 -847.95
F09017  31.078 -14.230 2.26e-17 1.69e-17 8.93e-18 16.02 -847.97
F09037  31.078 -14.255 3.38e-17 2.03e-17 1.35e-17 15.10 -848.02
F09029  31.079 -14.238 3.37e-17 1.98e-17 1.59e-17 14.53 -847.87
F09016  31.085 -14.234 2.17e-17 1.58e-17 1.11e-17 11.68 -847.84
F09036  31.087 -14.250 2.54e-17 1.49e-17 1.05e-17 14.40 -847.90
F09040  31.089 -14.246 2.50e-17 1.98e-17 1.55e-17 11.51 -847.86
F09012  31.098 -14.277 3.90e-17 2.58e-17 2.50e-17 14.18 -847.66
F09022  31.102 -14.238 2.91e-17 2.05e-17 1.65e-17 10.75 -847.88
F09039  31.103 -14.248 2.57e-17 2.45e-17 1.21e-17 13.98 -847.99
F09010  31.106 -14.230 2.52e-17 1.77e-17 1.27e-17 17.76 -847.88
F09038  31.126 -14.476 4.12e-17 2.11e-17 1.41e-17 17.84 -847.92
F09034  31.127 -14.320 2.34e-17 1.53e-17 1.25e-17  9.86 -847.72
F09014  31.133 -14.240 1.84e-17 1.26e-17 9.54e-18 18.37 -847.78
F09032  31.151 -14.342 2.22e-17 2.37e-17 1.33e-17  9.69 -847.77
F09011  31.167 -14.146 3.59e-17 2.22e-17 2.11e-17  8.07 -847.83
F09023  31.179 -14.179 1.96e-17 1.59e-17 7.19e-18 14.21 -847.86
F09015  31.264 -14.374 2.03e-17 1.67e-17 8.34e-18 10.79 -847.84
F09019  31.276 -13.927 2.25e-17 1.38e-17 8.46e-18  8.18 -847.89
F09024  31.295 -14.539 2.52e-17 1.79e-17 1.28e-17 11.43 -847.81
F09008  31.461 -14.217 4.26e-17 2.86e-17 1.80e-17  8.80 -847.82
F10856  32.419 -10.710 1.72e-17 1.03e-17 7.92e-18 14.62 -1090.62
F10867  32.422 -10.613 1.33e-17 1.30e-17 1.05e-17 12.05 -1090.66
F10864  32.477 -10.519 1.65e-17 1.25e-17 7.13e-18  9.15 -1090.65
F10860  32.483 -10.758 1.83e-17 1.45e-17 6.33e-18 12.38 -1090.53
F10857  32.509 -10.791 1.67e-17 1.82e-17 7.58e-18 13.74 -1090.74
F10869  32.518 -10.872 2.10e-17 1.63e-17 9.58e-18  8.41 -1090.72
F10858  32.519 -10.850 1.91e-17 1.49e-17 1.01e-17 13.40 -1090.50
F10861  32.520 -10.793 1.29e-17 1.06e-17 9.04e-18 10.60 -1090.62
F10865  32.525 -10.808 1.53e-17 1.37e-17 9.08e-18 10.78 -1090.56
F10862  32.531 -10.856 1.42e-17 1.13e-17 4.85e-18 13.70 -1090.58
F10863  32.824 -10.739 2.54e-17 1.16e-17 1.07e-17 13.98 -1090.72
F01964  33.554 -14.843 3.80e-17 4.59e-17 2.43e-17  8.24 -635.06
F01972  33.606 -14.881 4.22e-17 2.76e-17 1.77e-17 11.58 -635.27
F01993  33.689 -14.888 5.37e-17 3.25e-17 2.02e-17 12.04 -635.17
F01970  33.712 -14.602 4.56e-17 3.53e-17 1.99e-17 22.93 -635.18
F01962  33.755 -14.880 5.92e-17 3.76e-17 2.24e-17 17.34 -635.11
F01983  33.757 -14.861 5.44e-17 2.85e-17 2.29e-17 27.60 -635.19
F01969  33.762 -14.986 5.37e-17 2.87e-17 1.89e-17 22.28 -635.20
F01980  33.776 -14.623 4.98e-17 3.44e-17 1.70e-17 20.61 -634.94
F01994  33.786 -14.841 3.47e-17 2.08e-17 1.48e-17 19.91 -635.15
