name x y flux0 flux1 flux2 width rv
F06247 -44.987  41.522 1.58e-17 1.13e-17 7.45e-18  9.02 -1027.20
F06234 -44.913  41.420 2.01e-17 1.47e-17 9.55e-18 11.35 -1027.25
F06254 -44.530  41.453 2.40e-17 1.73e-17 1.13e-17 12.79 -1027.06
F09680 -40.944  30.855 3.26e-17 2.25e-17 1.49e-17 14.93 -740.40
F09682 -40.820  30.412 4.31e-17 2.97e-17 1.91e-17 14.67 -740.48
F09673 -40.733  30.187 3.27e-17 2.29e-17 1.50e-17 17.63 -740.44
F09670 -40.691  30.179 3.96e-17 2.60e-17 1.88e-17 20.79 -740.43
F09651 -40.637  30.523 4.33e-17 3.04e-17 1.98e-17  7.60 -740.62
F09657 -40.637  30.370 4.55e-17 3.56e-17 2.22e-17  9.53 -740.53
F09663 -40.619  30.077 4.22e-17 2.99e-17 1.97e-17 15.64 -740.54
F09700 -40.582  30.150 2.96e-17 2.05e-17 1.32e-17  9.81 -740.54
F09675 -40.568  30.168 4.08e-17 3.07e-17 1.91e-17 14.67 -740.60
F09690 -40.566  30.245 3.29e-17 2.33e-17 1.58e-17 12.81 -740.42
F09679 -40.550  30.015 3.72e-17 2.66e-17 1.77e-17 16.10 -740.49
F09654 -40.544  30.368 3.04e-17 2.21e-17 1.51e-17 22.62 -740.52
F09697 -40.533  30.178 3.94e-17 2.79e-17 1.79e-17 19.79 -740.65
F09688 -40.527  30.112 3.83e-17 2.70e-17 1.72e-17 16.60 -740.46
F09693 -40.527  30.159 4.23e-17 3.11e-17 2.06e-17 13.72 -740.60
F09665 -40.525  30.318 4.07e-17 2.61e-17 1.81e-17 10.49 -740.61
F09701 -40.519  30.116 2.87e-17 2.05e-17 1.32e-17 10.83 -740.46
F09647 -40.517  30.245 2.98e-17 2.04e-17 1.37e-17  9.69 -740.76
F09676 -40.514  30.124 2.74e-17 1.95e-17 1.31e-17 14.46 -740.22
F09668 -40.510  30.124 2.69e-17 1.95e-17 1.30e-17 13.25 -740.57
F09669 -40.507  30.144 3.62e-17 2.50e-17 1.63e-17  9.70 -740.50
F09659 -40.497  30.169 3.98e-17 2.89e-17 1.99e-17 11.88 -740.65
F09660 -40.491  30.136 3.59e-17 2.43e-17 1.60e-17 11.91 -740.36
F09674 -40.490  30.182 3.20e-17 2.20e-17 1.39e-17 16.75 -740.42
F09687 -40.488  30.092 4.10e-17 2.99e-17 1.91e-17  8.02 -740.49
F09664 -40.487  30.141 3.58e-17 2.47e-17 1.66e-17 27.32 -740.42
F09653 -40.487  30.100 3.58e-17 2.60e-17 1.59e-17  8.17 -740.34
F09645 -40.486  30.095 3.15e-17 2.26e-17 1.47e-17 18.98 -740.58
F09702 -40.482  30.150 4.28e-17 3.16e-17 2.06e-17 17.17 -740.50
F09681 -40.478  30.135 1.63e-17 1.17e-17 8.10e-18 20.31 -740.47
F09699 -40.478  30.134 3.95e-17 2.80e-17 1.79e-17 16.29 -740.64
F09661 -40.477  30.127 3.45e-17 2.28e-17 1.56e-17 13.01 -740.51
F09692 -40.474  30.219 4.35e-17 3.11e-17 1.89e-17 15.96 -740.42
F09698 -40.471  30.150 3.30e-17 2.40e-17 1.48e-17 13.43 -740.53
F09671 -40.465  30.213 2.95e-17 2.14e-17 1.40e-17 15.49 -740.40
F09648 -40.464  30.111 3.31e-17 2.21e-17 1.55e-17 13.58 -740.46
F09646 -40.459  30.130 3.55e-17 2.62e-17 1.81e-17 22.97 -740.41
F09678 -40.458  30.127 3.47e-17 2.39e-17 1.48e-17 16.90 -740.31
F09696 -40.456  30.111 3.04e-17 2.06e-17 1.31e-17 10.91 -740.39
F09686 -40.455  30.142 4.45e-17 3.02e-17 1.94e-17 15.96 -740.62
F09652 -40.454  30.113 3.83e-17 2.64e-17 1.70e-17 21.21 -740.57
F09666 -40.443  30.072 3.06e-17 2.13e-17 1.37e-17 22.68 -740.71
F09695 -40.437  30.156 3.26e-17 2.38e-17 1.58e-17 18.22 -740.48
F09649 -40.432  30.071 3.68e-17 2.67e-17 1.79e-17 15.10 -740.39
F09672 -40.422  30.121 2.58e-17 1.70e-17 1.20e-17 16.73 -740.51
F09684 -40.415  30.146 3.98e-17 2.79e-17 1.81e-17 11.66 -740.41
F09689 -40.410  30.110 3.81e-17 2.73e-17 1.77e-17 17.73 -740.52
F09683 -40.391  30.114 3.00e-17 2.01e-17 1.23e-17 16.14 -740.36
F09655 -40.353  30.039 3.40e-17 2.49e-17 1.68e-17 12.80 -740.37
F09685 -40.310  30.366 3.13e-17 2.10e-17 1.43e-17  9.31 -740.51
F09662 -40.222  30.333 4.29e-17 3.08e-17 2.06e-17 11.77 -740.24
F09694 -40.188  30.165 2.97e-17 2.03e-17 1.41e-17 15.50 -740.33
