name x y flux1 flux2 flux3 par rv
P07523 -28.892 -14.682 3.48e-14 2.22e-14 9.25e-15   0.004    1.59
P02003 -28.380  -7.875 2.14e-17 3.18e-17 3.43e-17   0.005    0.08
P08704 -28.237 -12.327 6.56e-15 4.39e-15 2.22e-15   0.006    1.63
P02700 -28.238  -2.124 3.51e-12 3.12e-12 1.69e-12   0.004   -0.75
P04335 -27.770  -9.033 3.15e-16 3.42e-16 2.31e-16   0.005    0.47
P07419 -27.687 -10.273 5.52e-16 4.31e-16 3.58e-16   0.004    0.65
P04287 -27.062 -11.538 2.16e-17 3.06e-17 3.72e-17   0.004    1.88
P01767 -26.899  -8.725 4.38e-17 5.19e-17 4.89e-17   0.004    0.76
P08826 -26.923  -3.843 2.00e-16 2.21e-16 1.79e-16   0.004   -0.65
P02266 -26.606 -11.054 9.63e-17 5.14e-17 2.07e-17   0.005    1.69
P05864 -26.463  -9.703 1.63e-14 1.05e-14 4.95e-15   0.005    1.61
P01481 -26.484  -5.907 1.07e-13 4.92e-14 2.37e-14   0.004   -0.27
P02622 -26.438  -9.928 8.44e-15 5.69e-15 2.86e-15   0.005    1.33
P04704 -26.300 -12.836 1.15e-13 5.14e-14 2.64e-14   0.005    1.91
P04800 -26.222 -10.338 6.17e-12 3.07e-12 1.41e-12   0.007    1.69
P01662 -26.037 -13.828 4.50e-13 2.17e-13 8.83e-14   0.004    1.99
P03200 -25.969  -5.150 5.44e-14 3.10e-14 1.46e-14   0.005   -0.39
P02780 -25.923  -9.426 1.52e-15 1.08e-15 7.49e-16   0.004    1.48
P03836 -25.933  -5.300 3.96e-15 2.96e-15 1.57e-15   0.004   -0.29
P09937 -25.899  -6.276 1.92e-16 7.83e-17 3.59e-17   0.005    0.09
P00531 -25.835 -11.368 3.50e-12 1.93e-12 8.05e-13   0.005    1.63
P06868 -25.838  -2.622 3.30e-14 1.97e-14 8.24e-15   0.005   -1.01
P04218 -25.766  -8.205 1.35e-14 9.33e-15 4.69e-15   0.004    1.08
P00032 -25.780 -11.874 3.08e-13 1.68e-13 7.39e-14   0.004    1.82
P01697 -25.787 -10.785 9.86e-16 8.20e-16 5.66e-16   0.005    1.81
P09060 -25.633  -7.274 8.35e-17 4.56e-17 2.03e-17   0.004    0.60
P07220 -25.604 -10.445 7.22e-14 3.46e-14 1.79e-14   0.005    1.62
P10114 -25.522  -7.928 3.26e-14 1.59e-14 8.31e-15   0.006    0.96
P05717 -25.445  -8.658 7.09e-12 4.88e-12 2.28e-12   0.006    1.28
P04127 -25.450  -8.100 4.97e-16 5.31e-16 3.55e-16   0.006    1.11
P08359 -25.406  -8.176 6.61e-17 7.89e-17 7.67e-17   0.003    1.08
P05722 -25.428  -7.262 1.80e-16 1.93e-16 1.65e-16   0.004    0.84
P01022 -25.345  -5.022 1.27e-14 8.07e-15 4.58e-15   0.004   -0.68
P02062 -25.237  -7.444 6.83e-17 8.05e-17 7.77e-17   0.006    0.92
P01003 -25.142  -8.699 5.64e-12 3.30e-12 1.53e-12   0.007    0.69
P07089 -25.321  -5.345 3.99e-14 2.12e-14 1.01e-14   0.004   -0.37
P10153 -25.234  -6.881 7.25e-12 5.69e-12 3.67e-12   0.005    0.07
P08106 -25.154  -7.404 2.91e-12 4.35e-12 4.51e-12   0.004    0.23
P02711 -25.015  -4.457 7.71e-17 9.11e-17 9.60e-17   0.004   -1.29
P06837 -25.039  -7.146 7.67e-15 5.02e-15 2.99e-15   0.006    0.64
P06915 -24.952  -7.199 6.21e-16 6.18e-16 4.15e-16   0.003    0.79
P00154 -24.826  -7.865 2.47e-17 3.67e-17 3.96e-17   0.003    0.81
P03869 -24.818  -1.333 1.99e-13 9.25e-14 4.18e-14   0.005   -1.64
P05748 -24.806  -4.821 2.89e-15 2.09e-15 1.35e-15   0.006   -0.71
P03621 -24.747  -7.183 7.47e-12 5.71e-12 3.95e-12   0.005    0.92
P02550 -24.695 -11.275 1.79e-14 1.14e-14 6.07e-15   0.003    1.25
P10023 -24.739  -5.796 3.50e-15 2.35e-15 1.48e-15   0.005   -0.25
P09047 -24.627  -7.877 6.69e-15 4.70e-15 2.70e-15   0.004    1.04
P06976 -24.547  -3.520 1.71e-13 7.92e-14 3.88e-14   0.005   -1.98
P10025 -24.415  -4.612 7.65e-16 5.98e-16 4.28e-16   0.006   -0.90
P02759 -24.653  -5.362 4.54e-12 2.41e-12 1.20e-12   0.005   -0.95
P02770 -24.435  -4.523 4.82e-14 2.80e-14 1.23e-14   0.005   -0.93
P08577 -24.530  -5.548 1.37e-15 1.21e-15 7.56e-16   0.004   -0.52
P08456 -24.540  -6.569 1.78e-13 8.04e-14 3.73e-14   0.006    0.50
P03051 -24.429  -4.109 3.98e-17 2.02e-17 9.68e-18   0.005   -1.32
P10279 -24.485  -7.074 6.83e-16 6.59e-16 4.40e-16   0.006    0.56
P04349 -24.479  -4.296 1.93e-13 1.04e-13 4.58e-14   0.005   -0.93
P02435 -24.446  -5.304 1.03e-17 1.63e-17 2.05e-17   0.007   -0.80
P07906 -24.394  -5.665 1.40e-17 2.15e-17 2.57e-17   0.005   -0.33
P09115 -24.522  -0.804 5.35e-14 3.15e-14 1.53e-14   0.005   -2.33
P03934 -24.264  -4.943 3.96e-12 5.61e-12 5.34e-12   0.005   -0.92
P00100 -24.220  -5.575 6.63e-12 3.93e-12 2.27e-12   0.005   -0.21
P02224 -24.305  -7.036 4.86e-12 2.94e-12 1.22e-12   0.005    0.38
P01885 -24.097  -4.672 1.79e-14 9.88e-15 5.62e-15   0.005   -1.56
P03802 -24.145  -5.897 2.70e-13 1.31e-13 5.98e-14   0.005   -0.32
P08931 -24.021  -5.760 3.64e-12 1.59e-12 6.82e-13   0.007   -0.20
P08771 -24.209  -1.493 4.22e-15 2.97e-15 1.69e-15   0.006   -2.46
P01754 -24.057  -5.462 1.18e-14 6.27e-15 3.72e-15   0.005   -0.64
P06639 -24.029  -8.251 1.76e-16 1.98e-16 1.66e-16   0.003    0.84
P07659 -24.021  -6.480 3.54e-14 2.12e-14 1.00e-14   0.004    0.33
