name x y flux0 flux1 flux2 width rv
F05208 -26.520 -21.778 2.07e-17 1.27e-17 7.56e-18 11.64 -1012.32
F05205 -26.306 -21.232 2.00e-17 1.35e-17 9.41e-18 13.57 -1012.15
F05206 -26.189 -21.480 1.93e-17 1.34e-17 9.18e-18 10.22 -1012.13
F05203 -26.160 -21.506 2.02e-17 1.33e-17 8.17e-18 12.28 -1012.09
F05204 -26.155 -21.500 1.74e-17 1.65e-17 7.30e-18  9.97 -1012.09
F05213 -26.150 -21.468 1.55e-17 1.26e-17 1.00e-17  8.55 -1012.25
F05212 -26.079 -21.470 1.64e-17 1.11e-17 6.18e-18  9.92 -1012.33
F05207 -26.050 -21.533 2.82e-17 1.03e-17 9.62e-18 15.24 -1011.94
F05210 -26.048 -21.478 1.56e-17 1.58e-17 1.01e-17 15.28 -1012.34
F05214 -25.974 -21.463 1.90e-17 1.66e-17 9.56e-18 14.80 -1012.31
