name x y flux0 flux1 flux2 width rv
F07290  -4.542  31.868 2.22e-17 1.61e-17 9.16e-18  8.48 -741.85
F07248  -4.401  31.906 3.15e-17 2.22e-17 1.42e-17 15.38 -741.96
F07260  -4.398  31.916 3.33e-17 2.20e-17 1.53e-17 14.43 -741.92
F07262  -4.352  32.508 3.68e-17 2.41e-17 1.66e-17  8.56 -742.00
F07269  -4.280  31.884 3.25e-17 2.09e-17 1.23e-17 25.62 -741.80
F07277  -4.189  31.917 3.88e-17 2.44e-17 1.72e-17 18.50 -741.85
F07275  -4.157  31.944 3.86e-17 2.56e-17 1.73e-17 14.70 -741.73
F07281  -4.143  31.940 3.02e-17 2.01e-17 1.29e-17 12.33 -742.01
F07287  -4.133  31.990 3.58e-17 2.49e-17 1.58e-17 12.92 -741.83
F07252  -4.131  31.936 3.22e-17 2.17e-17 1.40e-17 15.62 -741.74
F07264  -4.129  31.938 3.47e-17 2.31e-17 1.59e-17 11.90 -741.87
F07273  -4.119  31.997 3.23e-17 2.19e-17 1.45e-17 20.26 -741.87
F07274  -4.117  32.001 3.22e-17 2.17e-17 1.39e-17  9.84 -741.83
F07261  -4.116  32.030 3.54e-17 2.40e-17 1.41e-17 16.13 -741.80
F07289  -4.109  31.995 3.86e-17 2.57e-17 1.73e-17 16.85 -742.01
F07291  -4.107  31.970 3.58e-17 2.67e-17 1.63e-17 17.90 -741.89
F07272  -4.102  31.938 2.70e-17 1.58e-17 1.21e-17 16.71 -741.91
F07266  -4.099  31.994 3.49e-17 2.27e-17 1.62e-17 11.40 -741.75
F07286  -4.098  31.948 3.22e-17 2.38e-17 1.55e-17 13.67 -741.83
F07282  -4.097  32.037 3.22e-17 2.33e-17 1.40e-17 12.37 -742.04
F07284  -4.096  32.027 4.20e-17 2.68e-17 2.02e-17 17.33 -741.81
F07271  -4.095  31.999 3.52e-17 2.56e-17 1.71e-17 14.11 -741.97
F07249  -4.093  31.996 3.68e-17 2.43e-17 1.65e-17 12.81 -741.80
F07250  -4.092  32.002 4.08e-17 2.84e-17 1.67e-17 18.29 -741.69
F07258  -4.089  32.056 4.52e-17 3.30e-17 1.98e-17 16.17 -741.89
F07263  -4.089  32.012 4.54e-17 3.00e-17 2.06e-17 16.53 -741.89
F07285  -4.087  32.057 2.79e-17 2.24e-17 1.31e-17 14.85 -741.93
F07251  -4.083  31.936 3.47e-17 2.36e-17 1.43e-17 13.98 -741.79
F07270  -4.083  31.994 3.97e-17 2.83e-17 1.75e-17  9.93 -741.79
F07267  -4.078  31.978 3.68e-17 2.45e-17 1.71e-17 17.28 -741.82
F07256  -4.075  31.996 3.81e-17 2.88e-17 1.82e-17 14.40 -741.89
F07288  -4.074  31.936 3.31e-17 2.28e-17 1.67e-17 12.09 -742.11
F07259  -4.071  31.926 4.37e-17 3.27e-17 1.97e-17  7.75 -741.83
F07253  -4.067  32.008 4.21e-17 2.98e-17 1.89e-17 16.49 -741.80
F07280  -4.063  32.010 4.33e-17 3.28e-17 1.93e-17 11.70 -741.78
F07268  -4.062  31.989 3.87e-17 2.72e-17 2.04e-17  9.89 -742.01
F07278  -4.057  31.986 3.21e-17 2.13e-17 1.30e-17 14.01 -741.80
F07276  -4.054  32.069 3.27e-17 2.26e-17 1.57e-17  7.05 -741.77
F07255  -3.958  32.034 3.46e-17 2.45e-17 1.72e-17 13.89 -741.97
F07254  -3.941  31.930 3.80e-17 2.96e-17 1.81e-17 16.87 -741.76
F07283  -3.890  32.134 3.50e-17 2.89e-17 1.70e-17 14.27 -741.91
F07257  -3.884  32.449 3.30e-17 2.51e-17 1.36e-17 19.25 -742.03
F07265  -3.867  32.201 2.97e-17 2.14e-17 1.18e-17 15.87 -741.95
F07279  -3.841  31.862 3.35e-17 2.44e-17 1.55e-17 21.32 -741.90
F03787  -0.190  40.879 1.39e-17 1.05e-17 6.50e-18 12.54 -1094.36
F03795  -0.186  41.137 1.58e-17 1.16e-17 7.19e-18  9.19 -1094.13
F03806  -0.083  40.988 2.20e-17 1.50e-17 9.06e-18 16.69 -1094.31
F03792  -0.067  40.998 1.56e-17 1.08e-17 7.14e-18  7.85 -1094.34
F03802  -0.054  41.007 1.66e-17 1.08e-17 6.92e-18  7.61 -1094.16
F03803  -0.037  41.138 1.60e-17 1.05e-17 7.71e-18  8.49 -1094.26
F03784  -0.023  41.025 1.55e-17 1.07e-17 7.22e-18 14.66 -1094.35
F03785  -0.019  41.330 1.79e-17 1.22e-17 8.66e-18  3.77 -1094.37
F03799  -0.019  41.015 1.49e-17 1.15e-17 8.43e-18 10.64 -1094.35
F03798  -0.013  41.027 1.47e-17 1.11e-17 6.97e-18 11.99 -1094.18
F03801  -0.012  41.033 1.97e-17 1.44e-17 8.92e-18 11.57 -1094.42
F03790  -0.007  41.031 1.92e-17 1.46e-17 8.93e-18 10.02 -1094.39
F03778  -0.003  41.093 1.77e-17 1.25e-17 8.31e-18  9.74 -1094.27
