name x y flux1 flux2 flux3 par rv
P03178 -14.955 -36.904 4.47e-16 3.90e-16 2.47e-16   0.003   -0.78
P05731 -14.808 -40.414 2.71e-15 1.96e-15 9.58e-16   0.003    1.02
P06049 -14.894 -34.572 6.03e-15 5.13e-15 2.88e-15   0.005   -1.29
P05510 -14.633 -42.380 1.26e-17 1.71e-17 2.08e-17   0.005    1.30
P04306 -14.796 -39.804 4.25e-16 3.87e-16 2.79e-16   0.005    0.81
P03755 -14.653 -41.849 1.61e-16 1.75e-16 1.18e-16   0.004    1.17
P05325 -14.580 -42.062 2.10e-15 1.33e-15 7.19e-16   0.004    1.21
P09693 -14.359 -38.303 4.07e-14 2.46e-14 8.97e-15   0.003    0.10
P10005 -14.439 -38.106 4.02e-16 3.36e-16 2.81e-16   0.002    0.06
P07805 -13.262 -38.258 2.64e-14 1.25e-14 5.77e-15   0.004    0.34
P01136 -13.315 -40.999 2.12e-14 1.62e-14 7.37e-15   0.005    1.06
P10277 -13.096 -32.162 1.01e-17 1.59e-17 1.63e-17   0.004   -1.35
P05580 -12.423 -42.673 3.57e-17 4.78e-17 4.47e-17   0.003    1.51
P10233 -12.276 -40.141 2.94e-17 1.57e-17 9.40e-18   0.006    0.98
P02169 -11.899 -38.269 2.52e-14 1.24e-14 6.13e-15   0.002    0.72
P02529 -12.028 -37.582 1.03e-14 6.61e-15 3.78e-15   0.006   -1.25
P03684 -11.633 -34.734 8.30e-15 4.80e-15 3.21e-15   0.003   -0.57
P03702 -10.674 -39.631 2.03e-14 1.25e-14 5.61e-15   0.003    1.17
P01358  -9.857 -39.657 1.49e-17 2.17e-17 2.59e-17   0.004    0.90
P10316  -8.155 -38.353 2.33e-17 2.75e-17 3.65e-17   0.004    0.78
P03625  -7.667 -43.169 3.01e-13 1.66e-13 6.42e-14   0.006   -0.83
P08346  -7.469 -32.600 1.49e-13 6.79e-14 3.47e-14   0.004   -0.16
P08397  -3.774 -39.701 8.38e-14 5.05e-14 2.28e-14   0.002    1.34
P05140  -2.711 -37.489 1.38e-17 1.96e-17 2.07e-17   0.005    1.20
P04725  -1.821 -44.134 3.21e-14 1.81e-14 9.52e-15   0.004    1.96
