name x y flux0 flux1 flux2 width rv
F01030   0.637 -16.663 2.63e-17 1.37e-17 9.55e-18 19.06 -859.23
F01025   0.656 -16.805 4.13e-17 1.89e-17 1.17e-17 13.79 -859.07
F01027   0.916 -16.852 2.73e-17 1.48e-17 9.39e-18 18.42 -859.15
F01032   0.952 -16.648 2.83e-17 1.87e-17 1.28e-17 15.60 -859.11
F01031   0.955 -16.625 2.59e-17 2.27e-17 1.28e-17 10.12 -859.26
F01019   0.959 -16.378 3.68e-17 2.87e-17 1.67e-17 14.02 -859.08
F01033   0.975 -16.643 2.75e-17 2.21e-17 1.08e-17  8.46 -859.21
F01026   0.985 -16.631 2.06e-17 1.27e-17 8.65e-18 12.10 -859.10
F01020   0.988 -16.653 2.72e-17 1.77e-17 1.42e-17 12.02 -859.09
F01021   0.995 -16.630 2.66e-17 2.59e-17 1.49e-17 10.47 -859.15
F01017   0.996 -16.629 2.38e-17 1.50e-17 1.73e-17  8.38 -859.05
F01028   0.997 -16.629 3.61e-17 2.31e-17 1.08e-17  8.60 -858.90
F01024   0.997 -16.646 1.20e-17 1.29e-17 7.57e-18 20.69 -859.32
F01018   1.023 -16.878 3.06e-17 1.65e-17 1.95e-17 11.12 -859.29
F01023   1.134 -16.437 2.01e-17 1.45e-17 6.29e-18  9.55 -859.08
F01029   1.199 -16.577 2.17e-17 1.30e-17 9.93e-18  7.89 -859.16
F01022   1.663 -16.190 2.03e-17 1.34e-17 1.11e-17  5.92 -859.03
F07349   2.604 -24.251 1.23e-17 1.44e-17 7.47e-18 14.98 -1000.78
F07341   2.618 -24.231 2.18e-17 1.12e-17 1.10e-17 12.09 -1000.80
F07345   2.625 -24.297 2.00e-17 1.92e-17 8.08e-18  8.97 -1000.84
F07339   2.629 -24.283 1.44e-17 1.23e-17 7.81e-18 10.34 -1000.97
F07360   2.654 -24.290 2.63e-17 1.33e-17 1.15e-17 20.48 -1000.99
F07343   2.657 -24.276 2.41e-17 1.17e-17 9.51e-18  8.75 -1000.77
F07363   2.659 -24.318 1.30e-17 1.20e-17 8.89e-18  7.97 -1000.95
F07355   2.663 -24.295 2.82e-17 1.24e-17 8.32e-18  9.54 -1000.95
F07352   2.667 -24.617 2.18e-17 1.16e-17 8.68e-18 10.26 -1001.09
F07338   2.675 -24.339 1.80e-17 1.30e-17 7.20e-18  9.43 -1000.96
F07354   2.675 -24.298 2.37e-17 1.66e-17 1.37e-17 11.71 -1000.83
F07347   2.676 -24.247 1.85e-17 1.05e-17 9.29e-18 12.75 -1000.90
F07362   2.678 -24.375 2.10e-17 1.47e-17 9.64e-18 10.75 -1000.91
F07350   2.682 -24.311 2.58e-17 1.70e-17 9.91e-18  5.25 -1000.92
F07346   2.682 -24.193 1.87e-17 2.23e-17 9.70e-18 12.59 -1000.93
F07356   2.682 -24.307 1.48e-17 1.44e-17 9.70e-18 10.90 -1000.87
F07348   2.689 -24.408 2.18e-17 1.28e-17 9.23e-18 12.75 -1001.01
F07359   2.694 -24.337 1.81e-17 1.32e-17 6.74e-18 14.52 -1000.95
F07357   2.694 -24.398 2.42e-17 1.32e-17 8.43e-18 12.50 -1000.97
F07351   2.695 -24.294 1.80e-17 1.29e-17 8.65e-18 11.80 -1000.94
F07353   2.696 -24.321 1.52e-17 1.23e-17 8.41e-18 11.09 -1000.77
F07358   2.702 -24.291 1.55e-17 1.55e-17 8.74e-18  7.14 -1000.76
F07361   2.719 -23.996 1.49e-17 1.29e-17 9.41e-18 11.04 -1000.98
F07340   2.725 -24.284 1.68e-17 1.26e-17 9.78e-18  9.57 -1000.70
F07342   2.771 -24.170 1.66e-17 1.44e-17 8.09e-18 14.42 -1001.06
F07344   2.821 -24.421 1.51e-17 1.08e-17 6.23e-18  8.84 -1001.07
