name x y flux0 flux1 flux2 width rv
F08897  26.112  43.885 2.42e-17 1.79e-17 1.09e-17 10.50 -888.22
F08898  26.185  44.009 2.83e-17 1.88e-17 1.12e-17 15.66 -888.10
F08900  26.187  43.949 2.53e-17 1.72e-17 1.18e-17 12.60 -887.96
F08922  26.189  43.744 3.12e-17 2.48e-17 1.66e-17  8.50 -888.09
F08899  26.262  44.393 2.63e-17 1.95e-17 1.06e-17  8.27 -888.03
F08929  26.292  44.035 2.30e-17 1.89e-17 1.05e-17 15.10 -888.18
F08919  26.301  43.653 2.74e-17 2.07e-17 1.23e-17 10.85 -887.99
F08911  26.358  44.560 2.95e-17 1.92e-17 1.28e-17  9.32 -888.12
F08904  26.362  44.169 2.06e-17 1.41e-17 8.70e-18 14.94 -888.12
F08938  26.363  44.001 2.69e-17 1.67e-17 1.27e-17  8.73 -888.02
F08927  26.390  44.047 2.26e-17 1.63e-17 1.19e-17 16.79 -888.14
F08920  26.419  44.313 2.29e-17 1.61e-17 1.07e-17 10.87 -887.99
F08936  26.440  43.925 2.14e-17 1.39e-17 1.10e-17 24.06 -888.04
F08925  26.448  44.224 2.73e-17 1.82e-17 1.23e-17 14.23 -887.96
F08930  26.456  43.852 3.48e-17 2.14e-17 1.52e-17 15.11 -887.85
F08914  26.466  44.100 2.58e-17 1.78e-17 1.05e-17 15.40 -888.12
F08939  26.494  44.044 2.50e-17 1.60e-17 9.21e-18 13.12 -887.85
F08937  26.502  44.476 2.42e-17 2.13e-17 1.21e-17  9.52 -887.94
F08933  26.507  44.092 2.18e-17 1.45e-17 1.03e-17  9.78 -887.96
F08932  26.516  44.206 2.53e-17 1.77e-17 1.23e-17  9.84 -888.01
F08926  26.532  44.276 2.42e-17 1.78e-17 1.35e-17 15.16 -888.06
F08916  26.539  44.057 2.43e-17 2.14e-17 1.14e-17 11.99 -888.07
F08910  26.541  44.104 2.61e-17 1.53e-17 1.02e-17 14.08 -887.98
F08895  26.544  44.136 2.71e-17 1.94e-17 1.18e-17 13.99 -887.98
F08913  26.545  44.162 2.30e-17 1.71e-17 1.05e-17 13.93 -888.10
F08935  26.546  44.111 2.06e-17 1.60e-17 9.53e-18 11.54 -887.98
F08894  26.546  44.134 2.79e-17 1.93e-17 1.14e-17  7.68 -888.07
F08905  26.547  44.099 2.28e-17 1.69e-17 1.01e-17 15.32 -887.96
F08915  26.550  43.851 2.71e-17 1.94e-17 1.26e-17  7.34 -888.01
F08924  26.559  44.114 1.35e-17 1.01e-17 5.84e-18  9.73 -888.22
F08942  26.564  44.116 2.42e-17 1.76e-17 1.20e-17 18.86 -888.10
F08921  26.568  44.060 2.49e-17 1.53e-17 9.86e-18 16.23 -887.98
F08908  26.569  44.112 2.73e-17 1.79e-17 1.23e-17 16.90 -887.87
F08901  26.575  44.095 1.73e-17 1.38e-17 9.51e-18 14.43 -887.91
F08928  26.575  44.049 2.67e-17 1.76e-17 1.24e-17 11.16 -888.04
F08918  26.579  44.127 2.49e-17 1.48e-17 1.07e-17 10.80 -887.99
F08940  26.579  44.072 2.91e-17 2.02e-17 1.36e-17 10.99 -887.90
F08917  26.587  43.921 2.62e-17 1.67e-17 1.05e-17  8.88 -888.24
F08931  26.595  44.126 2.49e-17 2.02e-17 1.15e-17  8.38 -888.04
F08923  26.623  44.267 2.47e-17 1.63e-17 1.21e-17  8.80 -887.99
F08906  26.625  44.135 2.20e-17 1.67e-17 1.11e-17 12.97 -888.04
F08912  26.650  44.295 2.98e-17 1.95e-17 1.22e-17 10.99 -888.03
F08941  26.669  44.113 2.05e-17 1.51e-17 1.14e-17  9.40 -887.95
F08907  26.678  43.910 2.89e-17 1.81e-17 1.27e-17 10.72 -888.06
F08902  26.741  44.151 2.36e-17 1.53e-17 1.17e-17 11.77 -888.09
F08903  26.850  43.623 2.56e-17 1.86e-17 1.28e-17 13.85 -887.98
F08896  26.908  44.315 1.81e-17 1.34e-17 7.86e-18 15.04 -888.03
F08934  26.941  43.884 2.97e-17 2.11e-17 1.28e-17 11.90 -888.10
F05255  28.463  30.010 1.61e-17 1.34e-17 7.59e-18 10.54 -1126.33
