name x y flux0 flux1 flux2 width rv
F08335  43.693 -15.458 2.06e-17 1.23e-17 9.03e-18 13.27 -978.36
F08313  43.892 -15.923 1.74e-17 1.41e-17 1.22e-17 10.92 -978.41
F08334  44.041 -15.684 2.64e-17 1.49e-17 9.38e-18 11.06 -978.38
F08311  44.051 -15.818 1.89e-17 1.44e-17 1.10e-17 18.94 -978.32
F08305  44.055 -15.744 3.24e-17 1.93e-17 1.35e-17 10.85 -978.31
F08312  44.063 -15.950 2.35e-17 1.81e-17 8.71e-18  9.37 -978.36
F08303  44.066 -15.797 1.34e-17 1.15e-17 7.79e-18 20.99 -978.36
F08307  44.072 -15.872 3.04e-17 2.15e-17 1.70e-17 13.42 -978.30
F08323  44.073 -15.694 1.84e-17 1.02e-17 6.92e-18  9.21 -978.36
F08338  44.076 -15.821 1.60e-17 1.18e-17 8.69e-18  9.32 -978.21
F08316  44.078 -15.748 1.59e-17 2.15e-17 9.70e-18  7.08 -978.28
F08320  44.079 -15.810 1.59e-17 1.06e-17 7.96e-18 12.34 -978.43
F08325  44.092 -15.813 1.76e-17 1.46e-17 1.31e-17 12.61 -978.22
F08304  44.093 -15.814 2.32e-17 1.72e-17 1.08e-17  8.36 -978.30
F08315  44.093 -15.802 1.96e-17 1.38e-17 1.24e-17  9.06 -978.33
F08309  44.095 -15.876 2.04e-17 1.90e-17 1.01e-17  9.45 -978.31
F08324  44.096 -15.818 2.02e-17 1.13e-17 9.54e-18 10.15 -978.53
F08301  44.099 -15.815 1.92e-17 1.35e-17 7.54e-18 10.57 -978.49
F08336  44.100 -15.814 1.68e-17 1.47e-17 7.73e-18 10.50 -978.35
F08314  44.101 -15.814 2.03e-17 1.33e-17 9.38e-18 14.80 -978.24
F08300  44.103 -15.812 2.58e-17 1.22e-17 9.91e-18 17.84 -978.24
F08332  44.104 -15.820 1.85e-17 1.23e-17 1.10e-17  9.35 -978.21
F08317  44.111 -15.862 1.97e-17 1.59e-17 7.46e-18 15.44 -978.31
F08322  44.116 -15.877 1.89e-17 1.66e-17 1.07e-17  9.89 -978.29
F08302  44.119 -15.824 2.08e-17 1.48e-17 1.08e-17  6.93 -978.21
F08321  44.123 -15.863 1.95e-17 1.05e-17 6.50e-18  7.46 -978.27
F08337  44.125 -15.771 2.13e-17 1.53e-17 1.16e-17 13.80 -978.07
F08308  44.138 -15.827 2.10e-17 1.16e-17 9.55e-18 12.32 -978.27
F08318  44.162 -15.793 1.45e-17 1.17e-17 7.79e-18 20.00 -978.35
F08306  44.172 -15.954 2.47e-17 1.95e-17 1.60e-17 11.61 -978.32
F08327  44.180 -15.825 2.04e-17 1.82e-17 8.29e-18 12.90 -978.32
F08333  44.183 -15.868 2.23e-17 1.76e-17 8.20e-18  5.94 -978.11
F08329  44.219 -15.819 2.29e-17 1.74e-17 1.09e-17 15.20 -978.32
F08330  44.249 -16.127 2.19e-17 1.25e-17 9.10e-18 14.31 -978.34
F08310  44.637 -15.827 1.94e-17 1.43e-17 9.58e-18  7.31 -978.34
