name x y flux0 flux1 flux2 width rv
F04984 -43.022 -24.869 7.26e-17 4.81e-17 2.72e-17 30.80 -508.66
F04983 -42.971 -25.567 6.95e-17 4.35e-17 4.30e-17 19.46 -508.61
F04974 -42.967 -25.535 5.77e-17 4.72e-17 2.26e-17 17.10 -508.56
F04946 -42.965 -25.316 9.34e-17 6.42e-17 3.44e-17 20.87 -508.64
F04992 -42.802 -25.021 9.07e-17 6.19e-17 4.39e-17 15.96 -508.51
F04962 -42.720 -25.472 9.46e-17 6.14e-17 3.57e-17 14.64 -508.51
F04970 -42.702 -24.841 6.53e-17 6.38e-17 3.88e-17 20.89 -508.52
F04969 -42.699 -24.552 6.66e-17 4.35e-17 3.47e-17 17.77 -508.54
F04963 -42.689 -25.271 6.72e-17 5.69e-17 3.27e-17 27.18 -508.52
F04985 -42.672 -25.204 9.30e-17 4.88e-17 3.93e-17 22.66 -508.50
F04989 -42.659 -25.026 4.81e-17 4.51e-17 3.46e-17 25.76 -508.56
F04954 -42.631 -25.108 5.98e-17 5.25e-17 2.95e-17 26.87 -508.65
F04967 -42.620 -25.136 7.93e-17 5.89e-17 3.77e-17 18.71 -508.55
F04979 -42.619 -25.168 5.76e-17 4.43e-17 2.73e-17 25.69 -508.48
F04971 -42.616 -25.237 8.15e-17 6.46e-17 3.62e-17 23.68 -508.74
F04948 -42.614 -24.843 5.73e-17 4.26e-17 3.13e-17 23.55 -508.61
F04982 -42.606 -25.162 6.39e-17 4.11e-17 3.74e-17 28.33 -508.75
F04959 -42.604 -25.034 1.01e-16 7.38e-17 4.28e-17 21.71 -508.67
F04991 -42.604 -25.201 4.86e-17 4.51e-17 1.61e-17 17.57 -508.42
F04964 -42.602 -25.146 9.45e-17 6.35e-17 5.10e-17 11.35 -508.68
F04953 -42.598 -24.838 8.57e-17 4.76e-17 3.88e-17 22.05 -508.71
F04981 -42.596 -25.343 9.41e-17 4.91e-17 3.23e-17  1.23 -508.56
F04949 -42.588 -24.954 6.80e-17 4.46e-17 2.48e-17 21.68 -508.59
F04961 -42.573 -25.181 7.53e-17 6.53e-17 4.74e-17 23.56 -508.81
F04980 -42.572 -25.185 6.17e-17 5.08e-17 3.67e-17 22.10 -508.79
F04988 -42.566 -25.190 8.76e-17 6.55e-17 3.59e-17 19.27 -508.39
F04947 -42.555 -25.136 8.43e-17 4.74e-17 2.87e-17 16.74 -508.64
F04968 -42.551 -25.057 8.07e-17 5.58e-17 4.01e-17 12.40 -508.61
F04960 -42.507 -25.015 8.96e-17 5.64e-17 4.06e-17 28.56 -508.74
F04955 -42.484 -24.688 6.18e-17 3.44e-17 2.19e-17 15.37 -508.47
F04977 -42.481 -24.828 8.78e-17 4.68e-17 2.97e-17 27.03 -508.60
F04950 -42.479 -25.018 4.88e-17 3.50e-17 2.63e-17 25.47 -508.54
F04978 -42.478 -25.189 6.92e-17 7.10e-17 3.22e-17 15.90 -508.51
F04958 -42.476 -25.183 8.06e-17 3.54e-17 3.30e-17 35.10 -508.61
F04952 -42.472 -25.189 6.79e-17 4.39e-17 2.58e-17 19.94 -508.72
F04975 -42.455 -25.499 6.18e-17 3.82e-17 2.84e-17 23.85 -508.73
F04976 -42.440 -25.244 8.09e-17 6.80e-17 3.85e-17 20.18 -508.62
F04986 -42.407 -24.950 8.68e-17 6.04e-17 3.74e-17 19.67 -508.64
F04965 -42.383 -24.730 7.04e-17 3.19e-17 2.19e-17 25.71 -508.69
F04987 -42.379 -25.104 1.15e-16 6.80e-17 4.58e-17 11.88 -508.71
F04966 -42.378 -25.467 8.28e-17 7.38e-17 4.66e-17 19.84 -508.65
F04973 -42.363 -25.013 6.79e-17 3.84e-17 3.17e-17 27.74 -508.62
F04951 -42.339 -24.884 8.61e-17 7.04e-17 4.35e-17 31.63 -508.60
F04990 -42.314 -25.473 5.06e-17 5.31e-17 3.88e-17 35.94 -508.44
F04957 -42.294 -25.201 8.91e-17 5.33e-17 3.49e-17 18.00 -508.54
F04972 -42.265 -24.942 6.28e-17 4.70e-17 2.74e-17 18.80 -508.39
F04956 -42.062 -25.448 7.98e-17 6.13e-17 4.85e-17 33.20 -508.53
F04434 -32.737 -19.921 1.62e-17 1.22e-17 7.47e-18 13.79 -1141.81
F04398 -32.686 -19.454 1.44e-17 1.23e-17 8.33e-18 17.80 -1141.61
F04438 -32.550 -19.713 1.73e-17 1.02e-17 9.75e-18  9.92 -1141.40
F04414 -32.455 -19.767 1.55e-17 1.16e-17 7.80e-18 12.79 -1141.55
F04428 -32.431 -19.952 1.17e-17 1.08e-17 5.68e-18 13.98 -1141.67
F04412 -32.426 -19.632 1.70e-17 1.01e-17 7.05e-18  7.98 -1141.48
F04418 -32.418 -19.913 1.34e-17 1.14e-17 8.65e-18  6.72 -1141.64
F04436 -32.397 -19.838 1.44e-17 1.34e-17 6.82e-18 10.09 -1141.42
F04422 -32.395 -19.615 1.37e-17 1.31e-17 7.53e-18 10.76 -1141.43
F04399 -32.395 -19.978 1.59e-17 1.06e-17 5.23e-18  9.15 -1141.63
F04426 -32.374 -19.926 2.04e-17 1.09e-17 6.95e-18  7.46 -1141.52
F04433 -32.372 -19.789 1.77e-17 1.31e-17 7.97e-18  3.74 -1141.43
F04421 -32.371 -19.934 2.08e-17 1.18e-17 9.84e-18  9.38 -1141.47
F04397 -32.363 -19.882 1.49e-17 1.18e-17 6.91e-18 12.40 -1141.53
F04411 -32.362 -19.881 1.20e-17 1.42e-17 8.92e-18  9.90 -1141.42
F04413 -32.355 -19.893 1.81e-17 1.31e-17 7.64e-18 11.14 -1141.68
