name x y flux0 flux1 flux2 width rv
F06579 -30.000  -4.935 3.50e-17 2.09e-17 2.18e-17 12.60 -611.17
F06574 -29.998  -4.935 3.89e-17 3.60e-17 2.28e-17 18.57 -611.22
F06581 -29.890  -4.872 3.17e-17 2.52e-17 1.44e-17 14.61 -611.08
F06572 -29.818  -4.792 6.46e-17 4.55e-17 2.48e-17 15.04 -611.13
F04578 -29.533  -0.380 1.76e-16 1.25e-16 8.79e-17 37.41 -328.24
F04595 -29.378  -0.001 1.41e-16 7.54e-17 6.91e-17 44.47 -327.96
F04606 -29.368  -0.491 1.77e-16 1.25e-16 6.20e-17 35.41 -328.14
F04589 -29.352  -0.083 2.01e-16 1.41e-16 9.94e-17 45.65 -328.36
F04577 -29.332  -0.020 9.88e-17 6.29e-17 4.20e-17 21.14 -328.39
F04581 -29.279  -0.316 1.48e-16 9.94e-17 7.64e-17 46.68 -328.11
F06566 -29.204  -4.609 6.84e-17 3.41e-17 1.87e-17 27.15 -611.02
F04580 -29.200  -0.096 1.76e-16 1.22e-16 8.89e-17 26.07 -328.06
F04574 -29.126  -0.464 1.59e-16 1.34e-16 8.28e-17 25.30 -328.01
F04593 -29.120  -0.093 2.02e-16 1.36e-16 8.22e-17 31.88 -328.22
F04602 -29.109  -0.237 2.22e-16 1.09e-16 1.03e-16 38.15 -328.06
F04583 -29.006  -0.409 2.23e-16 1.33e-16 7.27e-17 48.48 -328.16
F04600 -28.971  -0.094 1.52e-16 1.16e-16 7.95e-17 26.62 -328.12
F04573 -28.843  -0.910 2.00e-16 1.26e-16 9.24e-17 29.88 -327.93
F07547 -28.683 -13.865 3.14e-17 2.45e-17 1.55e-17 18.85 -763.28
F07562 -28.640 -13.864 3.32e-17 2.16e-17 1.45e-17 10.44 -763.38
F07560 -28.619 -13.823 3.67e-17 2.66e-17 1.20e-17 14.18 -763.57
F07558 -28.614 -13.888 3.37e-17 2.12e-17 1.81e-17 18.18 -763.31
F07565 -28.570 -13.875 3.60e-17 1.99e-17 1.41e-17 16.64 -763.47
F07544 -28.534 -13.944 3.19e-17 2.19e-17 1.60e-17 16.51 -763.37
F04610 -28.532  -0.225 1.37e-16 9.58e-17 7.75e-17 26.56 -328.23
F07559 -28.529 -13.888 3.48e-17 2.05e-17 1.77e-17 21.32 -763.49
F07545 -28.528 -13.876 2.76e-17 2.14e-17 1.96e-17  9.64 -763.36
F07561 -28.526 -13.701 2.92e-17 2.10e-17 1.42e-17  7.08 -763.38
F07552 -28.521 -13.810 3.99e-17 2.96e-17 1.58e-17 21.22 -763.50
F07549 -28.509 -13.871 4.79e-17 2.67e-17 2.36e-17 11.25 -763.39
F07566 -28.508 -13.856 3.36e-17 2.99e-17 1.54e-17  9.83 -763.36
F04608 -28.503  -0.681 1.99e-16 1.32e-16 9.49e-17 18.61 -328.09
F07555 -28.500 -13.752 2.73e-17 1.77e-17 1.01e-17 14.13 -763.39
F07564 -28.483 -13.916 4.49e-17 2.96e-17 1.78e-17 18.60 -763.40
F07554 -28.464 -13.898 4.80e-17 2.77e-17 1.58e-17 14.70 -763.36
F07556 -28.463 -13.730 3.33e-17 2.11e-17 1.37e-17 20.53 -763.34
F07557 -28.461 -13.722 3.31e-17 2.45e-17 1.55e-17 21.68 -763.53
F07546 -28.448 -13.867 3.23e-17 2.22e-17 1.29e-17 13.47 -763.37
F07551 -28.447 -14.126 3.45e-17 2.44e-17 1.70e-17 16.86 -763.26
F07553 -28.445 -13.915 3.12e-17 2.63e-17 1.92e-17 12.74 -763.43
F07543 -28.436 -13.841 3.50e-17 1.97e-17 1.28e-17 15.10 -763.40
F07548 -28.414 -14.116 2.45e-17 2.71e-17 1.50e-17 14.96 -763.28
F07563 -28.366 -13.975 4.15e-17 2.96e-17 2.22e-17  9.20 -763.54
F07550 -28.308 -13.970 2.98e-17 2.85e-17 1.58e-17 22.39 -763.50
