name x y flux0 flux1 flux2 width rv
F04867 -13.573 -33.923 3.51e-17 2.78e-17 1.49e-17 15.97 -807.55
F04886 -13.357 -34.327 2.63e-17 1.64e-17 1.27e-17 12.82 -807.64
F04887 -13.337 -33.992 2.66e-17 1.88e-17 1.72e-17 18.98 -807.26
F04897 -13.308 -33.975 2.42e-17 1.49e-17 1.09e-17  6.28 -807.61
F04901 -13.307 -34.185 5.01e-17 2.24e-17 1.10e-17 19.62 -807.54
F04884 -13.301 -34.138 2.36e-17 1.38e-17 1.17e-17 10.88 -807.47
F04907 -13.282 -34.114 2.60e-17 2.18e-17 1.20e-17 12.41 -807.32
F04882 -13.263 -34.062 3.82e-17 2.25e-17 2.56e-17 14.45 -807.29
F04890 -13.259 -34.086 2.68e-17 2.08e-17 1.30e-17 20.07 -807.55
F04888 -13.246 -34.159 2.70e-17 1.98e-17 1.29e-17 23.08 -807.54
F04905 -13.225 -34.057 3.76e-17 2.92e-17 1.63e-17 10.16 -807.42
F04911 -13.225 -34.034 2.54e-17 1.73e-17 1.13e-17 17.43 -807.62
F04864 -13.198 -34.131 3.83e-17 1.95e-17 1.17e-17 14.30 -807.50
F04892 -13.195 -33.852 1.76e-17 1.67e-17 1.43e-17 12.44 -807.55
F04872 -13.185 -33.938 2.86e-17 3.08e-17 1.60e-17 11.94 -807.49
F04906 -13.182 -34.001 2.53e-17 1.98e-17 1.03e-17 13.54 -807.52
F04903 -13.181 -33.689 2.85e-17 2.17e-17 1.66e-17 12.01 -807.42
F04895 -13.181 -33.956 3.39e-17 3.12e-17 1.42e-17 18.52 -807.39
F04904 -13.179 -33.870 4.10e-17 2.40e-17 1.44e-17 13.15 -807.60
F04896 -13.178 -34.026 4.18e-17 2.35e-17 1.66e-17 10.71 -807.60
F04894 -13.178 -34.022 3.58e-17 3.18e-17 1.85e-17 11.16 -807.38
F04881 -13.175 -34.020 2.70e-17 1.76e-17 1.41e-17 17.34 -807.49
F04908 -13.174 -34.017 4.95e-17 2.40e-17 1.22e-17 14.83 -807.37
F04885 -13.171 -34.025 3.29e-17 2.21e-17 1.49e-17 19.38 -807.57
F04869 -13.170 -34.020 1.76e-17 2.08e-17 1.62e-17 15.18 -807.28
F04880 -13.166 -34.169 3.49e-17 2.57e-17 1.96e-17 11.10 -807.35
F04909 -13.156 -34.112 2.73e-17 2.94e-17 2.21e-17 18.43 -807.44
F04878 -13.142 -34.103 2.89e-17 1.57e-17 1.58e-17 17.89 -807.59
F04899 -13.142 -34.067 3.04e-17 2.53e-17 1.30e-17 14.51 -807.45
F04879 -13.139 -33.962 2.66e-17 1.61e-17 8.83e-18 10.51 -807.48
F04875 -13.135 -34.008 1.93e-17 2.20e-17 7.94e-18 11.72 -807.55
F04871 -13.118 -34.048 2.69e-17 2.45e-17 1.74e-17  7.73 -807.44
F04863 -13.116 -34.018 3.40e-17 2.10e-17 1.22e-17 15.69 -807.39
F04898 -13.113 -34.056 2.77e-17 2.37e-17 1.60e-17  6.97 -807.31
F04865 -13.106 -33.931 4.10e-17 2.76e-17 1.84e-17 12.58 -807.62
F04902 -13.092 -34.124 2.93e-17 2.55e-17 1.65e-17  8.34 -807.55
F04876 -13.084 -33.918 2.38e-17 2.46e-17 1.25e-17 10.48 -807.68
F04889 -13.074 -34.059 3.54e-17 2.37e-17 1.44e-17 15.74 -807.52
F04862 -13.071 -33.913 3.73e-17 2.49e-17 1.66e-17 11.57 -807.40
F04866 -13.050 -34.081 2.00e-17 1.28e-17 6.61e-18 10.45 -807.30
F04877 -13.039 -34.034 4.13e-17 2.37e-17 1.54e-17  8.49 -807.47
F04883 -13.031 -33.926 3.45e-17 2.16e-17 9.99e-18 10.14 -807.31
F04873 -12.981 -34.012 3.11e-17 2.08e-17 1.51e-17 13.42 -807.63
F04893 -12.956 -34.064 1.69e-17 1.61e-17 7.45e-18 15.63 -807.31
F04891 -12.893 -34.209 2.36e-17 1.52e-17 7.73e-18 16.28 -807.50
F04874 -12.879 -33.921 2.41e-17 1.36e-17 1.14e-17 11.07 -807.29
F04868 -12.875 -34.177 2.43e-17 1.94e-17 1.12e-17 27.75 -807.39
F04910 -12.856 -33.932 2.54e-17 2.43e-17 1.40e-17 20.32 -807.40
F04900 -12.817 -34.124 3.56e-17 3.86e-17 1.55e-17 15.95 -807.39
F04912 -12.686 -33.970 2.55e-17 2.23e-17 1.52e-17 22.34 -807.45
