name x y flux0 flux1 flux2 width rv
F09869   4.206 -16.858 7.91e-17 5.61e-17 4.56e-17 17.95 -559.58
F09890   4.328 -17.009 8.19e-17 5.26e-17 3.23e-17 18.64 -559.56
F09888   4.357 -16.588 7.02e-17 3.80e-17 2.13e-17 17.95 -559.74
F09877   4.436 -17.035 7.10e-17 3.19e-17 2.71e-17 15.55 -559.48
F09882   4.463 -16.938 7.19e-17 5.35e-17 3.31e-17 26.50 -559.62
F09881   4.485 -16.902 5.90e-17 6.21e-17 3.74e-17 26.35 -559.56
F09904   4.499 -16.879 4.82e-17 4.44e-17 3.01e-17 25.40 -559.67
F09875   4.504 -16.804 4.72e-17 4.70e-17 2.74e-17 18.55 -559.71
F09868   4.518 -16.774 4.72e-17 3.78e-17 3.04e-17 23.05 -559.55
F09866   4.525 -16.625 6.75e-17 5.31e-17 2.38e-17 26.69 -559.44
F09896   4.531 -16.860 3.72e-17 3.58e-17 2.03e-17 21.44 -559.84
F09873   4.537 -16.837 7.95e-17 6.44e-17 3.36e-17 20.51 -559.48
F09903   4.552 -16.969 4.40e-17 3.40e-17 2.03e-17 15.10 -559.31
F09894   4.553 -16.896 6.17e-17 3.06e-17 3.14e-17 26.04 -559.60
F09900   4.556 -17.066 5.82e-17 3.49e-17 2.35e-17 27.31 -559.66
F09899   4.566 -16.912 7.83e-17 5.28e-17 3.06e-17 11.64 -559.69
F09892   4.566 -16.885 6.58e-17 4.32e-17 2.97e-17 21.58 -559.51
F09871   4.566 -16.645 5.87e-17 4.65e-17 2.85e-17 22.62 -559.62
F09884   4.570 -16.883 6.05e-17 5.30e-17 3.35e-17 24.96 -559.45
F09870   4.570 -16.888 6.55e-17 3.56e-17 3.15e-17  9.90 -559.74
F09893   4.573 -16.893 6.48e-17 5.49e-17 3.07e-17 18.98 -559.57
F09889   4.574 -16.894 5.07e-17 2.63e-17 2.12e-17 18.19 -559.52
F09891   4.575 -16.888 8.25e-17 6.50e-17 5.32e-17 20.28 -559.75
F09872   4.586 -16.791 6.69e-17 3.41e-17 3.33e-17 26.83 -559.59
F09898   4.592 -16.866 5.77e-17 3.07e-17 2.61e-17 20.16 -559.54
F09878   4.597 -16.539 8.42e-17 4.47e-17 4.67e-17 23.90 -559.73
F09897   4.609 -16.889 6.79e-17 4.51e-17 2.85e-17 14.46 -559.73
F09901   4.610 -16.858 6.18e-17 4.82e-17 3.10e-17 17.47 -559.48
F09879   4.615 -16.886 8.44e-17 3.58e-17 2.51e-17 24.32 -559.54
F09863   4.626 -16.895 5.21e-17 3.84e-17 1.93e-17 11.54 -559.76
F09864   4.630 -16.793 7.80e-17 3.62e-17 3.73e-17 22.11 -559.70
F09883   4.644 -16.888 5.43e-17 5.01e-17 1.94e-17 13.32 -559.44
F09865   4.690 -16.863 4.29e-17 3.96e-17 3.12e-17 16.67 -559.63
F09895   4.711 -17.159 5.92e-17 4.06e-17 2.43e-17 18.93 -559.46
F09874   4.711 -16.869 5.33e-17 3.83e-17 3.43e-17 18.97 -559.46
F09885   4.736 -16.863 7.68e-17 3.57e-17 2.67e-17 20.02 -559.58
F09902   4.740 -16.786 4.88e-17 4.11e-17 2.49e-17 20.44 -559.66
F09880   4.742 -16.819 4.93e-17 3.00e-17 3.63e-17 16.12 -559.66
F09887   4.792 -16.947 4.57e-17 3.28e-17 1.73e-17 16.17 -559.61
F09905   4.805 -17.018 7.19e-17 5.72e-17 2.66e-17 20.46 -559.42
F09876   4.833 -17.398 5.20e-17 3.36e-17 3.00e-17 16.50 -559.64
F09886   4.960 -17.083 4.83e-17 3.32e-17 2.31e-17 13.51 -559.38
F09867   5.032 -16.854 4.37e-17 3.36e-17 2.88e-17 13.75 -559.40
F09132  14.628 -17.394 3.75e-17 2.24e-17 2.22e-17 17.80 -567.29
F09134  14.688 -18.121 6.18e-17 3.83e-17 1.80e-17 22.39 -567.35
F09117  14.697 -17.519 6.01e-17 4.73e-17 2.23e-17 18.09 -567.44
F09164  14.779 -18.295 8.61e-17 5.84e-17 2.90e-17 31.32 -567.34
F09137  14.796 -17.683 5.39e-17 4.74e-17 2.76e-17 18.28 -567.27
F09127  14.824 -17.950 4.48e-17 3.00e-17 2.93e-17 17.67 -567.56
F09161  14.835 -17.399 8.39e-17 6.38e-17 3.90e-17 20.29 -567.36
F09121  14.895 -17.701 6.51e-17 3.15e-17 3.36e-17 20.94 -567.55
F09133  14.944 -17.550 5.32e-17 3.62e-17 3.17e-17 12.50 -567.34
F09165  14.966 -17.694 5.45e-17 3.46e-17 2.46e-17 16.28 -567.32
F09159  15.000 -17.342 4.21e-17 3.49e-17 2.23e-17 20.91 -567.42
