name x y flux0 flux1 flux2 width rv
F04119  19.209  27.872 1.63e-17 1.09e-17 8.52e-18 11.30 -1028.56
F04107  19.280  28.342 1.90e-17 1.68e-17 1.07e-17 13.24 -1028.64
F04112  19.439  28.146 1.91e-17 1.35e-17 9.52e-18  9.61 -1028.50
F04117  19.504  28.316 2.20e-17 1.39e-17 9.85e-18 13.69 -1028.58
F04125  19.504  28.209 1.91e-17 1.29e-17 8.58e-18  9.85 -1028.66
F04096  19.520  28.204 1.57e-17 1.27e-17 7.49e-18  9.91 -1028.67
F04121  19.532  28.196 1.80e-17 1.26e-17 8.52e-18 10.74 -1028.58
F04110  19.544  28.257 2.18e-17 1.52e-17 1.25e-17  8.81 -1028.71
F04118  19.548  28.310 2.09e-17 1.41e-17 9.73e-18 13.85 -1028.66
F04131  19.567  28.297 2.17e-17 1.61e-17 8.48e-18  8.51 -1028.71
F04128  19.574  28.286 1.56e-17 1.31e-17 9.47e-18 10.61 -1028.80
F04095  19.576  28.305 2.19e-17 1.29e-17 8.96e-18  5.29 -1028.76
F04104  19.581  28.304 1.71e-17 1.24e-17 7.81e-18 10.78 -1028.72
F04098  19.582  28.241 2.13e-17 1.66e-17 8.06e-18  6.54 -1028.54
F04133  19.589  28.316 1.49e-17 1.11e-17 6.23e-18 11.50 -1028.64
F04115  19.593  28.316 1.94e-17 1.46e-17 1.06e-17 15.72 -1028.79
F04111  19.597  28.358 1.22e-17 1.02e-17 7.73e-18  6.19 -1028.52
F04130  19.600  28.318 2.05e-17 1.32e-17 9.12e-18  6.75 -1028.69
F04099  19.601  28.309 1.79e-17 1.39e-17 1.11e-17 13.99 -1028.63
F04113  19.602  28.315 1.46e-17 1.11e-17 7.32e-18 10.01 -1028.68
F04105  19.602  28.312 1.65e-17 1.14e-17 7.41e-18  6.09 -1028.65
F04101  19.604  28.363 2.09e-17 1.33e-17 6.99e-18  6.83 -1028.79
F04108  19.608  28.330 1.66e-17 1.47e-17 8.67e-18  9.55 -1028.61
F04106  19.608  28.369 2.35e-17 1.54e-17 1.02e-17 10.03 -1028.58
F04137  19.611  28.318 1.88e-17 1.44e-17 1.10e-17  4.30 -1028.50
F04124  19.616  28.354 1.91e-17 1.13e-17 7.76e-18  4.17 -1028.42
F04123  19.626  28.451 1.52e-17 1.20e-17 7.90e-18 13.05 -1028.63
F04129  19.640  28.368 1.52e-17 1.22e-17 8.33e-18  9.63 -1028.61
F04132  19.658  28.421 1.86e-17 1.43e-17 9.61e-18 11.22 -1028.58
F04127  19.672  28.380 1.69e-17 1.05e-17 8.02e-18 12.06 -1028.61
F04122  19.675  28.306 1.97e-17 1.35e-17 1.09e-17  6.85 -1028.66
F04120  19.687  28.266 1.98e-17 1.09e-17 8.31e-18  7.90 -1028.62
F04126  19.695  28.450 2.14e-17 1.45e-17 9.79e-18 12.56 -1028.74
F04100  19.700  28.370 2.15e-17 1.72e-17 9.05e-18  9.96 -1028.75
F04097  19.737  28.236 1.48e-17 1.06e-17 6.90e-18  8.46 -1028.72
F04136  19.776  28.275 2.29e-17 1.67e-17 1.00e-17  9.00 -1028.36
F04134  19.813  28.210 1.53e-17 1.14e-17 7.26e-18 12.56 -1028.79
F04103  20.047  28.432 1.61e-17 1.16e-17 8.06e-18  8.19 -1028.60
F04102  20.297  28.790 2.37e-17 1.59e-17 8.66e-18  6.00 -1028.61
F02183  22.814  26.377 1.70e-17 1.40e-17 9.44e-18 10.70 -954.51
F02179  22.846  26.541 2.50e-17 1.84e-17 1.19e-17 17.06 -954.77
F02184  22.861  26.610 2.77e-17 1.76e-17 1.24e-17 10.66 -954.94
F02174  22.865  26.605 1.56e-17 1.02e-17 5.40e-18 12.24 -954.61
F02176  22.901  26.573 1.91e-17 1.30e-17 8.31e-18 10.21 -954.73
F02171  22.963  26.420 2.38e-17 1.49e-17 8.95e-18 13.62 -955.04
F02194  22.965  26.359 2.21e-17 1.26e-17 8.65e-18 12.53 -954.70
F02186  22.971  26.425 2.87e-17 2.18e-17 1.07e-17 16.85 -954.84
F02188  22.982  26.436 2.52e-17 1.51e-17 1.15e-17 13.01 -954.85
F02191  22.994  26.439 1.85e-17 1.37e-17 7.14e-18 18.00 -954.74
F02192  22.999  26.428 2.21e-17 1.41e-17 8.16e-18 15.34 -954.64
F02190  22.999  26.447 1.66e-17 1.67e-17 8.03e-18  5.99 -954.71
F02182  22.999  26.458 1.86e-17 1.48e-17 8.64e-18 13.34 -954.72
F02178  23.002  26.440 2.67e-17 1.45e-17 9.15e-18  7.60 -954.86
F02193  23.003  26.322 2.02e-17 1.21e-17 7.96e-18  8.83 -954.82
F02177  23.016  26.471 2.65e-17 1.60e-17 9.25e-18 14.46 -954.79
F02181  23.042  26.405 1.69e-17 1.32e-17 8.78e-18 13.56 -954.83
F02195  23.043  26.372 1.81e-17 1.37e-17 1.04e-17 18.17 -954.95
F02185  23.048  26.425 2.37e-17 1.92e-17 1.25e-17 17.20 -954.76
F02173  23.056  26.468 1.38e-17 1.30e-17 7.94e-18 10.53 -954.63
F02175  23.069  26.511 1.79e-17 1.23e-17 8.43e-18 14.73 -954.78
F02189  23.103  26.599 1.87e-17 1.17e-17 7.85e-18 15.91 -954.86
F02187  23.139  26.217 2.06e-17 1.57e-17 9.35e-18  8.94 -954.53
F02172  23.151  26.345 2.46e-17 1.71e-17 1.21e-17 11.28 -954.86
