name x y flux0 flux1 flux2 width rv
F03464  30.051   3.501 1.43e-17 1.05e-17 6.80e-18  9.54 -1122.76
F03453  30.073   3.480 1.72e-17 1.11e-17 5.29e-18  8.51 -1122.81
F03456  30.076   3.521 2.47e-17 1.51e-17 8.99e-18  5.53 -1122.75
F03468  30.083   3.490 1.88e-17 1.36e-17 9.00e-18  7.54 -1122.97
F03461  30.084   3.476 1.84e-17 1.11e-17 6.12e-18  7.13 -1122.80
F03452  30.086   3.470 1.39e-17 1.11e-17 6.67e-18 16.98 -1122.79
F03460  30.092   3.482 1.11e-17 1.17e-17 5.84e-18  7.90 -1123.01
F03455  30.165   3.562 1.66e-17 1.14e-17 6.98e-18  9.82 -1123.02
F03450  30.173   3.423 1.80e-17 1.37e-17 9.35e-18  6.46 -1122.79
F03463  30.200   3.434 1.66e-17 1.25e-17 7.69e-18  9.50 -1122.68
F02484  33.354  13.889 1.57e-17 1.67e-17 7.11e-18 13.73 -1129.51
F02494  33.426  13.855 1.58e-17 1.11e-17 6.86e-18 12.09 -1129.32
F02476  33.484  13.813 1.35e-17 1.01e-17 6.13e-18 12.00 -1129.30
F02479  33.489  13.861 1.55e-17 1.19e-17 5.60e-18 11.02 -1129.27
F02474  33.501  13.978 1.27e-17 1.15e-17 6.20e-18  8.51 -1129.31
F02468  33.510  13.893 2.17e-17 1.29e-17 8.39e-18  7.25 -1129.44
F02480  33.514  14.118 1.62e-17 1.08e-17 7.23e-18  7.46 -1129.22
F02492  33.542  13.667 1.50e-17 1.21e-17 8.31e-18 15.60 -1129.35
F02485  33.548  14.073 2.03e-17 1.20e-17 9.43e-18 11.25 -1129.34
F02489  33.552  13.958 1.77e-17 1.50e-17 7.53e-18  7.73 -1129.16
F02486  33.572  13.937 2.28e-17 1.05e-17 7.77e-18  8.63 -1129.20
F02478  33.591  13.829 1.81e-17 1.14e-17 7.07e-18 12.49 -1129.23
F02471  33.611  13.982 1.25e-17 1.16e-17 5.23e-18  9.47 -1129.33
F02490  33.638  13.941 1.45e-17 1.23e-17 7.08e-18  9.38 -1129.30
F02487  33.695  13.798 1.73e-17 1.31e-17 8.68e-18  7.82 -1129.46
F02488  33.759  13.991 1.39e-17 1.35e-17 7.54e-18 10.38 -1129.35
