Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Location
F04289 145.338 63.327 3.86e-16 2.79e-16 1.93e-16 43.31 -236.66 BackA02
F04280 145.48 62.894 2.11e-16 1.56e-16 1.05e-16 46.99 -236.62 BackA02
F04261 145.625 63.181 2.59e-16 2.31e-16 1.5e-16 24.65 -236.95 BackA02
F04288 145.857 63.428 2.99e-16 2.38e-16 1.52e-16 45.7 -236.77 BackA02
F04267 145.857 63.311 3.75e-16 2.37e-16 1.84e-16 32.73 -236.86 BackA02
F04271 145.867 63.871 2.6e-16 2.09e-16 1.29e-16 64.48 -236.89 BackA02
F04265 145.928 63.317 4.28e-16 2.94e-16 1.97e-16 58.47 -236.81 BackA02
F04285 145.946 63.817 3.93e-16 2.51e-16 1.68e-16 60.15 -236.67 BackA02
F04287 145.965 63.592 2.4e-16 1.88e-16 1.02e-16 41.65 -236.79 BackA02
F04269 145.966 63.289 3.39e-16 2.99e-16 1.69e-16 89.67 -236.73 BackA02
F04276 145.982 63.376 3.64e-16 2.74e-16 1.79e-16 63.4 -236.75 BackA02
F04263 146.008 63.767 2.84e-16 2.25e-16 1.36e-16 44.73 -236.89 BackA02
F04286 146.03 63.343 3.49e-16 2.86e-16 1.6e-16 45.78 -236.7 BackA02
F04268 146.094 63.428 2.48e-16 1.86e-16 1.25e-16 48.27 -236.85 BackA02
F04272 146.123 63.558 4.23e-16 2.4e-16 1.9e-16 49.49 -236.73 BackA02
F04278 146.123 63.351 4.7e-16 2.86e-16 2.14e-16 65.67 -237.04 BackA02
F04262 146.131 63.189 4.54e-16 3.06e-16 2.08e-16 34.44 -236.77 BackA02
F04284 146.133 63.472 2.99e-16 2.04e-16 1.38e-16 43.48 -236.5 BackA02
F04279 146.172 63.472 3.19e-16 2.09e-16 1.37e-16 42.86 -236.68 BackA02
F04275 146.178 63.413 3.98e-16 2.66e-16 1.81e-16 37.35 -236.84 BackA02
F04264 146.252 62.992 4.87e-16 3.22e-16 2.27e-16 42.57 -236.87 BackA02
F04274 146.284 62.804 3.52e-16 2.82e-16 1.59e-16 32.52 -236.57 BackA02
F04266 146.393 64.449 4.27e-16 2.69e-16 2.19e-16 54.0 -236.78 BackA02
F04270 146.544 63.338 2.29e-16 1.82e-16 1.12e-16 52.94 -236.74 BackA02
F04273 146.57 63.268 2.26e-16 1.4e-16 1.01e-16 51.69 -236.6 BackA02
F04283 146.597 63.392 3.89e-16 2.76e-16 1.56e-16 56.9 -236.66 BackA02
F04281 146.654 63.681 2.86e-16 1.7e-16 1.1e-16 64.33 -236.93 BackA02
F04277 146.903 64.086 3.75e-16 2.52e-16 1.5e-16 39.92 -236.85 BackA02
F04282 147.383 63.532 2.55e-16 1.93e-16 1.25e-16 33.33 -236.83 BackA02
