Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Location
F02148 163.137 109.764 1.67e-17 1.03e-17 6.56e-18 9.9 -1108.6 BackB05
F02144 163.138 109.754 1.67e-17 1.17e-17 6.48e-18 8.23 -1108.83 BackB05
F02141 163.139 109.81 1.4e-17 1.23e-17 8.1e-18 7.71 -1108.77 BackB05
F02151 163.141 109.796 1.5e-17 1e-17 9.03e-18 21.72 -1108.93 BackB05
F02158 163.149 109.817 1.56e-17 1.2e-17 4.82e-18 5.85 -1108.9 BackB05
F02154 163.172 109.837 1.53e-17 1.32e-17 7.07e-18 7.08 -1108.83 BackB05
F02160 163.178 109.818 1.82e-17 1.02e-17 6.75e-18 6.49 -1108.73 BackB05
F02157 163.225 109.354 2.77e-17 1.7e-17 8.79e-18 8.58 -1108.88 BackB05
F02142 163.097 109.821 2.27e-17 1.12e-17 8.39e-18 11.81 -1108.62 BackB05
F02150 163.115 109.821 1.62e-17 1.46e-17 8.27e-18 10.67 -1108.95 BackB05
F02159 163.121 109.819 1.83e-17 1.32e-17 8.04e-18 7.91 -1108.89 BackB05
F02161 163.122 109.838 1.53e-17 1.45e-17 7.78e-18 16.35 -1108.96 BackB05
F02152 163.127 109.76 1.26e-17 1.04e-17 6.45e-18 13.98 -1108.91 BackB05
F02153 163.129 109.868 1.83e-17 1.04e-17 8.25e-18 6.65 -1108.58 BackB05
F02155 163.13 109.839 1.8e-17 1.38e-17 5.57e-18 16.94 -1108.74 BackB05
