Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F05208 230.607 148.174 2.07e-17 1.27e-17 7.56e-18 11.64 -1012.32 385537.26235741447 DownB05
F05205 231.092 148.556 2e-17 1.35e-17 9.41e-18 13.57 -1012.15 385472.6235741445 DownB05
F05206 230.642 148.52 1.93e-17 1.34e-17 9.18e-18 10.22 -1012.13 385465.01901140687 DownB05
F05203 230.577 148.527 2.02e-17 1.33e-17 8.17e-18 12.28 -1012.09 385449.8098859316 DownB05
F05204 230.579 148.533 1.74e-17 1.65e-17 7.3e-18 9.97 -1012.09 385449.8098859316 DownB05
F05213 230.616 148.551 1.55e-17 1.26e-17 1e-17 8.55 -1012.25 385510.6463878327 DownB05
F05212 230.536 148.595 1.64e-17 1.11e-17 6.18e-18 9.92 -1012.33 385541.0646387833 DownB05
F05207 230.423 148.585 2.82e-17 1.03e-17 9.62e-18 15.24 -1011.94 385392.77566539927 DownB05
F05210 230.493 148.612 1.56e-17 1.58e-17 1.01e-17 15.28 -1012.34 385544.8669201521 DownB05
F05214 230.432 148.666 1.9e-17 1.66e-17 9.56e-18 14.8 -1012.31 385533.46007604565 DownB05
