name x y flux0 flux1 flux2 width rv
F05470 -41.806  23.389 3.34e-17 1.66e-17 1.14e-17  7.83 -971.40
F05455 -41.794  23.711 1.76e-17 1.14e-17 6.64e-18 14.58 -971.57
F05449 -41.679  23.375 1.83e-17 1.15e-17 7.31e-18 10.55 -971.51
F05461 -41.574  23.661 2.38e-17 1.66e-17 1.11e-17 14.88 -971.39
F05447 -41.566  23.708 2.13e-17 1.36e-17 1.00e-17 14.00 -971.60
F05456 -41.538  23.695 1.58e-17 1.24e-17 8.65e-18  8.40 -971.41
F05463 -41.486  23.672 1.69e-17 1.14e-17 7.49e-18 11.70 -971.47
F05444 -41.484  23.498 2.02e-17 1.53e-17 8.67e-18  8.38 -971.25
F05458 -41.484  23.702 2.24e-17 1.63e-17 9.23e-18 14.00 -971.68
F05445 -41.483  23.689 1.90e-17 1.26e-17 8.78e-18 15.19 -971.57
F05466 -41.471  23.593 1.41e-17 1.01e-17 6.41e-18 11.96 -971.49
F05467 -41.454  23.638 1.98e-17 1.45e-17 1.05e-17 12.95 -971.35
F05460 -41.454  23.644 1.70e-17 1.00e-17 7.74e-18  8.11 -971.48
F05469 -41.453  23.651 3.31e-17 2.07e-17 1.38e-17  8.47 -971.43
F05450 -41.449  23.641 2.14e-17 1.38e-17 8.47e-18 10.77 -971.69
F05462 -41.447  23.635 2.57e-17 1.61e-17 1.08e-17 12.35 -971.54
F05464 -41.446  23.636 2.22e-17 1.31e-17 1.01e-17 11.19 -971.48
F05448 -41.441  23.631 1.50e-17 1.33e-17 8.73e-18  8.14 -971.60
F05451 -41.436  23.423 1.64e-17 1.09e-17 6.14e-18  6.05 -971.50
F05459 -41.432  23.608 2.01e-17 1.47e-17 7.76e-18  7.81 -971.42
F05452 -41.419  23.617 1.81e-17 1.24e-17 8.06e-18 10.49 -971.34
F05454 -41.405  23.681 2.53e-17 1.71e-17 1.15e-17 11.38 -971.20
F05443 -41.391  23.692 1.72e-17 1.36e-17 6.78e-18 12.30 -971.32
F05446 -41.369  23.650 1.75e-17 1.42e-17 9.02e-18 12.13 -971.50
F05471 -41.363  23.576 1.86e-17 1.63e-17 1.19e-17  7.98 -971.36
F05453 -41.282  23.987 2.02e-17 1.58e-17 9.19e-18 18.97 -971.38
F05465 -41.234  23.608 2.14e-17 1.39e-17 8.79e-18 10.72 -971.46
F05457 -41.202  23.543 1.79e-17 1.36e-17 9.49e-18  8.40 -971.42
F05468 -41.172  23.748 1.96e-17 1.23e-17 7.91e-18 11.65 -971.46
F01440 -36.860  21.523 2.69e-17 1.87e-17 1.14e-17 24.28 -685.19
F01451 -36.773  21.149 3.46e-17 2.39e-17 1.80e-17 15.38 -685.07
F01424 -36.769  21.347 2.71e-17 1.78e-17 1.20e-17 17.98 -684.99
F01429 -36.742  21.308 3.42e-17 2.26e-17 1.09e-17 12.10 -685.13
F01421 -36.675  21.405 4.87e-17 2.96e-17 2.11e-17 18.55 -685.08
F01460 -36.648  21.329 3.81e-17 2.98e-17 1.88e-17 16.91 -685.11
F01459 -36.642  21.280 4.18e-17 3.08e-17 1.93e-17 10.64 -684.95
F01433 -36.641  21.359 3.93e-17 3.36e-17 2.18e-17 13.55 -685.10
F01448 -36.632  21.710 3.62e-17 2.70e-17 1.87e-17 18.68 -684.93
F01428 -36.626  21.073 3.23e-17 2.29e-17 1.18e-17 12.13 -685.14
F01417 -36.624  21.299 5.02e-17 3.58e-17 2.02e-17 11.04 -685.01
F01418 -36.609  21.094 4.78e-17 2.86e-17 2.24e-17  8.09 -685.02
F01437 -36.593  21.196 3.84e-17 2.78e-17 1.84e-17 10.63 -685.08
F01416 -36.582  21.261 3.41e-17 2.16e-17 1.47e-17 17.95 -685.02
