name x y flux1 flux2 flux3 par rv
P07794 -44.978  -6.554 2.66e-13 1.12e-13 6.41e-14   0.006   -4.57
P08691 -44.869  -5.798 2.28e-17 1.10e-17 4.58e-18   0.004   -4.70
P03490 -44.419  -7.324 2.10e-15 1.69e-15 1.09e-15   0.005   -3.70
P02432 -44.264  -8.542 2.18e-13 1.16e-13 5.10e-14   0.005   -4.78
P05736 -44.068  -6.547 9.61e-17 1.16e-16 1.02e-16   0.007   -4.90
P07299 -43.675  -6.857 1.26e-17 2.12e-17 2.60e-17   0.004   -4.92
P00375 -43.784  -5.864 5.19e-15 3.82e-15 2.29e-15   0.007   -3.98
P02914 -43.523  -7.318 1.76e-14 1.11e-14 5.32e-15   0.005   -4.97
P10383 -43.191  -7.027 6.15e-16 5.61e-16 4.74e-16   0.007   -4.40
P03408 -43.168  -6.374 1.11e-17 2.02e-17 2.29e-17   0.006   -4.44
P08824 -42.878 -10.682 8.29e-15 5.68e-15 2.90e-15   0.005   -5.04
P02673 -42.863  -5.900 1.69e-14 1.28e-13 5.20e-13   0.006   -5.12
P04653 -42.709  -5.734 7.79e-12 4.36e-12 1.95e-12   0.006   -4.39
P02648 -42.313  -3.544 5.26e-16 5.33e-16 3.82e-16   0.009   -3.67
P04139 -42.113  -5.290 8.93e-17 1.26e-16 1.13e-16   0.006   -4.81
P09827 -41.757  -8.260 2.86e-13 1.36e-13 6.18e-14   0.005   -4.94
P00761 -41.643  -7.436 2.93e-17 1.29e-17 6.66e-18   0.003   -3.59
P09629 -41.511  -6.811 4.78e-15 3.69e-15 1.99e-15   0.005   -5.43
P03946 -40.572  -6.689 5.08e-17 6.54e-17 6.78e-17   0.005   -5.43
P05865 -40.389  -6.185 1.60e-15 1.58e-15 1.03e-15   0.007   -4.48
P09888 -40.236 -11.213 1.53e-13 7.83e-14 3.52e-14   0.005   -5.58
P07224 -40.061  -2.429 3.34e-12 4.68e-12 4.66e-12   0.005    0.68
P10469 -39.932  -8.328 4.84e-13 2.15e-13 1.07e-13   0.006   -5.48
P09813 -39.599  -7.718 1.97e-16 2.37e-16 1.91e-16   0.007   -4.10
P04313 -37.990  -4.006 7.54e-15 5.22e-15 2.87e-15   0.005   -5.72
P08685 -37.347  -5.978 1.19e-11 7.33e-12 4.49e-12   0.007   -5.80
P09781 -36.988  -7.678 2.72e-16 2.66e-16 2.06e-16   0.005   -5.12
P06942 -36.868  -3.410 3.93e-17 4.70e-17 4.83e-17   0.007   -5.92
P00435 -32.689 -12.659 3.17e-17 1.49e-17 6.62e-18   0.003   -0.87
P03376 -32.318  -5.608 1.50e-17 2.57e-17 3.03e-17   0.006   -6.06
P09410 -31.363  -9.057 8.86e-15 4.84e-15 2.82e-15   0.004    0.38
P07698 -30.435  -7.403 4.69e-15 3.20e-15 2.07e-15   0.003    0.50
