name x y flux0 flux1 flux2 width rv
F06288 -21.664  22.252 6.46e-17 4.97e-17 3.20e-17 21.67 -616.26
F06299 -21.417  21.772 3.78e-17 2.56e-17 2.05e-17 16.49 -615.99
F06262 -21.407  21.861 4.81e-17 2.59e-17 1.78e-17 20.99 -616.09
F06265 -21.355  21.939 3.91e-17 2.75e-17 1.63e-17 25.19 -615.93
F06278 -21.334  21.881 6.43e-17 4.15e-17 3.35e-17 24.42 -616.18
F06283 -21.323  21.971 4.94e-17 3.22e-17 2.38e-17 21.47 -616.09
F06291 -21.291  21.709 6.34e-17 4.02e-17 2.48e-17 17.87 -616.24
F06261 -21.272  21.788 3.92e-17 2.99e-17 1.97e-17 17.07 -616.19
F06256 -21.271  22.205 4.45e-17 3.81e-17 2.25e-17 15.28 -615.82
F06294 -21.270  21.878 4.86e-17 3.42e-17 2.13e-17 18.78 -616.26
F06297 -21.260  21.528 5.03e-17 3.55e-17 2.73e-17 23.18 -616.10
F06263 -21.242  21.851 5.51e-17 3.56e-17 2.85e-17 15.58 -616.08
F06268 -21.242  21.684 6.40e-17 5.18e-17 3.10e-17 25.96 -615.96
F06259 -21.240  21.675 4.82e-17 3.69e-17 2.20e-17 18.91 -616.26
F06274 -21.235  21.626 5.97e-17 3.59e-17 2.24e-17 22.48 -616.11
F06289 -21.233  21.874 4.94e-17 3.65e-17 2.35e-17 21.67 -616.04
F06276 -21.230  21.828 5.92e-17 3.58e-17 2.41e-17 11.81 -616.13
F06286 -21.229  21.816 4.92e-17 3.79e-17 2.38e-17 15.87 -616.17
F06266 -21.220  21.918 6.22e-17 4.04e-17 2.25e-17 18.57 -616.05
F06282 -21.212  21.506 6.01e-17 3.57e-17 3.03e-17 12.57 -616.09
F06257 -21.211  21.614 5.35e-17 3.19e-17 2.09e-17 22.97 -616.30
F06280 -21.208  21.839 4.89e-17 3.66e-17 2.36e-17 22.37 -616.16
F06275 -21.202  21.849 3.84e-17 2.79e-17 1.46e-17 11.80 -616.17
F06281 -21.195  21.854 5.76e-17 4.02e-17 2.83e-17 20.66 -616.05
F06270 -21.194  21.845 5.54e-17 4.06e-17 2.25e-17 20.93 -616.16
F06285 -21.190  21.850 4.28e-17 2.83e-17 1.75e-17 13.06 -616.16
F06296 -21.190  21.760 4.43e-17 3.97e-17 2.28e-17 15.99 -616.36
F06290 -21.185  21.894 5.32e-17 3.97e-17 2.53e-17 19.86 -616.18
F06273 -21.183  21.978 4.49e-17 3.89e-17 2.27e-17 18.05 -616.16
F06272 -21.179  21.830 7.37e-17 4.96e-17 2.81e-17 26.34 -615.99
F06287 -21.164  21.853 4.64e-17 3.97e-17 2.22e-17 17.25 -616.13
F06269 -21.155  21.931 3.96e-17 3.53e-17 2.18e-17 19.94 -615.86
F06267 -21.145  21.766 4.62e-17 3.89e-17 2.50e-17 22.48 -616.19
F06260 -21.145  21.802 4.07e-17 3.44e-17 2.12e-17 11.87 -616.17
F06279 -21.144  22.212 3.75e-17 2.93e-17 1.82e-17 15.23 -615.86
F06293 -21.139  22.040 4.96e-17 4.34e-17 2.54e-17 11.54 -616.10
F06284 -21.129  21.787 4.61e-17 3.78e-17 2.40e-17 22.93 -616.18
F06298 -21.081  21.599 3.99e-17 3.10e-17 1.91e-17 12.31 -616.19
F06295 -21.078  21.780 3.88e-17 2.11e-17 1.66e-17 16.41 -616.15
F06277 -21.075  22.054 5.36e-17 3.77e-17 2.58e-17 20.35 -616.11
F06271 -21.051  21.851 4.88e-17 3.05e-17 2.34e-17 11.31 -616.01
F06258 -21.044  21.946 6.63e-17 4.38e-17 2.89e-17 13.65 -616.03
F06292 -21.026  22.028 5.23e-17 4.08e-17 2.51e-17 17.65 -615.96
F06264 -21.004  21.799 4.75e-17 3.79e-17 2.52e-17 22.03 -615.93
F08052 -20.181  29.419 1.66e-17 1.23e-17 7.16e-18 15.93 -1153.34
F08040 -19.920  29.617 1.68e-17 1.13e-17 8.34e-18 11.22 -1153.52
F08051 -19.863  29.565 1.57e-17 1.05e-17 6.63e-18  8.85 -1153.53
F08041 -19.845  29.528 1.56e-17 1.27e-17 8.72e-18  9.40 -1153.63
F08048 -19.788  29.548 1.62e-17 1.03e-17 7.53e-18  7.03 -1153.73
F08056 -19.751  29.550 1.55e-17 1.14e-17 6.83e-18  8.24 -1153.66
F08037 -19.748  29.633 1.40e-17 1.16e-17 6.79e-18  5.01 -1153.52
F08043 -19.745  29.588 1.55e-17 1.03e-17 6.09e-18  9.86 -1153.64
F08025 -19.737  29.507 1.26e-17 1.03e-17 6.60e-18  7.97 -1153.61
F08031 -19.730  29.544 2.03e-17 1.21e-17 8.46e-18  6.33 -1153.54
F08055 -19.727  29.559 1.35e-17 1.00e-17 6.39e-18  6.85 -1153.59
F08053 -19.723  29.580 1.52e-17 1.02e-17 6.35e-18 13.85 -1153.73
F08039 -19.721  29.529 1.96e-17 1.17e-17 7.50e-18  7.00 -1153.64
F08046 -19.721  29.421 2.05e-17 1.39e-17 9.05e-18  8.48 -1153.50
F08054 -19.718  29.620 1.68e-17 1.12e-17 8.76e-18  9.97 -1153.50
