name x y flux1 flux2 flux3 par rv
P08054 -27.529 -10.584 1.31e-16 1.33e-16 1.22e-16   0.003   -0.94
P02235 -27.399  -5.660 7.31e-17 8.36e-17 8.00e-17   0.003   -0.53
P04294 -27.237 -12.178 1.99e-14 1.28e-14 6.74e-15   0.004   -1.19
P02319 -26.913  -3.595 5.66e-17 7.91e-17 6.61e-17   0.004   -1.32
P07683 -26.539  -8.265 3.07e-12 1.61e-12 7.59e-13   0.002   -0.09
P01801 -26.447  -7.218 7.69e-15 5.63e-15 3.13e-15   0.008   -6.14
P00873 -26.423  -8.944 3.63e-17 4.65e-17 4.80e-17   0.004   -0.42
P07668 -26.284 -12.162 9.38e-17 9.66e-17 8.20e-17   0.005   -1.51
P09157 -25.644  -9.023 5.50e-16 5.71e-16 3.81e-16   0.003   -0.27
P01439 -25.129 -10.740 8.63e-15 6.51e-15 3.31e-15   0.005   -1.15
P00568 -24.951  -7.092 1.43e-16 1.49e-16 1.24e-16   0.005   -0.64
P02549 -24.898  -9.748 3.62e-12 2.16e-12 1.15e-12   0.004   -1.22
P00847 -24.881  -8.867 3.64e-15 2.76e-15 1.62e-15   0.005   -0.38
P02322 -24.739  -7.269 5.86e-16 4.99e-16 4.19e-16   0.004   -0.36
P01610 -24.567  -6.106 9.54e-15 7.23e-15 3.83e-15   0.005   -1.07
P04350 -24.278  -8.306 9.91e-17 1.00e-16 8.77e-17   0.005   -0.75
P07334 -24.236 -13.276 4.83e-16 4.03e-16 2.75e-16   0.002   -2.01
P05950 -24.096  -8.418 3.89e-17 5.67e-17 5.62e-17   0.005   -0.67
P03473 -24.009 -10.502 3.13e-13 9.12e-13 2.03e-12   0.005   -0.68
P00555 -23.988  -7.044 3.69e-14 1.94e-14 9.75e-15   0.004   -1.34
P02514 -23.666  -8.480 4.26e-14 1.90e-14 9.47e-15   0.006   -0.79
P01360 -23.543  -7.566 6.82e-16 5.54e-16 4.22e-16   0.006   -1.28
P06877 -23.504  -8.470 3.55e-12 2.09e-12 8.77e-13   0.003    0.38
P00169 -23.232  -9.177 8.95e-14 4.48e-14 2.05e-14   0.005   -1.56
P05771 -23.298  -7.575 9.10e-15 5.25e-15 3.06e-15   0.005   -1.16
P08573 -22.931  -9.181 4.93e-17 5.69e-17 6.21e-17   0.007   -1.66
P08282 -22.910 -10.567 1.71e-15 1.26e-15 8.53e-16   0.004   -2.19
P08768 -22.677  -8.367 8.57e-16 7.22e-16 4.95e-16   0.005   -1.68
P03053 -22.678  -8.017 4.20e-14 2.57e-14 1.13e-14   0.007   -2.01
P06473 -22.353  -8.705 6.19e-12 4.41e-12 2.30e-12   0.005   -2.28
P06616 -22.386 -10.134 3.80e-14 2.10e-14 9.45e-15   0.005   -2.51
P00647 -22.319  -9.811 2.61e-12 1.22e-12 5.56e-13   0.004   -2.46
P06993 -22.492  -6.985 2.24e-17 3.96e-17 3.76e-17   0.005   -1.82
P00789 -22.381  -8.673 2.83e-12 3.96e-12 4.67e-12   0.006   -2.26
P03407 -22.371  -8.210 5.00e-17 6.70e-17 6.61e-17   0.004   -2.34
P01725 -22.252  -6.924 1.82e-15 1.51e-15 7.81e-16   0.005   -2.36
P06747 -22.245  -9.878 1.50e-15 1.13e-15 7.43e-16   0.004   -3.06
P01832 -22.306  -0.787 2.75e-16 3.19e-16 2.55e-16   0.005   -2.43
P01678 -22.344  -8.232 3.55e-13 1.04e-12 2.13e-12   0.003   -2.54
P00127 -22.292  -7.660 6.66e-17 8.71e-17 7.39e-17   0.004   -2.14
P01215 -22.152  -7.554 3.43e-17 5.27e-17 5.68e-17   0.005   -6.20
P01988 -22.158  -7.452 1.34e-13 6.98e-14 3.55e-14   0.006   -2.62
P10105 -22.104  -5.491 8.74e-12 7.08e-12 4.51e-12   0.006   -2.48
P09188 -22.141  -9.097 2.41e-14 1.44e-14 7.72e-15   0.003   -2.75
P00993 -22.038  -9.536 2.50e-16 2.79e-16 1.92e-16   0.003   -3.31
P01733 -21.880  -7.610 9.14e-17 4.42e-17 2.15e-17   0.004   -3.09
P07929 -21.845  -3.040 1.17e-17 1.36e-17 1.07e-17   0.002    2.17
P06038 -21.657  -8.045 4.25e-13 1.85e-13 7.81e-14   0.004   -3.18
P06470 -21.591  -8.655 4.18e-14 2.52e-14 1.06e-14   0.004   -3.44
P09609 -21.396  -8.888 7.77e-16 7.01e-16 4.67e-16   0.004   -3.82
P04058 -21.277  -7.836 7.97e-16 6.44e-16 4.74e-16   0.005   -3.49
P04199 -21.242  -8.612 8.09e-17 7.52e-17 8.56e-17   0.004   -4.07
P01947 -20.972  -8.271 1.22e-14 7.48e-15 4.49e-15   0.005   -3.99
P09263 -21.101  -9.152 9.10e-14 4.88e-14 2.24e-14   0.004   -3.70
P06225 -20.996  -3.319 1.69e-17 1.66e-17 1.36e-17   0.000    1.64
P05152 -20.876  -5.806 8.30e-17 9.40e-17 1.14e-16   0.006   -3.25
P05035 -20.940  -6.652 3.51e-12 1.87e-12 8.80e-13   0.004   -3.38
P02893 -20.837  -8.729 1.20e-15 1.03e-15 7.81e-16   0.006   -3.57
P03899 -20.800  -5.768 1.31e-16 1.45e-16 1.21e-16   0.004    0.25
P09784 -20.754  -3.614 7.81e-15 4.23e-15 1.82e-15   0.001    1.80
P07306 -20.604  -8.778 1.40e-17 2.39e-17 2.57e-17   0.004   -4.17
P05082 -20.657  -3.138 3.63e-16 2.64e-16 1.60e-16   0.001    1.34
P04463 -20.480  -3.915 4.76e-13 4.64e-13 4.31e-13   0.001    1.80
P00217 -20.364  -7.618 8.69e-15 5.24e-15 3.68e-15   0.004   -4.31
P05359 -20.246  -7.653 4.44e-15 3.87e-15 2.22e-15   0.004   -3.85
P04803 -20.246  -3.548 7.97e-16 5.12e-16 3.12e-16   0.001    0.43
P01467 -20.173  -9.533 4.64e-17 2.47e-17 1.12e-17   0.006   -4.55
P08805 -20.146  -2.383 1.10e-13 5.76e-14 2.28e-14   0.006   -0.15
P07968 -20.158 -12.198 7.29e-16 6.06e-16 5.05e-16   0.005   -3.34
P01556 -20.105  -3.784 7.56e-13 5.09e-13 3.46e-13   0.003    1.66
P03120 -19.995  -3.838 6.88e-17 5.61e-17 3.98e-17   0.001    1.38
P03757 -19.860  -8.802 2.86e-17 4.09e-17 4.76e-17   0.004   -4.58
P06379 -19.892  -3.883 3.87e-16 3.28e-16 1.67e-16   0.002    1.36
P01511 -19.814  -3.068 3.94e-16 3.22e-16 1.71e-16   0.003    0.64
P00652 -19.850  -3.879 1.65e-14 9.02e-15 3.96e-15   0.001    1.33
P03537 -19.850  -4.256 9.73e-16 6.64e-16 3.65e-16   0.002    1.17
P03237 -19.756  -3.649 2.35e-13 9.96e-14 5.09e-14   0.004   -0.05
P01522 -19.788  -4.021 4.11e-15 2.41e-15 9.78e-16   0.001    0.20
P04537 -19.618  -4.224 1.15e-17 1.38e-17 1.24e-17   0.000    0.98
P04162 -19.637  -4.019 2.30e-14 1.08e-14 4.88e-15   0.003    0.61
P06382 -19.601  -4.220 1.05e-16 1.06e-16 6.90e-17  -0.000   -0.19
P07918 -19.474  -3.745 2.71e-14 1.28e-14 6.51e-15   0.002   -0.14
P00520 -19.607  -3.916 2.72e-16 1.85e-16 1.22e-16   0.000    0.35
P00770 -19.486 -10.463 2.62e-13 1.32e-13 5.77e-14   0.005   -3.67
P09913 -19.517  -8.956 3.27e-17 1.67e-17 7.76e-18   0.004   -4.39
P09918 -19.546  -3.745 2.63e-15 1.50e-15 8.16e-16   0.001    1.09
P10265 -19.425  -4.101 1.51e-17 1.77e-17 1.57e-17   0.001   -0.73
P08427 -19.535  -4.450 1.34e-14 7.78e-15 3.19e-15  -0.001    0.44
P04054 -19.385 -10.484 5.64e-14 3.53e-14 1.61e-14   0.005   -3.97
P00608 -19.232  -4.069 5.42e-17 4.95e-17 3.26e-17   0.001    0.27
P04027 -19.276  -4.007 1.53e-14 8.81e-15 4.26e-15   0.001    0.72
P07676 -19.373  -8.085 4.19e-16 3.68e-16 3.35e-16   0.004   -4.55
P05626 -19.251  -9.086 2.31e-13 1.11e-13 4.87e-14   0.004   -4.15
P10053 -19.349  -3.946 7.91e-16 4.06e-16 2.70e-16   0.001   -0.73
P04638 -19.290  -4.194 4.27e-17 4.37e-17 3.58e-17   0.000    0.38
P07304 -19.251  -4.068 7.08e-17 6.26e-17 4.47e-17   0.001    0.30
P02672 -19.399  -3.692 2.38e-16 2.13e-16 1.30e-16   0.004   -1.33
P07653 -19.246  -9.648 2.55e-13 1.35e-13 5.90e-14   0.004   -4.50
P09879 -19.072  -4.075 1.25e-13 2.90e-13 3.51e-13   0.003    0.62
P10344 -19.236  -6.666 4.72e-14 2.92e-14 1.29e-14   0.005   -4.25
P00428 -19.212  -4.108 1.66e-15 1.06e-15 5.44e-16   0.002    0.46
P05308 -19.185  -4.812 1.09e-15 6.90e-16 4.17e-16   0.001   -1.33
P06104 -19.070  -3.854 9.70e-16 6.24e-16 3.79e-16  -0.001    0.38
P06703 -19.017  -4.218 7.53e-15 4.05e-15 2.00e-15   0.001   -0.56
P03008 -19.107  -4.478 1.29e-15 8.19e-16 4.46e-16   0.003   -1.23
P02953 -19.071  -4.139 1.05e-15 7.69e-16 4.70e-16   0.001   -1.71
P02784 -18.997  -4.529 3.77e-14 1.72e-14 8.11e-15   0.003   -1.61
P02916 -19.055  -4.076 1.19e-15 6.80e-16 3.87e-16   0.002    0.02
P04242 -19.105  -6.589 2.67e-17 5.06e-17 6.17e-17   0.008   -5.95
P01209 -19.004  -8.990 4.11e-16 4.01e-16 3.17e-16   0.005   -4.89
P05590 -18.935  -4.764 1.72e-15 9.09e-16 5.16e-16   0.001   -0.79
P04588 -18.880  -4.888 1.07e-16 9.17e-17 5.68e-17   0.002   -1.87
P00948 -18.923  -4.141 1.02e-17 1.35e-17 1.00e-17   0.002   -1.23
P01063 -18.867  -4.497 2.58e-16 1.58e-16 1.11e-16   0.001   -0.67
P03871 -18.927  -3.957 2.54e-15 1.50e-15 7.50e-16   0.002   -0.41
P06165 -18.970  -3.546 1.13e-14 5.32e-15 2.40e-15  -0.001   -0.02
P06981 -18.845  -3.965 1.17e-14 5.85e-15 2.72e-15   0.000   -0.28
P06595 -18.795  -4.314 3.31e-17 3.00e-17 2.29e-17   0.000   -2.03
P07509 -18.821  -4.345 2.00e-17 1.73e-17 1.71e-17   0.002   -2.15
