name x y flux0 flux1 flux2 width rv
F04848  -3.601  33.530 1.73e-17 1.22e-17 8.10e-18 11.61 -1011.79
F04851  -3.584  33.433 2.30e-17 1.53e-17 1.05e-17 12.81 -1011.55
F04853  -3.533  33.612 1.82e-17 1.20e-17 7.88e-18  7.98 -1011.50
F04845  -3.526  33.504 1.57e-17 1.00e-17 6.56e-18 13.22 -1011.59
F04856  -3.525  33.496 1.54e-17 1.09e-17 7.15e-18  9.07 -1011.68
F04850  -3.509  33.367 1.70e-17 1.19e-17 7.64e-18  9.14 -1011.66
F04840  -3.508  33.477 1.73e-17 1.14e-17 7.87e-18  7.04 -1011.53
F04855  -3.502  33.453 1.77e-17 1.02e-17 8.51e-18 10.92 -1011.68
F04849  -3.498  33.374 1.62e-17 1.04e-17 7.43e-18 17.64 -1011.50
F04846  -3.487  33.475 1.63e-17 1.35e-17 8.68e-18  9.57 -1011.74
F04838  -3.484  33.486 2.03e-17 1.38e-17 9.49e-18  9.81 -1011.71
F04852  -3.478  33.429 2.28e-17 1.53e-17 9.86e-18 16.82 -1011.68
F04861  -3.478  33.483 1.78e-17 1.50e-17 8.86e-18 13.02 -1011.52
F04858  -3.477  33.502 2.08e-17 1.35e-17 8.59e-18 11.87 -1011.63
F04859  -3.477  33.607 1.88e-17 1.39e-17 8.94e-18 12.15 -1011.79
F04860  -3.468  33.400 2.11e-17 1.52e-17 1.02e-17  8.45 -1011.62
F04843  -3.460  33.478 1.95e-17 1.25e-17 8.02e-18 13.70 -1011.74
F04839  -3.455  33.511 2.20e-17 1.40e-17 9.36e-18 12.31 -1011.52
F04842  -3.444  33.492 2.08e-17 1.48e-17 9.44e-18  9.57 -1011.65
F04854  -3.414  33.516 2.01e-17 1.39e-17 9.01e-18  9.36 -1011.62
F04857  -3.407  33.439 1.89e-17 1.42e-17 9.26e-18 12.52 -1011.67
F04844  -3.363  33.402 1.95e-17 1.51e-17 9.05e-18 11.14 -1011.47
F04841  -3.286  33.568 1.49e-17 1.12e-17 7.56e-18  8.80 -1011.50
