name x y flux1 flux2 flux3 par rv
P06779 -13.895 -26.496 1.60e-16 1.49e-16 1.19e-16   0.003   -0.36
P04887  -9.880 -21.268 1.51e-14 8.65e-15 4.04e-15   0.003   -0.46
P00675  -9.430 -15.922 1.43e-17 2.03e-17 2.08e-17   0.002   -0.77
P03667  -8.256 -26.730 4.26e-16 3.70e-16 2.94e-16   0.005    0.50
P05906  -5.334 -27.279 8.13e-17 4.02e-17 1.58e-17   0.006    0.65
P02388  -5.185 -23.472 4.37e-12 4.42e-12 3.68e-12   0.003   -0.25
P00736  -4.716 -27.035 1.87e-15 1.51e-15 9.17e-16   0.006    0.59
P09220  -4.077 -15.606 9.96e-14 5.61e-14 2.80e-14   0.002   -0.90
P07881  -4.026 -28.974 8.01e-15 4.99e-15 2.61e-15   0.002   -0.46
P08841  -3.340 -29.674 1.60e-16 1.79e-16 1.43e-16   0.006    1.11
P04642  -1.859 -29.431 1.64e-14 9.84e-15 6.10e-15   0.007    1.21
P03707  -1.812 -28.648 2.17e-15 1.49e-15 8.80e-16   0.004   -0.50
P04822  -1.825 -17.805 1.23e-17 1.56e-17 1.79e-17   0.004   -0.87
P05069  -1.436 -26.974 2.19e-16 2.28e-16 1.70e-16   0.005   -0.43
