name x y flux1 flux2 flux3 par rv
P00936   0.010  -1.913 1.95e-14 1.08e-14 4.99e-15   0.003    0.02
P07151   0.061  -0.808 2.18e-15 1.74e-15 8.42e-16   0.005   -2.11
P02297   0.500 -11.900 1.09e-16 1.23e-16 1.17e-16   0.006   -2.80
P01353   1.080  -0.916 7.34e-14 3.73e-14 1.68e-14   0.003    0.63
P06781   1.422  -1.200 7.74e-13 1.64e-12 2.02e-12   0.004    0.53
P09520   1.751  -1.551 3.65e-16 1.88e-16 7.65e-17   0.024   -1.42
P08317   1.881  -4.539 2.76e-12 1.64e-12 8.50e-13   0.002   -0.09
P00016   2.232  -5.729 2.73e-12 1.63e-12 7.62e-13   0.003   -0.17
P03712   2.642  -2.208 1.50e-16 1.45e-16 1.18e-16   0.002    0.33
P02754   2.875  -3.992 1.43e-17 1.79e-17 1.83e-17   0.003   -0.27
P02818   3.300  -7.783 1.63e-13 1.01e-13 3.50e-14   0.002   -0.57
P02772   3.627  -0.972 2.53e-12 1.41e-12 7.12e-13   0.004    0.33
P09705   3.676  -8.350 2.79e-12 1.78e-12 9.85e-13   0.002   -0.89
P07612   3.706  -0.125 1.01e-15 7.88e-16 4.96e-16   0.004    0.28
P10109   3.887  -9.293 3.60e-16 3.25e-16 1.72e-16   0.002   -1.14
P04311   3.605  -1.976 1.21e-17 1.62e-17 1.82e-17   0.002    0.16
P10347   3.881 -13.044 6.19e-14 5.39e-14 2.82e-14   0.021    0.34
P01194   4.102  -0.286 5.08e-16 3.98e-16 2.52e-16   0.003    0.27
P05056   4.165 -10.073 7.42e-15 4.54e-15 2.44e-15   0.003   -1.43
P10307   4.347  -0.030 7.80e-15 4.80e-15 2.09e-15   0.003   -1.20
P06277   4.298  -7.703 3.28e-15 1.98e-15 1.32e-15   0.005   -0.73
P07011   4.432  -0.111 1.09e-15 8.66e-16 5.36e-16   0.002    0.17
P08979   4.686  -1.278 1.51e-15 1.23e-15 6.03e-16   0.002    0.26
P03136   4.877  -1.604 1.20e-13 6.48e-14 2.63e-14   0.004    0.15
P05248   5.100  -8.623 1.65e-16 1.54e-16 1.30e-16   0.003   -0.98
P09483   5.173  -2.192 3.94e-15 2.77e-15 1.50e-15   0.000   -0.03
P04425   5.422  -1.845 5.04e-16 3.99e-16 2.88e-16   0.004   -0.01
P00160   5.555  -8.429 7.79e-17 9.32e-17 7.35e-17   0.003   -0.91
P06487   5.604  -3.483 9.30e-15 4.91e-15 2.34e-15   0.003   -0.78
P03556   5.647  -7.547 1.07e-16 9.76e-17 7.42e-17   0.004   -0.90
P00933   5.730  -6.697 6.70e-15 3.81e-15 2.00e-15   0.003   -1.29
P00580   5.850  -7.776 1.47e-15 9.76e-16 5.14e-16   0.002   -1.06
P00001   5.996  -7.383 1.61e-16 1.61e-16 1.15e-16   0.005   -0.83
P10422   5.856  -8.469 5.07e-16 5.12e-16 2.94e-16   0.004   -1.32
P04666   5.806  -3.733 1.64e-13 8.55e-14 3.65e-14   0.006   -1.10
P02830   6.014  -3.090 5.84e-17 6.91e-17 5.67e-17   0.004    0.02
P02450   6.073  -1.770 1.14e-17 1.58e-17 1.87e-17   0.004   -0.13
P06255   6.117  -7.220 3.10e-16 2.52e-16 1.97e-16   0.004   -0.96
P06243   6.362  -9.630 1.63e-12 8.24e-13 4.32e-13   0.002   -1.57
