name x y flux0 flux1 flux2 width rv
F03679   5.561 -27.232 1.19e-17 1.06e-17 6.00e-18 12.21 -1113.71
F03694   5.569 -27.305 1.38e-17 1.28e-17 5.35e-18 11.49 -1113.41
F03688   5.595 -27.265 1.68e-17 1.37e-17 8.58e-18  6.44 -1113.27
F03693   5.651 -27.228 1.31e-17 1.22e-17 5.71e-18 15.03 -1113.56
F03702   5.659 -27.204 1.44e-17 1.04e-17 5.96e-18  9.94 -1113.58
F03677   5.671 -27.265 2.23e-17 1.20e-17 6.94e-18 12.43 -1113.55
F03691   5.676 -27.224 2.06e-17 1.39e-17 9.18e-18  8.42 -1113.40
F03678   5.677 -27.264 1.34e-17 1.01e-17 7.14e-18 12.69 -1113.46
F03704   5.680 -27.194 1.88e-17 1.32e-17 7.15e-18  7.28 -1113.63
F03699   5.692 -27.304 1.34e-17 1.06e-17 7.02e-18  6.35 -1113.39
F03681   5.707 -27.257 1.45e-17 1.14e-17 6.51e-18  9.87 -1113.39
F03687   5.755 -27.243 1.77e-17 1.25e-17 7.71e-18 14.76 -1113.42
F03689   5.780 -27.355 1.35e-17 1.05e-17 8.33e-18  9.63 -1113.73
F03690   5.809 -27.082 2.02e-17 1.55e-17 8.24e-18 11.67 -1113.40
F03682   5.847 -27.187 1.53e-17 1.43e-17 6.00e-18  9.02 -1113.54
F03685   5.879 -27.307 1.55e-17 1.08e-17 8.67e-18  5.31 -1113.60
F07187  12.773 -18.496 3.26e-17 2.71e-17 1.49e-17 15.63 -717.03
F07188  13.154 -18.259 2.98e-17 2.12e-17 1.42e-17 15.13 -717.00
F07169  13.191 -18.261 3.10e-17 2.16e-17 1.31e-17 16.02 -717.01
F07167  13.198 -18.320 2.50e-17 1.97e-17 8.15e-18 16.26 -717.12
F07184  13.213 -18.272 3.09e-17 1.99e-17 1.97e-17 14.85 -717.07
F07172  13.257 -18.272 3.25e-17 3.04e-17 1.49e-17 13.46 -717.13
F07166  13.258 -18.258 3.52e-17 2.41e-17 1.23e-17 17.28 -717.29
F07180  13.268 -18.313 3.61e-17 2.38e-17 2.26e-17 20.06 -717.26
F07174  13.269 -18.270 3.47e-17 3.02e-17 1.69e-17 17.11 -717.00
F07161  13.270 -18.294 4.41e-17 4.07e-17 1.80e-17 18.54 -717.29
F07182  13.274 -18.205 3.72e-17 3.47e-17 1.90e-17 13.45 -717.03
F07158  13.279 -18.342 4.00e-17 2.63e-17 1.47e-17 17.14 -717.00
F07160  13.283 -18.291 4.24e-17 2.57e-17 2.53e-17 16.04 -717.04
F07171  13.284 -18.305 4.20e-17 2.72e-17 1.19e-17 13.28 -716.89
F07191  13.285 -18.318 3.71e-17 1.91e-17 1.80e-17 19.27 -717.16
F07193  13.290 -18.301 2.99e-17 1.63e-17 1.10e-17 18.86 -717.10
F07192  13.290 -18.304 3.54e-17 1.69e-17 1.35e-17 11.54 -717.01
F07179  13.293 -18.349 3.35e-17 3.36e-17 1.49e-17 15.91 -717.03
F07175  13.296 -18.316 5.51e-17 3.42e-17 2.08e-17 22.80 -716.93
F07170  13.302 -18.245 3.79e-17 2.57e-17 1.38e-17 15.01 -716.91
F07173  13.303 -18.277 3.61e-17 1.81e-17 1.59e-17 12.82 -717.19
F07159  13.305 -18.241 2.53e-17 2.04e-17 1.12e-17 18.53 -716.89
F07168  13.315 -18.483 5.47e-17 3.04e-17 1.54e-17 16.88 -717.11
F07183  13.317 -18.409 3.31e-17 1.63e-17 1.31e-17 13.28 -717.08
F07181  13.322 -18.443 2.77e-17 1.60e-17 1.40e-17 10.72 -717.10
F07177  13.327 -18.174 3.64e-17 2.75e-17 1.57e-17 19.02 -716.99
F07190  13.328 -18.319 3.97e-17 2.13e-17 1.66e-17 12.93 -716.99
F07186  13.329 -18.188 4.37e-17 2.10e-17 1.46e-17  9.34 -717.04
F07165  13.332 -18.315 4.56e-17 2.62e-17 1.53e-17 20.07 -716.96
F07195  13.338 -18.350 3.23e-17 1.98e-17 1.35e-17  6.20 -717.14
F07189  13.355 -18.519 2.90e-17 2.89e-17 1.18e-17 15.74 -717.17
F07162  13.365 -18.423 4.28e-17 2.52e-17 1.59e-17 12.88 -717.23
F07185  13.366 -18.346 3.74e-17 2.64e-17 2.03e-17 18.04 -716.94
F07194  13.386 -18.235 3.98e-17 2.68e-17 1.38e-17  4.53 -717.13
F07178  13.402 -18.398 6.03e-17 3.95e-17 2.35e-17 11.71 -717.11
F07197  13.425 -18.210 4.99e-17 4.45e-17 2.54e-17 19.37 -717.29
F07198  13.470 -18.245 4.41e-17 2.85e-17 1.65e-17 19.17 -716.99
F07164  13.477 -18.279 3.46e-17 3.07e-17 1.42e-17 13.26 -717.17
F07163  13.495 -18.325 3.67e-17 3.21e-17 1.74e-17 17.77 -717.10
F07176  13.754 -18.522 4.75e-17 3.22e-17 1.69e-17 11.24 -716.97
F07196  13.891 -18.137 4.01e-17 2.69e-17 1.25e-17 16.46 -717.02
