name x y flux1 flux2 flux3 par rv
P04909  15.460 -11.652 3.12e-12 1.71e-12 8.24e-13   0.002   -0.47
P05627  15.572  -9.929 2.55e-14 1.45e-14 7.07e-15   0.002   -3.89
P05921  15.652 -12.682 1.03e-16 8.70e-17 8.51e-17   0.001   -3.94
P08727  15.701  -3.672 2.83e-12 2.62e-12 1.58e-12   0.002   -3.82
P00064  15.775  -7.116 1.70e-13 8.17e-14 3.36e-14   0.003   -1.31
P06223  15.993  -8.916 5.94e-15 3.62e-15 1.99e-15   0.003   -1.04
P03555  16.053  -0.708 1.66e-16 1.54e-16 1.39e-16   0.005   -2.23
P01969  16.245 -10.769 9.49e-14 5.06e-14 2.69e-14   0.004   -0.66
P10128  16.529  -5.727 1.71e-16 1.77e-16 1.56e-16   0.005   -1.56
P05350  16.685 -11.665 2.30e-16 1.94e-16 1.41e-16   0.003   -3.99
P01929  16.612 -12.627 1.30e-13 6.79e-14 3.02e-14   0.005   -0.23
P03381  16.840  -5.091 1.11e-17 1.83e-17 1.95e-17   0.003   -1.74
P04794  16.911  -8.601 4.72e-12 2.76e-12 1.80e-12   0.005   -0.97
P03932  17.359 -11.536 9.95e-14 3.77e-14 2.06e-14   0.005   -0.44
P00409  17.558  -0.265 1.16e-14 7.78e-15 4.36e-15   0.006   -4.43
P09287  17.497 -11.791 2.06e-10 1.68e-10 1.42e-10   0.029    0.70
P06100  17.659  -6.164 7.85e-16 5.74e-16 3.92e-16   0.006   -1.53
P06122  17.592  -0.572 1.44e-16 1.54e-16 1.55e-16   0.006   -4.18
P03152  17.874  -6.941 5.06e-14 2.63e-14 1.60e-14   0.002   -3.26
P05529  17.984 -10.948 2.90e-15 1.97e-15 1.14e-15   0.003   -3.91
P08001  18.120 -10.513 4.89e-16 4.63e-16 3.19e-16   0.003   -0.70
P03742  18.177 -11.115 1.04e-14 6.83e-15 4.20e-15   0.005   -0.53
P08240  18.434  -8.428 1.57e-16 1.36e-16 1.16e-16   0.005   -3.60
P04779  18.442 -10.152 2.81e-12 1.34e-12 6.60e-13   0.005   -0.64
P09650  18.673  -3.012 3.57e-17 3.94e-17 4.08e-17   0.003   -4.37
P02836  18.962  -7.998 1.11e-16 1.24e-16 1.21e-16   0.003   -1.18
P00066  18.955 -11.192 1.82e-15 1.44e-15 8.79e-16   0.003   -0.43
P07389  19.203 -11.251 2.87e-17 1.18e-17 6.14e-18   0.005   -0.50
P00277  19.103  -2.298 1.35e-17 1.83e-17 1.90e-17   0.002   -4.44
P01304  19.202  -6.878 1.50e-15 1.18e-15 7.61e-16   0.004   -1.54
P01350  19.175 -11.319 2.64e-12 1.06e-12 5.88e-13   0.004   -0.42
P08545  19.321  -2.625 7.00e-14 4.00e-14 1.79e-14   0.005   -2.42
P05505  19.325  -8.830 1.66e-17 2.59e-17 2.69e-17   0.005   -0.92
P06045  19.354  -7.538 1.52e-17 2.20e-17 2.17e-17   0.006   -1.40
P00914  19.372  -5.557 1.40e-16 1.26e-16 8.73e-17   0.003   -3.56
P01769  19.461 -13.509 2.10e-13 9.58e-14 4.74e-14   0.003   -0.23
P01829  19.565  -4.907 7.29e-15 4.32e-15 2.16e-15   0.004   -2.23
P09025  19.584 -11.250 5.90e-14 2.61e-14 1.24e-14   0.005   -0.46
P10419  19.601  -6.724 1.39e-16 1.14e-16 8.22e-17   0.001   -0.56
P04639  19.587  -4.947 5.22e-17 6.88e-17 6.11e-17   0.004   -2.01
P08461  19.754  -5.422 4.06e-16 3.41e-16 2.56e-16   0.003   -2.02
P08032  19.574 -13.254 5.25e-14 2.61e-14 1.14e-14   0.004   -0.74
P03048  19.846 -10.361 8.28e-15 4.87e-15 2.88e-15   0.004   -0.61
P05997  19.830  -6.582 5.92e-14 3.05e-14 1.52e-14   0.004   -1.75
P03970  20.061  -7.470 9.42e-14 4.71e-14 2.36e-14   0.004   -1.44
P03280  20.050 -14.909 6.96e-17 7.23e-17 5.29e-17   0.003   -0.86
P09434  20.126 -12.817 1.31e-12 8.03e-13 3.98e-13   0.002   -0.78
P07595  20.193  -9.021 8.92e-14 4.55e-14 2.16e-14   0.005   -0.83
P07012  20.276  -6.908 1.88e-16 1.74e-16 1.06e-16   0.002   -0.60
P04818  20.348  -4.177 6.17e-14 3.10e-14 1.46e-14   0.005   -2.32
P00107  20.413 -14.249 1.58e-16 1.77e-16 1.52e-16   0.003   -0.30
P04574  20.824 -11.767 6.12e-16 5.35e-16 3.50e-16   0.003   -0.47
