name x y flux0 flux1 flux2 width rv
F06556  19.894 -32.266 4.14e-17 2.34e-17 1.67e-17 12.20 -848.76
F06540  20.138 -32.244 3.30e-17 3.24e-17 1.50e-17 11.96 -848.81
F06559  20.159 -32.340 2.67e-17 2.73e-17 1.10e-17 16.12 -848.68
F06550  20.159 -32.612 4.61e-17 2.24e-17 1.46e-17  7.10 -848.79
F06539  20.205 -32.831 2.91e-17 1.82e-17 1.07e-17 11.89 -848.55
F06536  20.209 -32.361 2.42e-17 1.27e-17 7.56e-18 13.27 -848.54
F06542  20.263 -32.188 3.42e-17 1.88e-17 1.02e-17 15.40 -848.64
F06544  20.314 -32.426 2.60e-17 2.14e-17 1.29e-17 10.47 -848.75
F06551  20.325 -32.358 2.63e-17 1.43e-17 1.15e-17 18.15 -848.69
F06546  20.331 -32.340 1.74e-17 1.59e-17 8.04e-18 10.61 -848.66
F06538  20.335 -32.350 4.13e-17 2.87e-17 1.62e-17 11.51 -848.72
F06555  20.337 -32.363 2.38e-17 2.06e-17 1.30e-17 13.31 -848.75
F06533  20.340 -32.372 2.34e-17 1.67e-17 1.13e-17 16.47 -848.76
F06545  20.340 -32.371 1.97e-17 1.75e-17 1.06e-17 10.31 -848.83
F06534  20.341 -32.328 2.09e-17 2.09e-17 1.24e-17 18.70 -848.57
F06553  20.363 -32.385 2.49e-17 1.97e-17 1.37e-17 11.29 -848.73
F06557  20.367 -32.387 2.00e-17 1.83e-17 1.42e-17 11.76 -848.77
F06561  20.373 -32.328 2.25e-17 1.50e-17 1.33e-17 12.54 -848.58
F06547  20.374 -32.359 2.71e-17 1.46e-17 1.06e-17 19.57 -848.63
F06532  20.374 -32.359 1.60e-17 1.75e-17 8.14e-18 18.00 -848.67
F06535  20.375 -32.358 3.32e-17 1.92e-17 1.20e-17 12.49 -848.62
F06543  20.380 -32.359 2.96e-17 2.90e-17 1.52e-17 12.37 -848.86
F06548  20.382 -32.378 2.41e-17 2.21e-17 1.55e-17  9.74 -848.73
F06558  20.384 -32.323 2.41e-17 1.60e-17 1.13e-17 16.64 -848.72
F06541  20.395 -32.354 2.32e-17 2.41e-17 1.19e-17 11.96 -848.59
F06531  20.418 -32.358 1.64e-17 1.28e-17 8.64e-18 15.98 -848.68
F06552  20.448 -32.429 1.74e-17 1.25e-17 8.63e-18 14.28 -848.66
F06549  20.449 -32.407 1.91e-17 2.34e-17 1.55e-17 11.71 -848.69
F06554  20.488 -32.386 2.87e-17 2.28e-17 1.55e-17 14.16 -848.71
F06537  20.503 -32.375 2.72e-17 1.65e-17 1.15e-17 17.38 -848.88
F06560  20.545 -32.464 2.91e-17 3.97e-17 1.26e-17 11.07 -848.88
F05915  28.966 -31.396 6.26e-17 7.41e-17 3.40e-17 19.02 -480.15
F05894  29.051 -30.960 8.81e-17 5.93e-17 3.11e-17 27.89 -479.94
F05896  29.314 -31.166 8.93e-17 6.62e-17 4.94e-17 22.10 -479.99
F05902  29.324 -31.453 1.26e-16 8.66e-17 3.93e-17 22.09 -479.81
F05907  29.338 -31.282 6.07e-17 5.05e-17 3.58e-17 29.85 -480.19
F05912  29.381 -31.146 5.86e-17 4.41e-17 2.50e-17 15.05 -479.92
F05899  29.394 -31.393 9.21e-17 6.82e-17 4.73e-17 22.81 -479.89
F05895  29.405 -31.201 7.39e-17 4.16e-17 3.19e-17 24.33 -480.06
F05917  29.428 -30.863 6.72e-17 7.60e-17 4.13e-17 25.09 -480.00
F05908  29.468 -31.034 7.31e-17 7.10e-17 3.86e-17 25.34 -480.19
F05916  29.506 -31.136 6.32e-17 4.56e-17 2.84e-17 33.98 -479.99
F05906  29.528 -31.148 8.93e-17 5.06e-17 2.89e-17 16.80 -480.00
F05913  29.540 -31.145 6.45e-17 4.84e-17 4.15e-17 21.70 -480.03
F05898  29.549 -31.304 7.24e-17 4.60e-17 3.42e-17 32.62 -479.98
F05901  29.551 -31.278 1.06e-16 8.53e-17 5.18e-17 17.93 -479.98
F05910  29.557 -31.096 1.05e-16 5.88e-17 3.82e-17 21.42 -479.95
F05897  29.560 -31.256 8.84e-17 7.40e-17 3.83e-17 18.40 -480.14
F05911  29.574 -31.051 9.14e-17 6.19e-17 3.13e-17 18.81 -480.01
F05914  29.613 -31.195 7.65e-17 6.82e-17 3.56e-17 30.36 -479.96
F05903  29.665 -30.685 8.94e-17 6.05e-17 5.68e-17 27.73 -479.97
F05918  29.665 -31.189 6.47e-17 5.09e-17 4.24e-17 37.87 -479.71
F05909  29.703 -31.209 8.69e-17 4.32e-17 2.57e-17 17.64 -480.09
F05905  29.756 -31.148 6.28e-17 6.23e-17 4.47e-17 16.33 -480.05
F05904  29.757 -31.278 1.04e-16 8.53e-17 5.29e-17 24.52 -479.95
