name x y flux0 flux1 flux2 width rv
F05900  30.424 -32.190 8.69e-17 5.04e-17 4.03e-17 21.39 -479.92
F04063  38.761 -43.946 2.01e-17 1.53e-17 1.15e-17  9.64 -989.52
F04049  38.771 -43.848 1.38e-17 1.31e-17 9.83e-18 12.43 -989.61
F04077  38.806 -43.806 2.17e-17 1.35e-17 8.66e-18 11.28 -989.64
F04076  38.822 -44.235 2.17e-17 1.32e-17 1.30e-17  9.40 -989.49
F04040  38.828 -43.849 2.02e-17 1.27e-17 7.79e-18 10.33 -989.70
F04073  38.849 -44.381 1.66e-17 1.53e-17 1.18e-17 18.12 -989.59
F04067  38.903 -43.852 1.24e-17 1.15e-17 8.80e-18 13.41 -989.64
F04079  38.943 -43.823 1.94e-17 1.44e-17 7.37e-18  9.21 -989.57
F04066  38.949 -43.951 3.07e-17 1.99e-17 1.08e-17 11.44 -989.83
F04054  38.951 -43.958 1.49e-17 1.18e-17 7.94e-18  7.92 -989.76
F04045  38.955 -43.787 1.58e-17 1.73e-17 9.44e-18  8.56 -989.64
F04046  38.957 -43.978 2.47e-17 2.75e-17 1.27e-17 16.95 -989.65
F04056  38.960 -43.961 2.34e-17 1.41e-17 9.01e-18 13.16 -989.71
F04062  38.961 -43.978 1.52e-17 1.09e-17 7.19e-18 12.67 -989.55
F04081  38.973 -44.073 2.00e-17 1.27e-17 8.73e-18 12.51 -989.55
F04061  38.975 -43.934 1.70e-17 1.16e-17 8.18e-18 13.85 -989.67
F04068  38.990 -43.896 2.29e-17 1.33e-17 9.28e-18 14.22 -989.75
F04052  38.998 -43.912 1.88e-17 1.26e-17 8.88e-18 11.24 -989.57
F04053  39.007 -43.934 1.86e-17 1.19e-17 9.72e-18 13.16 -989.64
F04082  39.007 -43.978 1.77e-17 1.24e-17 1.13e-17 14.30 -989.79
F04071  39.011 -43.940 1.36e-17 1.04e-17 5.13e-18  7.62 -989.54
F04065  39.014 -43.943 1.82e-17 1.40e-17 1.24e-17 10.50 -989.64
F04047  39.015 -43.948 1.36e-17 1.20e-17 8.03e-18 10.72 -989.37
F04055  39.028 -43.954 2.01e-17 1.46e-17 8.44e-18  6.79 -989.69
F04042  39.047 -44.094 1.67e-17 1.56e-17 8.64e-18 10.18 -989.55
F04059  39.063 -43.966 2.24e-17 1.64e-17 1.22e-17 10.94 -989.64
F04041  39.065 -44.062 1.71e-17 1.49e-17 7.65e-18 13.14 -989.77
F04043  39.066 -44.022 2.27e-17 1.43e-17 8.99e-18  9.30 -989.64
F04060  39.066 -43.982 2.68e-17 1.65e-17 7.81e-18 10.32 -989.61
F04078  39.070 -43.984 1.68e-17 1.00e-17 7.55e-18 10.66 -989.87
F04080  39.105 -44.047 1.24e-17 1.36e-17 6.85e-18 12.59 -989.61
F04072  39.133 -43.844 2.22e-17 1.27e-17 9.43e-18 12.41 -989.71
F04050  39.180 -43.852 2.46e-17 1.26e-17 1.13e-17 11.04 -989.75
F04051  39.208 -43.717 1.83e-17 1.03e-17 9.54e-18  8.34 -989.59
F04075  39.214 -44.072 2.49e-17 1.30e-17 8.88e-18 17.01 -989.59
F04039  39.223 -44.037 2.29e-17 1.72e-17 1.01e-17 11.59 -989.54
F04069  39.230 -43.894 2.10e-17 1.67e-17 1.32e-17  9.81 -989.79
F04044  39.239 -44.009 2.20e-17 1.81e-17 1.17e-17 10.36 -989.74
F04057  39.415 -43.999 1.31e-17 1.41e-17 1.01e-17  7.04 -989.54
F04064  39.428 -44.114 2.50e-17 2.91e-17 8.46e-18 14.06 -989.69
F04058  39.475 -44.498 1.68e-17 1.62e-17 8.24e-18  9.46 -989.72
F06233  41.131 -44.823 1.98e-17 1.39e-17 8.33e-18 10.15 -1027.01
F06245  41.239 -44.844 2.14e-17 1.46e-17 8.73e-18  9.90 -1027.25
F06235  41.259 -44.783 1.87e-17 1.62e-17 1.27e-17 12.35 -1027.33
F06243  41.288 -44.618 1.42e-17 1.07e-17 7.24e-18  7.99 -1026.95
F06238  41.312 -44.919 1.41e-17 1.36e-17 6.02e-18 11.47 -1027.06
F06250  41.331 -44.957 1.57e-17 1.14e-17 6.09e-18 11.71 -1027.10
F06255  41.359 -44.821 1.46e-17 1.42e-17 8.05e-18  8.14 -1026.97
F06253  41.386 -44.943 1.89e-17 1.46e-17 9.71e-18  9.68 -1027.05
F06251  41.410 -44.859 1.63e-17 1.46e-17 1.01e-17 11.32 -1027.30
F06242  41.425 -44.932 1.98e-17 1.84e-17 1.06e-17 12.37 -1027.09
F06237  41.427 -44.923 1.83e-17 1.33e-17 6.27e-18  7.71 -1027.05
F06241  41.431 -44.928 2.56e-17 1.84e-17 7.79e-18  5.22 -1027.23
F06240  41.433 -44.891 1.35e-17 1.15e-17 6.20e-18  8.03 -1027.24
F06248  41.441 -44.915 2.45e-17 1.26e-17 8.91e-18 12.23 -1027.19
F06232  41.442 -44.987 1.61e-17 1.45e-17 8.57e-18 11.96 -1027.25
F06244  41.479 -44.897 1.74e-17 1.48e-17 8.24e-18 10.47 -1026.99
F06239  41.549 -44.934 1.42e-17 1.49e-17 8.63e-18 18.62 -1027.31
F06231  41.552 -44.970 2.86e-17 1.51e-17 1.06e-17  8.69 -1027.05
F06252  41.561 -44.980 1.77e-17 1.07e-17 6.98e-18 12.06 -1027.27
F06249  41.565 -44.608 1.85e-17 1.43e-17 7.82e-18  7.48 -1027.19
