name x y flux0 flux1 flux2 width rv
F04471 -36.600  11.351 2.28e-17 1.44e-17 1.04e-17 11.22 -874.21
F04459 -36.547  11.603 2.61e-17 1.40e-17 9.65e-18  7.41 -874.37
F04479 -36.494  11.437 3.01e-17 1.95e-17 1.24e-17 20.81 -874.25
F04481 -36.486  11.278 2.65e-17 2.04e-17 1.24e-17 11.45 -874.23
F04458 -36.478  11.450 1.88e-17 1.06e-17 7.34e-18 12.28 -874.15
F04476 -36.434  10.966 2.34e-17 2.49e-17 1.19e-17 16.77 -874.19
F04489 -36.412  11.015 2.82e-17 1.86e-17 1.26e-17 15.58 -874.07
F04478 -36.403  11.018 2.22e-17 1.64e-17 9.46e-18 13.83 -874.23
F04495 -36.401  10.966 2.68e-17 1.99e-17 1.29e-17 12.20 -874.20
F04494 -36.376  11.238 1.99e-17 1.81e-17 1.18e-17 13.81 -874.27
F04480 -36.371  11.209 2.20e-17 1.36e-17 9.22e-18 10.54 -874.20
F04465 -36.369  11.266 3.48e-17 1.94e-17 1.61e-17 10.96 -874.27
F04482 -36.352  11.314 2.77e-17 2.05e-17 1.16e-17 10.63 -874.12
F04490 -36.338  11.239 2.22e-17 2.01e-17 1.29e-17 18.29 -874.23
F04462 -36.338  11.261 1.99e-17 1.38e-17 1.06e-17 13.61 -874.21
F04475 -36.337  11.277 1.81e-17 1.20e-17 9.12e-18 10.67 -874.41
F04491 -36.329  11.108 2.26e-17 1.44e-17 9.82e-18 14.88 -874.10
F04468 -36.326  11.219 2.65e-17 1.91e-17 1.48e-17 13.68 -874.43
F04493 -36.323  11.249 2.16e-17 1.53e-17 1.16e-17 12.44 -874.13
F04451 -36.322  11.246 3.41e-17 2.01e-17 1.31e-17  8.82 -874.02
F04460 -36.321  11.211 1.69e-17 1.09e-17 7.29e-18 13.41 -874.21
F04456 -36.320  11.246 1.89e-17 1.25e-17 9.50e-18 17.48 -874.39
F04483 -36.319  11.306 2.68e-17 1.33e-17 9.48e-18 14.24 -874.16
F04501 -36.319  11.248 2.63e-17 2.22e-17 1.27e-17 15.92 -874.10
F04466 -36.313  11.269 2.04e-17 1.69e-17 1.04e-17 16.24 -874.18
F04464 -36.309  11.239 2.83e-17 1.83e-17 1.26e-17 16.58 -874.29
F04470 -36.307  11.205 2.36e-17 1.27e-17 6.68e-18 14.27 -874.28
F04461 -36.305  11.272 2.50e-17 1.68e-17 1.11e-17 15.47 -874.21
F04486 -36.301  11.261 2.55e-17 1.49e-17 1.25e-17 11.68 -874.24
F04500 -36.300  11.273 2.74e-17 1.80e-17 1.30e-17 14.99 -874.27
F04474 -36.300  11.356 3.00e-17 1.55e-17 1.14e-17 13.54 -874.12
F04455 -36.300  11.337 2.84e-17 1.95e-17 1.03e-17  7.75 -874.07
F04497 -36.292  11.246 2.49e-17 1.78e-17 1.21e-17 19.72 -874.19
F04463 -36.291  11.195 2.26e-17 1.77e-17 9.35e-18  9.95 -874.32
F04469 -36.289  11.539 3.44e-17 2.40e-17 1.31e-17 18.34 -874.36
F04473 -36.272  11.383 3.11e-17 2.19e-17 1.55e-17  7.15 -874.26
F04477 -36.270  11.287 3.15e-17 1.89e-17 1.53e-17 10.31 -874.24
F04499 -36.242  11.065 2.48e-17 1.43e-17 1.28e-17 11.29 -874.28
F04454 -36.228  11.047 3.73e-17 1.95e-17 1.29e-17 13.92 -874.12
F04452 -36.225  11.327 2.49e-17 2.16e-17 1.51e-17 10.05 -874.24
F04484 -36.214  10.976 2.88e-17 2.08e-17 1.10e-17 12.91 -874.02
F04472 -36.214  11.279 2.34e-17 1.63e-17 1.38e-17 10.43 -874.21
F04457 -36.207  11.021 2.66e-17 2.14e-17 1.29e-17 13.81 -874.25
F04467 -36.195  11.259 2.75e-17 1.49e-17 1.09e-17  7.98 -874.29
F04488 -36.140  11.246 2.27e-17 1.78e-17 1.12e-17 11.00 -874.27
F04487 -36.119  10.940 3.88e-17 2.42e-17 1.30e-17  9.94 -874.25
F04492 -36.118  11.083 2.83e-17 1.83e-17 1.04e-17 14.47 -874.11
F04453 -36.114  11.332 2.67e-17 1.67e-17 1.31e-17 17.24 -874.15
F04502 -36.099  11.114 2.13e-17 1.67e-17 9.43e-18  9.79 -874.24
F04496 -36.015  10.973 2.25e-17 1.74e-17 1.23e-17 12.35 -874.28
F04498 -35.481  11.770 2.35e-17 2.17e-17 1.33e-17 12.48 -874.13
