name x y flux0 flux1 flux2 width rv
F04448 -28.975  -1.287 3.17e-17 2.13e-17 1.42e-17 14.95 -748.18
F04450 -28.958  -1.137 3.25e-17 2.24e-17 1.69e-17 14.95 -748.36
F04449 -28.945  -1.100 2.49e-17 1.73e-17 1.29e-17  8.57 -748.55
F04447 -28.918  -1.125 3.52e-17 2.64e-17 1.37e-17 19.28 -748.50
F04444 -28.910  -0.870 2.61e-17 2.37e-17 1.39e-17 21.33 -748.37
F04443 -28.859  -1.179 3.33e-17 2.06e-17 1.53e-17 12.78 -748.26
F04446 -28.697  -1.140 4.45e-17 2.00e-17 1.64e-17 14.04 -748.29
F04445 -28.474  -1.688 2.58e-17 2.61e-17 8.76e-18 12.78 -748.58
F10354 -21.132  -7.970 1.80e-17 1.44e-17 9.11e-18  9.11 -1028.14
F10366 -21.124  -7.773 2.34e-17 1.65e-17 1.02e-17 10.57 -1028.15
F10368 -21.106  -7.701 2.21e-17 1.60e-17 8.28e-18  5.98 -1028.22
F10369 -21.068  -7.701 1.28e-17 1.02e-17 6.80e-18  8.06 -1028.15
F10351 -21.056  -7.935 2.51e-17 1.56e-17 7.99e-18 12.38 -1028.08
F10364 -20.993  -7.944 1.58e-17 1.48e-17 7.13e-18  8.55 -1028.14
F10375 -20.950  -8.288 1.64e-17 1.33e-17 9.66e-18  9.19 -1028.11
F10365 -20.938  -7.988 2.07e-17 1.60e-17 6.83e-18 12.48 -1028.39
F10356 -20.934  -8.097 1.51e-17 1.28e-17 6.14e-18 13.43 -1028.19
F10374 -20.925  -7.633 2.24e-17 1.53e-17 9.15e-18 13.81 -1028.19
F10378 -20.896  -7.854 1.54e-17 1.24e-17 7.33e-18 12.71 -1028.30
F10371 -20.892  -7.871 1.80e-17 1.25e-17 1.26e-17  5.16 -1028.18
F10381 -20.872  -7.889 1.85e-17 1.34e-17 8.94e-18 13.82 -1028.19
F10352 -20.871  -7.736 2.08e-17 1.69e-17 9.22e-18 13.23 -1028.27
F10367 -20.863  -7.891 1.58e-17 1.24e-17 7.45e-18 13.01 -1028.17
F10357 -20.860  -7.862 1.74e-17 1.12e-17 8.35e-18  8.69 -1028.12
F10377 -20.860  -7.890 2.32e-17 1.52e-17 8.02e-18 12.00 -1028.40
F10372 -20.858  -7.905 1.83e-17 1.55e-17 1.05e-17 15.23 -1028.20
F10370 -20.854  -7.830 2.26e-17 1.69e-17 1.28e-17 10.44 -1028.08
F10359 -20.853  -7.904 1.54e-17 1.73e-17 7.05e-18  8.78 -1027.99
F10380 -20.842  -7.877 2.08e-17 1.32e-17 9.14e-18 13.69 -1028.31
F10360 -20.842  -7.906 1.68e-17 1.01e-17 9.08e-18 10.62 -1027.94
F10373 -20.816  -7.938 1.46e-17 1.33e-17 6.93e-18 15.47 -1028.34
F10355 -20.804  -8.065 2.22e-17 1.44e-17 1.08e-17 12.11 -1027.88
F10376 -20.801  -7.877 1.77e-17 1.00e-17 8.30e-18 13.59 -1028.16
F10379 -20.780  -7.905 1.89e-17 1.44e-17 9.18e-18 16.74 -1028.23
F10363 -20.762  -7.926 2.01e-17 2.01e-17 7.47e-18  7.69 -1028.13
F10362 -20.745  -7.819 1.78e-17 1.20e-17 6.09e-18 19.81 -1028.14
F10358 -20.728  -7.721 1.88e-17 1.40e-17 7.69e-18 10.27 -1028.19
F02407 -18.303  -7.637 2.64e-17 2.22e-17 1.42e-17  9.62 -803.56
F02445 -18.126  -7.678 2.28e-17 1.70e-17 1.12e-17 11.81 -803.51
F02444 -18.057  -7.720 3.66e-17 1.72e-17 1.22e-17 18.46 -803.52
F02467 -18.012  -7.808 3.34e-17 2.40e-17 1.15e-17 14.90 -803.54
F02455 -18.008  -7.835 3.45e-17 1.76e-17 1.15e-17 16.40 -803.42
F02423 -17.934  -7.846 2.62e-17 2.44e-17 1.26e-17 17.94 -803.68
F02420 -17.912  -7.719 4.59e-17 2.34e-17 1.67e-17 14.86 -803.63
F02408 -17.904  -7.747 2.54e-17 2.05e-17 1.04e-17  8.62 -803.51
F02417 -17.897  -7.641 2.32e-17 2.09e-17 1.39e-17 14.89 -803.59
F02409 -17.896  -7.914 1.99e-17 2.06e-17 1.16e-17 11.83 -803.45
F02430 -17.861  -7.899 2.14e-17 1.93e-17 1.19e-17 19.35 -803.51
F02421 -17.852  -7.762 2.42e-17 2.19e-17 1.76e-17 16.51 -803.64
F02437 -17.849  -7.707 1.94e-17 1.58e-17 9.64e-18 17.93 -803.68
F02441 -17.847  -7.717 2.53e-17 2.22e-17 1.62e-17 24.31 -803.51
F02454 -17.846  -7.765 3.58e-17 2.17e-17 1.47e-17 16.15 -803.66
