name x y flux0 flux1 flux2 width rv
F07413 -12.330 -21.279 2.48e-17 1.78e-17 6.41e-18 10.31 -970.36
F07415 -12.319 -21.403 1.65e-17 1.13e-17 1.13e-17 12.58 -970.22
F07411 -12.282 -21.171 2.36e-17 1.47e-17 1.18e-17 11.40 -970.39
F07402 -12.281 -21.305 2.46e-17 1.62e-17 1.01e-17 14.15 -970.34
F07404 -12.235 -21.235 1.83e-17 1.17e-17 7.51e-18 14.67 -970.40
F07401 -12.226 -21.193 2.62e-17 1.37e-17 9.58e-18 13.76 -970.40
F07409 -12.185 -21.238 2.07e-17 1.01e-17 8.84e-18  6.59 -970.60
F07403 -12.184 -21.049 2.00e-17 1.39e-17 8.99e-18  9.13 -970.31
F07407 -12.176 -21.181 2.05e-17 1.32e-17 1.03e-17 13.80 -970.32
F07399 -12.173 -21.333 2.87e-17 1.63e-17 1.24e-17 10.50 -970.33
F07400 -12.165 -21.140 1.68e-17 1.42e-17 1.05e-17 12.16 -970.38
F07406 -12.147 -21.211 2.31e-17 1.12e-17 1.25e-17 14.45 -970.20
F07398 -12.144 -21.477 2.28e-17 1.72e-17 7.44e-18  7.42 -970.47
F07394 -12.142 -21.228 1.89e-17 1.64e-17 1.29e-17 12.76 -970.47
F07410 -12.142 -21.173 1.79e-17 1.46e-17 6.85e-18 10.39 -970.41
F07417 -12.130 -21.199 1.85e-17 1.37e-17 7.76e-18 13.94 -970.25
F07414 -12.129 -21.182 1.71e-17 1.41e-17 9.10e-18 11.15 -970.33
F07395 -12.124 -21.202 1.68e-17 1.28e-17 8.50e-18 15.70 -970.57
F07412 -12.104 -21.151 2.57e-17 1.70e-17 1.11e-17 14.35 -970.20
F07396 -12.101 -21.131 2.25e-17 1.72e-17 9.46e-18 13.98 -970.46
F07397 -12.093 -21.109 1.40e-17 1.38e-17 8.80e-18 11.50 -970.51
F07416 -12.081 -21.132 2.30e-17 1.50e-17 7.74e-18 14.05 -970.45
F07408 -12.030 -21.211 2.20e-17 1.75e-17 1.18e-17 11.59 -970.33
F07405 -11.856 -20.985 2.37e-17 1.53e-17 1.07e-17  8.08 -970.31
F07418 -11.724 -20.683 2.90e-17 1.42e-17 9.52e-18  9.56 -970.20
