name x y flux0 flux1 flux2 width rv
F01120   2.556 -18.409 2.81e-17 1.66e-17 1.30e-17 12.09 -847.42
F01135   2.682 -18.687 2.24e-17 1.51e-17 7.27e-18 11.91 -847.31
F01138   2.758 -18.712 2.07e-17 1.76e-17 1.91e-17 12.42 -847.21
F01149   2.861 -19.008 1.73e-17 1.59e-17 9.55e-18  8.76 -847.33
F01132   2.940 -18.449 2.24e-17 2.28e-17 1.51e-17  9.86 -847.28
F01113   2.943 -18.624 2.97e-17 2.00e-17 1.03e-17 12.77 -847.12
F01152   2.989 -18.839 2.38e-17 1.88e-17 1.19e-17 11.77 -847.29
F01124   2.995 -18.746 2.00e-17 1.94e-17 1.05e-17 11.36 -847.17
F01121   3.011 -18.660 3.93e-17 2.52e-17 1.43e-17 12.39 -847.34
F01126   3.023 -18.690 2.44e-17 1.88e-17 1.33e-17 14.41 -847.20
F01147   3.028 -18.775 2.69e-17 1.92e-17 1.77e-17  6.90 -847.37
F01127   3.045 -18.799 2.12e-17 1.44e-17 7.20e-18 11.05 -847.40
F01133   3.046 -18.696 2.31e-17 2.26e-17 1.55e-17 11.13 -847.36
F01129   3.072 -18.723 2.27e-17 1.99e-17 9.65e-18 11.53 -847.28
F01140   3.088 -18.686 2.45e-17 1.84e-17 1.26e-17 12.78 -847.24
F01123   3.091 -18.665 2.04e-17 1.78e-17 1.20e-17 10.46 -847.55
F01134   3.094 -18.694 3.07e-17 2.20e-17 1.31e-17 11.30 -847.14
F01128   3.096 -18.692 2.27e-17 1.60e-17 1.16e-17  7.75 -847.31
F01148   3.098 -18.653 1.77e-17 1.43e-17 1.05e-17 10.49 -847.25
F01151   3.100 -18.690 2.03e-17 1.31e-17 1.22e-17 11.60 -847.45
F01114   3.102 -18.686 2.43e-17 2.32e-17 1.20e-17  9.38 -847.32
F01111   3.105 -18.612 3.86e-17 2.17e-17 1.12e-17 11.77 -847.15
F01110   3.106 -18.684 3.02e-17 1.81e-17 1.58e-17 19.18 -847.13
F01143   3.107 -18.724 2.34e-17 1.57e-17 1.08e-17 12.29 -847.32
F01118   3.109 -18.689 3.05e-17 2.14e-17 1.25e-17 14.06 -847.43
F01139   3.110 -18.845 2.15e-17 1.76e-17 1.14e-17 10.11 -847.20
F01116   3.111 -18.663 2.79e-17 1.86e-17 8.90e-18 21.56 -847.37
F01144   3.114 -18.656 2.18e-17 2.94e-17 1.33e-17 12.04 -847.34
F01115   3.116 -18.685 3.34e-17 2.19e-17 1.24e-17  5.56 -847.45
F01106   3.121 -18.637 2.55e-17 1.87e-17 1.54e-17 11.02 -847.28
F01131   3.123 -18.669 2.48e-17 1.55e-17 1.60e-17 11.54 -847.39
F01112   3.138 -18.564 2.26e-17 2.24e-17 1.11e-17 10.78 -847.34
F01150   3.145 -18.612 2.87e-17 1.84e-17 1.03e-17 11.50 -847.41
F01117   3.147 -18.695 3.09e-17 2.38e-17 1.81e-17  9.09 -847.18
F01137   3.151 -18.759 3.21e-17 1.80e-17 1.65e-17 11.78 -847.26
F01146   3.152 -18.962 1.72e-17 1.84e-17 9.26e-18 18.17 -847.26
F01122   3.164 -18.831 3.57e-17 1.76e-17 1.63e-17 14.19 -847.43
F01142   3.177 -18.756 1.65e-17 1.48e-17 7.69e-18  8.23 -847.25
F01108   3.190 -18.620 2.76e-17 1.34e-17 1.01e-17 13.81 -847.31
F01107   3.194 -18.737 2.76e-17 2.24e-17 1.30e-17  9.90 -847.34
F01125   3.266 -18.862 2.00e-17 1.70e-17 8.52e-18 10.97 -847.38
F01109   3.273 -18.636 2.12e-17 1.71e-17 9.74e-18 15.12 -847.36
F01130   3.337 -18.643 1.98e-17 1.39e-17 7.95e-18 15.44 -847.41
F01141   3.354 -18.890 3.06e-17 1.97e-17 1.56e-17 14.90 -847.47
F01145   3.380 -18.842 2.28e-17 1.67e-17 1.01e-17 19.58 -847.20
F01119   3.386 -18.873 2.42e-17 1.94e-17 1.19e-17 14.55 -847.42
F01136   3.392 -18.874 2.69e-17 1.83e-17 1.42e-17 14.16 -847.43
F03918   4.885 -24.826 2.07e-16 1.27e-16 8.98e-17 25.20 -327.06
F03937   5.350 -24.760 1.17e-16 1.02e-16 8.48e-17 35.47 -327.04
F03944   5.369 -25.290 1.76e-16 1.14e-16 8.19e-17 43.29 -327.24
F03917   5.634 -24.826 1.58e-16 8.28e-17 7.43e-17 40.54 -327.08
F03927   5.781 -24.162 1.64e-16 1.22e-16 7.39e-17 38.54 -327.13
F03935   5.783 -25.006 1.33e-16 1.22e-16 6.23e-17 30.31 -327.00
F03931   5.889 -24.758 2.32e-16 1.24e-16 1.06e-16 51.67 -327.32
F03933   5.901 -24.875 1.90e-16 1.12e-16 7.21e-17 29.33 -327.15
F03945   5.923 -25.171 1.85e-16 1.23e-16 7.08e-17 22.95 -327.17
F03924   5.925 -24.788 1.92e-16 7.84e-17 7.65e-17 28.39 -327.32
F03946   5.932 -24.710 1.35e-16 1.12e-16 8.09e-17 32.14 -327.14
F10418   5.952 -15.070 4.18e-16 3.08e-16 1.78e-16 56.05 -193.31
F03920   5.957 -24.760 1.26e-16 1.03e-16 8.55e-17 25.21 -327.49
F03930   5.982 -24.782 1.95e-16 1.51e-16 1.02e-16 33.80 -327.12
F03936   5.984 -24.850 1.95e-16 1.38e-16 8.10e-17 31.92 -327.03
F03942   5.987 -24.958 1.94e-16 1.14e-16 9.25e-17 23.42 -327.11
F03923   6.007 -24.630 1.44e-16 1.06e-16 4.78e-17 32.77 -327.19
F03928   6.016 -24.561 1.62e-16 1.34e-16 6.62e-17 35.25 -327.35
F03916   6.018 -24.780 1.55e-16 8.51e-17 5.67e-17 27.44 -327.11
F03943   6.028 -24.723 1.61e-16 1.16e-16 7.32e-17 31.48 -327.18
F03921   6.029 -24.891 1.28e-16 1.22e-16 1.01e-16 38.82 -327.15
F03932   6.031 -24.747 1.34e-16 8.74e-17 6.11e-17 30.68 -326.94
F03939   6.034 -24.870 2.38e-16 1.87e-16 1.07e-16 27.65 -327.28
F03915   6.044 -24.798 1.79e-16 1.43e-16 9.15e-17 22.91 -327.26
F03929   6.060 -24.926 1.44e-16 9.15e-17 5.95e-17 30.46 -327.02
F03941   6.061 -24.757 1.65e-16 1.20e-16 7.90e-17 49.67 -327.13
F03940   6.080 -24.456 2.20e-16 1.24e-16 1.36e-16 38.90 -327.27
F03926   6.140 -24.664 1.69e-16 1.64e-16 9.32e-17 24.54 -327.24
F03919   6.155 -24.761 1.74e-16 1.40e-16 8.33e-17 36.71 -327.19
F03925   6.187 -25.037 2.88e-16 1.91e-16 9.72e-17 32.82 -327.19
F03938   6.219 -24.762 1.79e-16 1.36e-16 8.50e-17 51.28 -327.05
F03934   6.326 -24.764 1.77e-16 2.08e-16 7.73e-17 39.82 -327.18
F03922   6.494 -25.071 2.17e-16 1.12e-16 7.45e-17 30.35 -327.27
F10408   7.325 -15.208 4.67e-16 2.40e-16 2.24e-16 51.70 -193.51
F10396   7.956 -15.117 3.28e-16 3.45e-16 2.57e-16 52.81 -193.77
F10820   9.200 -15.620 3.12e-16 2.92e-16 1.62e-16 42.62 -208.27
F10816   9.827 -15.078 3.51e-16 3.07e-16 2.18e-16 47.92 -208.40
