name x y flux0 flux1 flux2 width rv
F08067  23.887  -0.795 7.72e-16 4.53e-16 2.83e-16 64.80 -192.18
F08080  24.279  -0.324 5.35e-16 4.28e-16 3.02e-16 55.43 -192.28
F08069  24.347  -1.149 4.26e-16 4.86e-16 1.91e-16 60.93 -192.04
F08087  24.751  -0.117 4.11e-16 3.08e-16 2.14e-16 59.60 -192.22
F08070  24.752  -0.665 4.28e-16 3.22e-16 1.84e-16 57.02 -192.12
F08066  24.756  -0.300 4.44e-16 4.09e-16 2.47e-16 39.67 -192.05
F08092  24.762  -0.326 3.68e-16 3.12e-16 2.42e-16 71.17 -192.11
F08086  24.766  -0.179 4.20e-16 3.18e-16 3.39e-16 70.09 -192.02
F08078  24.783  -0.791 6.14e-16 3.87e-16 2.97e-16 83.33 -192.21
F08076  24.788  -0.802 7.13e-16 5.00e-16 3.60e-16 71.52 -192.06
F08082  24.908  -0.155 4.15e-16 2.43e-16 2.13e-16 57.99 -192.20
F08077  24.915  -0.043 4.98e-16 4.29e-16 2.59e-16 56.52 -192.16
F08075  25.042  -0.216 3.81e-16 3.77e-16 2.50e-16 47.87 -192.07
F08068  25.065  -0.527 6.36e-16 4.17e-16 2.43e-16 52.69 -191.90
F08071  25.078  -0.200 3.34e-16 2.55e-16 1.48e-16 58.47 -192.11
F08090  25.081  -0.296 3.57e-16 3.11e-16 2.64e-16 40.20 -192.12
F08083  25.110  -2.199 3.80e-16 4.16e-16 2.63e-16 60.98 -191.96
F08063  25.118  -0.237 5.68e-16 3.21e-16 2.67e-16 52.35 -191.93
F08061  25.205  -0.190 4.30e-16 3.73e-16 1.81e-16 36.50 -192.09
F08079  25.238  -0.494 5.98e-16 4.03e-16 2.44e-16 52.75 -192.19
F08081  25.350  -0.396 5.15e-16 3.03e-16 2.52e-16 71.00 -191.90
F08074  25.463  -0.640 5.45e-16 3.88e-16 2.99e-16 62.00 -192.12
F08089  25.466  -0.396 7.42e-16 3.85e-16 2.78e-16 65.86 -191.94
F08072  25.519  -0.389 5.83e-16 3.35e-16 2.55e-16 60.66 -192.09
F08084  25.549  -0.595 5.50e-16 3.95e-16 3.25e-16 39.43 -191.99
F08065  26.227  -0.057 5.54e-16 2.81e-16 2.43e-16 53.71 -192.14
F08088  26.342  -0.697 5.25e-16 2.75e-16 2.65e-16 74.84 -192.17
F02362  28.928 -13.989 4.11e-17 3.30e-17 2.30e-17 15.17 -589.30
F02370  29.061 -14.093 6.00e-17 3.53e-17 2.22e-17 20.51 -589.45
F02369  29.123 -14.742 6.29e-17 3.76e-17 2.81e-17 24.27 -589.32
F02371  29.142 -13.387 5.82e-17 2.61e-17 2.23e-17 29.34 -589.43
F02366  29.217 -14.320 6.00e-17 3.97e-17 2.85e-17 18.96 -589.37
F02364  29.219 -14.330 4.90e-17 3.95e-17 2.17e-17 23.74 -589.60
F02357  29.279 -14.004 5.13e-17 3.81e-17 2.30e-17 10.29 -589.30
F02352  29.308 -14.252 5.37e-17 3.48e-17 2.41e-17 22.29 -589.30
F02367  29.336 -14.256 6.92e-17 4.30e-17 2.99e-17 15.58 -589.51
F02368  29.344 -14.441 5.68e-17 3.65e-17 3.07e-17 15.17 -589.51
F02354  29.346 -14.271 6.35e-17 3.95e-17 2.06e-17 19.13 -589.51
F02356  29.355 -14.257 7.43e-17 6.48e-17 3.94e-17 14.63 -589.42
F02358  29.364 -14.277 6.68e-17 3.50e-17 2.69e-17 24.57 -589.47
F02363  29.392 -14.240 4.16e-17 4.12e-17 2.18e-17 15.21 -589.53
F02365  29.415 -14.145 3.59e-17 3.90e-17 2.48e-17 19.76 -589.35
F02361  29.429 -14.749 5.18e-17 4.19e-17 2.43e-17 23.39 -589.36
F02355  29.478 -14.321 4.13e-17 3.90e-17 2.56e-17 24.66 -589.43
F02353  29.596 -13.975 5.01e-17 2.83e-17 2.26e-17 12.70 -589.53
F02359  29.664 -13.827 3.91e-17 3.06e-17 2.08e-17 23.78 -589.34
