name x y flux0 flux1 flux2 width rv
F02548  31.014  30.566 3.61e-17 2.39e-17 1.75e-17 10.09 -633.98
F02534  31.122  31.078 4.15e-17 2.44e-17 1.74e-17 16.11 -634.07
F02545  31.225  30.658 6.53e-17 4.10e-17 2.51e-17  7.33 -634.28
F02540  31.226  30.498 3.37e-17 2.72e-17 1.94e-17 22.21 -634.13
F02533  31.247  30.715 4.80e-17 2.96e-17 2.20e-17 21.85 -634.17
F02559  31.263  30.441 4.54e-17 3.03e-17 1.90e-17 21.99 -634.18
F02539  31.276  30.548 4.64e-17 3.16e-17 2.09e-17 17.13 -634.21
F02555  31.308  30.531 4.90e-17 3.28e-17 2.41e-17 23.32 -634.19
F02536  31.328  30.514 4.19e-17 3.33e-17 2.23e-17 19.80 -634.20
F02538  31.339  30.577 3.93e-17 3.02e-17 2.18e-17 17.55 -634.23
F02531  31.352  30.504 4.52e-17 2.91e-17 2.30e-17 20.36 -634.01
F02556  31.358  30.532 4.48e-17 3.38e-17 2.21e-17 16.81 -634.37
F02537  31.359  30.455 4.51e-17 3.54e-17 1.86e-17 14.26 -633.91
F02557  31.360  30.299 4.75e-17 3.39e-17 2.03e-17 19.78 -634.10
F02563  31.361  30.538 4.68e-17 3.00e-17 2.09e-17 17.60 -634.19
F02560  31.363  30.558 6.36e-17 4.58e-17 2.83e-17 23.62 -634.22
F02544  31.366  30.548 5.31e-17 3.54e-17 2.47e-17 17.11 -634.06
F02535  31.366  30.626 6.29e-17 4.09e-17 3.02e-17 11.74 -634.13
F02549  31.367  30.471 4.96e-17 2.69e-17 1.98e-17 22.17 -634.13
F02532  31.367  30.602 5.77e-17 3.62e-17 2.42e-17 21.52 -634.08
F02558  31.367  30.532 5.65e-17 4.07e-17 2.82e-17 20.60 -634.09
F02564  31.372  30.577 5.13e-17 3.92e-17 2.74e-17 17.38 -634.14
F02530  31.374  30.493 5.40e-17 3.60e-17 2.55e-17 20.69 -634.19
F02550  31.378  30.546 3.86e-17 2.86e-17 2.08e-17 14.92 -634.13
F02546  31.393  30.567 3.76e-17 2.58e-17 1.70e-17 11.26 -634.16
F02529  31.405  30.717 5.12e-17 3.77e-17 2.52e-17 21.66 -634.25
F02547  31.406  30.561 4.51e-17 3.35e-17 2.23e-17 15.30 -634.03
F02551  31.425  30.237 4.87e-17 3.36e-17 2.37e-17 20.17 -634.12
F02561  31.489  30.541 3.46e-17 2.72e-17 1.69e-17 13.06 -634.30
F02554  31.532  30.535 4.55e-17 2.99e-17 1.98e-17 13.87 -634.08
F02542  31.535  30.630 5.54e-17 3.43e-17 2.08e-17 24.64 -634.14
