Name Equatorial Polar BlueFlux GreenFlux RedFlux Parallax RadialVelocity Distance Periodicity Location
P02678 39.384 37.144 1.1e-13 7.88e-14 4.49e-14 0.002 3.53 undef 0.0 UpE06
P00020 41.702 37.264 1.53e-17 1.2e-17 8.33e-18 0.002 2.96 undef 49.37533948940794 UpE06
P10060 39.592 38.896 1.5e-15 7.599999999999999e-16 3.91e-16 0.0 2.95 undef 0.0 UpE06
P06647 41.583 37.72 2.92e-15 1.56e-15 6.42e-16 0.001 3.22 undef 0.0 UpE06
P01062 40.068000000000005 38.738 6.659999999999999e-17 3.8299999999999995e-17 2.1199999999999998e-17 0.001 3.12 undef 0.0 UpE06
P04713 40.391999999999996 38.953 2.92e-15 1.79e-15 6.67e-16 -0.001 2.84 undef 0.0 UpE06
P01594 42.336000000000006 37.637 1.45e-16 9.68e-17 5.2e-17 0.001 2.54 undef 0.0 UpE06
P07318 42.423 37.957 4.15e-15 1.7300000000000001e-15 8.279999999999999e-16 -0.001 2.92 undef 0.0 UpE06
P04612 42.103 38.152 7.66e-16 4.4000000000000005e-16 2.42e-16 -0.0 3.16 undef 0.0 UpE06
P10065 41.88 38.535 1.34e-16 8.25e-17 4.2e-17 0.001 3.1 undef 0.0 UpE06
P01284 42.181000000000004 38.128 4.23e-17 3.41e-17 1.62e-17 0.001 3.08 undef 0.0 UpE06
P08678 42.119 38.458 1.3600000000000002e-16 9.58e-17 4.0899999999999997e-17 -0.001 3.07 undef 0.0 UpE06
P00142 43.185 37.917 1.4400000000000001e-15 7.39e-16 3.84e-16 0.0 1.8 undef 0.0 UpE06
P08914 43.023 37.85 1.1399999999999998e-16 6.49e-17 5.35e-17 -0.001 1.81 undef 0.0 UpE06
P06885 42.59 38.17 1.15e-15 6.530000000000001e-16 2.82e-16 -0.001 2.81 undef 0.0 UpE06
P01672 43.457 37.813 4.86e-17 3.95e-17 2.18e-17 -0.0 1.52 undef 0.0 UpE06
P00864 42.288000000000004 38.444 2.2e-17 1.56e-17 1.24e-17 0.002 2.95 undef 51.5014164305949 UpE06
P05168 43.651 37.957 2.59e-17 1.63e-17 1.26e-17 0.0 1.36 undef 0.0 UpE06
P06112 42.42100000000001 38.482 8.24e-17 6.5e-17 3.11e-17 -0.002 2.82 undef 0.0 UpE06
P01120 41.808 38.846 1.49e-16 1e-16 5.04e-17 -0.0 2.45 undef 0.0 UpE06
P05165 42.821000000000005 38.291 1.37e-16 9.090000000000001e-17 4.8200000000000005e-17 0.0 2.72 undef 0.0 UpE06
P04929 42.902 38.384 5.639999999999999e-17 4.3200000000000004e-17 2.2699999999999998e-17 0.0 2.59 undef 0.0 UpE06
P05773 43.211999999999996 38.064 6.33e-16 3.36e-16 1.8000000000000002e-16 -0.001 1.45 undef 0.0 UpE06
P06648 42.416000000000004 38.705 1.09e-13 8.18e-14 4.99e-14 0.001 2.45 undef 0.0 UpE06
P02002 43.351000000000006 38.177 4.8e-17 4.01e-17 1.93e-17 0.0 1.39 undef 0.0 UpE06
P02002 43.303999999999995 38.265 4.6500000000000004e-17 4.0500000000000005e-17 1.96e-17 -0.0 1.34 undef 0.0 UpF06
P04699 42.701 38.584 8.33e-14 4.44e-14 2.76e-14 0.002 2.4 undef 0.0 UpF06
P08506 43.03 38.417 1.57e-17 1.32e-17 8.3e-18 0.001 1.99 undef 50.3601108033241 UpF06
P08320 43.04600000000001 38.495 2.53e-15 9.509999999999999e-15 2.49e-14 -0.001 2.08 undef 0.0 UpF06
P07438 42.886 38.663000000000004 2.05e-15 9.66e-16 5.58e-16 -0.001 2.22 undef 0.0 UpF06
P00596 43.333 38.403 1.22e-15 6.71e-16 3.25e-16 0.0 1.94 undef 0.0 UpF06
P08327 43.101000000000006 38.459 9.73e-16 4.33e-16 2.33e-16 -0.001 2.0 undef 0.0 UpF06
P08713 43.067 38.576 2e-15 1.1e-15 5.17e-16 -0.0 1.99 undef 0.0 UpF06
P05931 42.965 38.464 5.06e-14 2.67e-14 1.49e-14 -0.001 1.46 undef 0.0 UpF06
P08378 42.974 38.634 5.99e-17 4.3200000000000004e-17 2.3899999999999998e-17 0.002 2.1 undef 0.0 UpF06
P00430 43.42100000000001 38.416 1.7100000000000002e-15 1.08e-15 5.58e-16 0.001 1.22 undef 0.0 UpF06
P01211 43.988 38.097 4.49e-14 2.31e-14 1.11e-14 0.002 0.67 undef 0.0 UpF06
P02921 43.146 38.595 1.18e-14 2.55e-14 4.82e-14 -0.0 1.73 undef 0.0 UpF06
P01208 43.178000000000004 38.495 2.96e-16 1.87e-16 1.03e-16 0.001 1.22 undef 0.0 UpF06
P01508 43.19 38.46 1.67e-16 9.83e-17 5.69e-17 0.002 1.29 undef 0.0 UpF06
P00431 43.104 38.512 8.27e-17 5.91e-17 3.08e-17 0.001 1.37 undef 0.0 UpF06
P03309 43.118 38.534 7.95e-16 4.480000000000001e-16 2.2000000000000002e-16 0.0 1.36 undef 0.0 UpF06
P08991 42.515 38.92 2.1699999999999998e-15 1.3300000000000001e-15 4.480000000000001e-16 0.002 1.87 undef 0.0 UpF06
P07114 43.158 38.539 2.7500000000000003e-17 2.37e-17 1.4199999999999998e-17 0.0 0.97 undef 0.0 UpF06
P09951 43.282 38.564 2.98e-16 2.15e-16 1.1399999999999998e-16 0.002 1.08 undef 0.0 UpF06
P06548 42.544 38.893 1.73e-16 1.03e-16 5.15e-17 -0.001 1.79 undef 0.0 UpF06
P06704 43.083 38.58 2.67e-16 2.1099999999999998e-16 9.540000000000001e-17 0.0 1.6 undef 0.0 UpF06
P02978 43.286 38.516 7.2e-14 4.6e-14 1.98e-14 0.0 1.23 undef 0.0 UpF06
P07797 43.306000000000004 38.551 8.9e-16 4.4000000000000005e-16 2.4500000000000004e-16 0.001 1.42 undef 0.0 UpF06
P01193 42.364 39.009 1.05e-15 7.549999999999999e-16 2.5899999999999997e-16 0.0 1.8 undef 0.0 UpF06
P05451 43.321000000000005 38.476 7.54e-14 3.86e-14 2.06e-14 -0.001 0.78 undef 0.0 UpF06
P01912 43.187 38.548 1.09e-13 7.74e-14 5.1e-14 0.0 0.73 undef 0.0 UpF06
P02268 43.556999999999995 38.399 1.1100000000000001e-13 6.68e-14 3.57e-14 0.003 0.69 undef 0.0 UpF06
P01762 42.18600000000001 39.235 2.79e-15 1.4300000000000002e-15 5.429999999999999e-16 -0.0 1.86 undef 0.0 UpF06
P02718 43.856 38.363 1.95e-17 1.4099999999999997e-17 8.989999999999999e-18 -0.0 0.55 undef 51.15362971299943 UpF06
P04691 43.485 38.466 7.01e-16 4.11e-15 1.35e-14 0.001 0.65 undef 0.0 UpF06
P00755 43.141999999999996 38.551 2.47e-15 1.36e-15 4.72e-16 -0.0 0.98 undef 0.0 UpF06
P00880 43.306999999999995 38.484 1.6e-15 9.19e-16 4.3099999999999995e-16 -0.001 0.46 undef 0.0 UpF06
P05867 43.158 38.455999999999996 6.54e-17 4.5399999999999996e-17 2.67e-17 0.002 0.27 undef 0.0 UpF06
P04616 43.102 38.675 3.32e-17 3.12e-17 1.5e-17 -0.001 1.09 undef 0.0 UpF06
P05953 44.711999999999996 37.873000000000005 2.21e-16 1.4299999999999998e-16 6.35e-17 0.001 0.28 undef 0.0 UpF06
P08530 43.693000000000005 38.405 1.3400000000000001e-17 9.34e-18 7.03e-18 0.0 0.26 undef 49.80821917808219 UpF06
P02746 43.203 38.816 4.9e-14 3.05e-14 1.12e-14 0.002 1.06 undef 0.0 UpF06
P01871 43.551 38.443000000000005 2.6e-17 1.94e-17 1.3699999999999998e-17 0.0 0.0 undef 0.0 UpF06
P01192 42.816 38.97 2.7e-16 1.55e-16 8.69e-17 -0.0 1.42 undef 0.0 UpF06
P04849 43.708999999999996 38.499 5e-15 2.42e-15 1.05e-15 0.001 0.11 undef 0.0 UpF06
P05060 43.407 38.675 7.34e-16 4.74e-16 2e-16 -0.0 0.26 undef 0.0 UpF06
P02734 44.396 38.184 4.59e-16 2.63e-16 1.31e-16 0.0 0.05 undef 0.0 UpF06
P07257 42.725 39.046 1.6200000000000002e-16 1.28e-16 6.41e-17 -0.0 1.35 undef 0.0 UpF06
P00957 43.43600000000001 38.548 1.16e-17 8.59e-18 5.92e-18 -0.0 -0.13 undef 49.48285247686445 UpF06
P01423 43.571999999999996 38.768 8.39e-14 4.44e-14 2.42e-14 0.001 0.21 undef 0.0 UpF06
P04659 42.06399999999999 39.361999999999995 5.71e-14 2.66e-14 1.18e-14 -0.0 1.61 undef 0.0 UpF06
P02503 43.544 38.69 1.15e-15 7.29e-16 3.04e-16 0.002 -0.23 undef 0.0 UpF06
P06238 43.456 38.650999999999996 1.72e-15 9.619999999999999e-16 4.09e-16 0.001 -0.21 undef 0.0 UpF06
P03821 43.041000000000004 38.823 6.72e-14 3.63e-14 1.82e-14 0.002 0.64 undef 0.0 UpF06
P00638 43.24100000000001 38.843 2.56e-17 2.34e-17 1.44e-17 0.002 0.38 undef 0.0 UpF06
P03649 43.369 38.744 3.0699999999999998e-15 1.5e-15 7.1e-16 0.002 -0.01 undef 0.0 UpF06
P07579 43.336000000000006 38.744 2.82e-16 1.71e-16 9.02e-17 0.002 0.17 undef 0.0 UpF06
P02590 43.668 38.791 8.51e-14 5.95e-14 2.27e-14 0.001 0.07 undef 0.0 UpF06
P06240 43.196000000000005 38.973 8.59e-14 6.11e-14 3.56e-14 0.001 0.76 undef 0.0 UpF06
P09178 44.148999999999994 38.479 2.1399999999999997e-15 1.1099999999999999e-15 4.1900000000000005e-16 0.003 -0.44 undef 0.0 UpF06
P07745 44.841 38.205999999999996 2.3800000000000003e-17 2.0100000000000002e-17 1.3600000000000002e-17 -0.0 -0.18 undef 0.0 UpF06
P04477 42.965 39.155 8e-17 4.61e-17 2.58e-17 0.001 1.08 undef 0.0 UpF06
P00439 44.375 38.344 8.15e-16 4e-15 1.36e-14 0.0 -0.23 undef 0.0 UpF06
P07382 43.783 38.736999999999995 1.87e-15 1.05e-15 3.98e-16 0.001 -0.56 undef 0.0 UpF06
P08549 44.29600000000001 38.512 1.78e-16 1.18e-16 5.67e-17 0.0 -0.42 undef 0.0 UpF06
P01890 44.605 38.455 5.479999999999999e-17 4.1799999999999996e-17 2.58e-17 0.0 -0.34 undef 0.0 UpF06
P10398 43.88 38.691 3.2e-15 1.31e-15 6.809999999999999e-16 0.001 -0.63 undef 0.0 UpF06
P03661 43.091 39.229 1.78e-15 8.060000000000001e-16 3.83e-16 -0.0 0.83 undef 0.0 UpF06
P01499 44.266999999999996 38.77 1.05e-16 7.18e-17 4.14e-17 0.002 -0.77 undef 0.0 UpF06
P10145 43.98 39.064 1.41e-16 8.809999999999999e-17 4.64e-17 0.001 -0.53 undef 0.0 UpF06
