name x y flux1 flux2 flux3 par rv
P00373 -44.677  -8.707 4.20e-15 2.38e-15 1.06e-15   0.001   -4.51
P07142 -44.732  -7.187 1.93e-14 1.01e-14 4.73e-15   0.001   -3.86
P05660 -44.472  -8.233 7.79e-16 5.12e-16 2.74e-16   0.003   -4.44
P02621 -44.447  -6.094 2.15e-17 2.06e-17 1.30e-17   0.002   -2.90
P01863 -44.487  -6.048 1.68e-16 1.16e-16 7.62e-17   0.001   -3.28
P00447 -44.340  -8.718 3.98e-17 3.02e-17 2.48e-17   0.001   -4.37
P04967 -44.128  -7.323 9.86e-17 7.54e-17 4.62e-17   0.002   -4.13
P07661 -44.201  -8.374 8.00e-17 5.97e-17 4.07e-17   0.002   -4.25
P05804 -44.093  -6.049 9.07e-15 4.35e-15 2.04e-15   0.000   -2.96
P01058 -43.882  -6.036 9.32e-17 7.89e-17 5.50e-17   0.001   -3.29
P03401 -43.964  -4.127 2.69e-15 1.45e-15 8.10e-16   0.001   -1.37
P03917 -43.760  -8.053 4.88e-16 3.16e-16 2.00e-16   0.002   -3.91
P06153 -43.865  -6.302 1.24e-15 7.04e-16 4.04e-16   0.002   -3.54
P04554 -43.889  -5.918 2.14e-15 9.23e-16 5.17e-16   0.002   -2.79
P07658 -43.799  -4.817 2.49e-13 1.36e-13 6.77e-14   0.001   -1.67
P00982 -43.772 -14.265 1.07e-14 6.08e-15 3.89e-15   0.002   -1.19
P00757 -43.818  -5.702 3.32e-15 2.07e-15 1.00e-15   0.000   -2.63
P05101 -43.498  -5.764 1.60e-17 1.70e-17 1.20e-17   0.000   -2.84
P10076 -43.576  -5.464 3.51e-16 2.08e-16 1.25e-16   0.001   -2.02
P08543 -43.555  -0.989 2.38e-17 2.35e-17 1.85e-17   0.001   -0.68
P05699 -43.539  -5.131 3.36e-17 2.58e-17 2.12e-17   0.002   -1.62
P01391 -43.524  -5.450 1.15e-17 1.19e-17 9.98e-18   0.001   -2.57
P05725 -43.383  -4.401 1.79e-17 1.93e-17 1.49e-17   0.001   -0.98
P02301 -43.426  -5.829 1.24e-15 8.11e-16 4.65e-16   0.001   -2.95
P08469 -43.326  -5.732 2.21e-13 1.16e-13 5.74e-14   0.000   -2.94
P07332 -43.400  -5.849 1.73e-14 9.51e-15 3.79e-15   0.000   -2.86
P04614 -43.494  -5.759 2.67e-15 1.69e-15 8.62e-16   0.002   -2.91
P05223 -43.333  -5.484 4.32e-17 3.79e-17 2.48e-17  -0.000   -2.19
