name x y flux0 flux1 flux2 width rv
F05002 -25.594  41.922 2.74e-17 1.85e-17 1.25e-17  6.87 -925.46
F05014 -25.547  41.930 2.03e-17 1.49e-17 9.02e-18 18.35 -925.50
F05010 -25.545  42.033 2.61e-17 1.94e-17 1.20e-17  9.53 -925.41
F05004 -25.533  41.668 2.53e-17 1.65e-17 1.09e-17 12.45 -925.43
F05008 -25.448  41.918 2.83e-17 1.91e-17 1.26e-17 21.44 -925.48
F05013 -25.437  41.934 2.19e-17 1.52e-17 1.05e-17 12.39 -925.26
F05012 -25.421  41.922 1.85e-17 1.35e-17 9.14e-18  9.39 -925.57
F04996 -25.416  41.960 2.32e-17 1.62e-17 1.14e-17 12.89 -925.35
F05021 -25.414  41.586 2.17e-17 1.55e-17 1.07e-17 11.51 -925.53
F05017 -25.410  41.922 2.35e-17 1.78e-17 1.18e-17 13.08 -925.46
F05020 -25.405  41.836 2.00e-17 1.37e-17 9.05e-18 10.31 -925.42
F04999 -25.400  41.924 2.32e-17 1.74e-17 1.10e-17 11.55 -925.37
F04994 -25.396  41.976 2.25e-17 1.64e-17 1.12e-17 18.50 -925.46
F05001 -25.386  41.945 2.26e-17 1.65e-17 1.04e-17  9.51 -925.45
F05019 -25.379  41.964 2.19e-17 1.58e-17 1.05e-17  9.09 -925.27
F04995 -25.378  41.940 2.26e-17 1.76e-17 1.07e-17  7.25 -925.30
F05009 -25.368  41.996 2.11e-17 1.48e-17 9.34e-18 12.63 -925.37
F05011 -25.355  41.826 2.61e-17 1.89e-17 1.28e-17  8.86 -925.34
F05022 -25.355  41.954 2.01e-17 1.53e-17 9.78e-18 11.51 -925.47
F04993 -25.353  41.874 2.29e-17 1.58e-17 9.48e-18  9.77 -925.42
F04998 -25.338  41.858 2.33e-17 1.76e-17 1.13e-17 10.93 -925.28
F05006 -25.313  41.934 2.11e-17 1.75e-17 1.08e-17 13.12 -925.33
F05007 -25.294  41.857 2.15e-17 1.50e-17 9.48e-18 18.99 -925.32
F05000 -25.271  42.371 1.73e-17 1.19e-17 7.75e-18 16.50 -925.40
F04997 -25.271  41.925 2.45e-17 1.78e-17 1.14e-17 10.24 -925.33
F05015 -25.260  41.704 2.50e-17 1.84e-17 1.18e-17 10.81 -925.50
F05016 -25.256  41.974 1.98e-17 1.37e-17 9.45e-18 16.18 -925.30
F05018 -25.232  42.005 2.62e-17 1.77e-17 1.28e-17  9.75 -925.18
F05005 -25.204  41.991 2.22e-17 1.49e-17 1.05e-17 14.26 -925.33
F05003 -25.144  41.823 2.34e-17 1.65e-17 1.17e-17 10.34 -925.45
F11270 -24.604  40.417 5.34e-17 3.54e-17 2.34e-17 24.79 -618.16
F11242 -24.561  40.149 4.27e-17 3.17e-17 1.99e-17 18.57 -618.28
F11252 -24.347  40.409 6.09e-17 3.88e-17 2.53e-17 15.06 -618.48
F11248 -24.284  40.241 5.79e-17 4.34e-17 2.93e-17 13.53 -618.35
F11264 -24.222  40.348 5.53e-17 3.65e-17 2.48e-17 27.97 -618.20
F11240 -24.127  40.317 5.57e-17 4.24e-17 2.58e-17 12.65 -618.32
F11232 -24.090  40.545 4.40e-17 3.06e-17 1.95e-17 22.99 -618.34
F11254 -24.037  40.347 4.30e-17 2.81e-17 2.04e-17 17.53 -618.29
F11250 -24.021  40.240 5.54e-17 3.64e-17 2.45e-17 20.95 -618.40
F11237 -24.020  40.368 5.18e-17 3.68e-17 2.28e-17 18.98 -618.35
F11244 -24.010  40.285 4.40e-17 3.20e-17 2.29e-17 13.13 -618.42
F11269 -24.009  40.388 5.30e-17 4.07e-17 2.57e-17 21.12 -618.37
F11233 -24.005  40.446 4.79e-17 3.54e-17 2.20e-17 12.29 -618.43
