name x y flux1 flux2 flux3 par rv
P09545 -14.350  19.052 1.60e-13 1.06e-13 5.10e-14   0.014   -1.16
P07317 -13.731  24.412 1.89e-13 1.12e-13 5.84e-14   0.013   -1.19
P00289 -13.618  19.657 1.90e-17 4.31e-17 5.93e-17   0.014   -1.08
P04001 -13.512  19.419 4.75e-11 2.74e-11 1.34e-11   0.014   -1.11
P03186 -13.618  21.318 3.22e-16 4.88e-16 4.72e-16   0.015   -1.17
P07970 -13.277  24.505 8.89e-16 1.08e-15 9.92e-16   0.014   -1.20
P01727 -11.308  20.672 6.37e-14 3.77e-14 2.35e-14   0.014   -1.14
P07515  -8.968  17.504 8.17e-13 4.77e-13 2.07e-13   0.014   -1.08
P03849  -8.460  18.281 7.01e-17 1.22e-16 1.51e-16   0.015   -1.05
P08733  -7.785  16.990 4.71e-13 2.88e-13 1.43e-13   0.017   -1.12
P00666  -6.163  16.867 7.10e-14 5.10e-14 2.73e-14   0.014   -1.11
P07520  -6.055  16.329 2.87e-16 3.89e-16 3.98e-16   0.015   -1.12
P09196  -6.046  15.190 1.59e-13 9.90e-14 5.45e-14   0.014   -1.20
P07242  -3.494  16.147 1.75e-16 2.75e-16 2.99e-16   0.015   -1.21
P05775  -2.488  21.404 2.47e-16 3.63e-16 3.60e-16   0.011   -1.15
P08939  -2.235  20.067 1.01e-12 5.27e-13 2.45e-13   0.016   -1.19
