name x y flux0 flux1 flux2 width rv
F09402 -12.928 -14.762 5.36e-17 3.67e-17 2.03e-17 22.22 -637.06
F09417 -12.789 -14.916 5.74e-17 4.50e-17 2.28e-17 19.66 -637.17
F09427 -12.761 -14.782 6.71e-17 4.02e-17 3.78e-17 24.67 -637.30
F09423 -12.732 -14.932 4.22e-17 3.04e-17 2.17e-17 22.07 -637.29
F09419 -12.708 -14.884 4.97e-17 4.21e-17 2.38e-17 29.22 -637.15
F09437 -12.670 -14.742 4.99e-17 3.53e-17 2.78e-17 15.77 -637.24
F09421 -12.662 -14.998 5.90e-17 3.52e-17 2.07e-17 26.65 -637.22
F09436 -12.656 -14.961 4.10e-17 2.92e-17 1.90e-17 19.60 -637.10
F09401 -12.640 -14.966 3.25e-17 2.85e-17 1.90e-17 21.24 -637.23
F09428 -12.622 -14.952 5.50e-17 3.56e-17 1.97e-17 18.77 -637.11
F09407 -12.617 -14.948 5.21e-17 3.59e-17 1.86e-17 17.69 -637.19
F09413 -12.614 -14.987 3.85e-17 3.31e-17 2.02e-17 13.12 -637.18
F09408 -12.604 -14.984 5.10e-17 4.21e-17 2.82e-17 18.98 -637.04
F09403 -12.599 -14.989 3.10e-17 2.97e-17 1.67e-17 22.83 -637.29
F09400 -12.594 -14.982 4.00e-17 2.77e-17 1.70e-17 23.46 -637.15
F09420 -12.585 -14.935 5.75e-17 2.46e-17 2.01e-17 12.70 -637.33
F09418 -12.577 -14.908 6.18e-17 4.20e-17 1.82e-17 15.87 -637.23
F09435 -12.576 -14.969 2.88e-17 2.31e-17 1.73e-17 13.68 -637.17
F09422 -12.566 -14.958 4.47e-17 3.81e-17 2.22e-17 18.35 -637.14
F09411 -12.558 -14.819 5.59e-17 4.15e-17 2.81e-17 22.31 -637.31
F09426 -12.558 -14.939 4.62e-17 3.14e-17 1.92e-17 13.56 -637.34
F09434 -12.555 -14.956 3.79e-17 3.12e-17 1.46e-17 13.21 -637.08
F09409 -12.544 -14.985 5.62e-17 4.01e-17 2.94e-17 16.34 -637.24
F09416 -12.527 -14.838 4.39e-17 2.80e-17 1.79e-17 17.41 -637.37
F09438 -12.526 -14.980 3.73e-17 2.59e-17 2.24e-17 22.06 -637.39
F09404 -12.455 -14.975 4.16e-17 2.23e-17 1.62e-17 16.72 -637.31
F09432 -12.433 -14.908 3.94e-17 3.32e-17 2.52e-17 16.16 -637.02
F09431 -12.423 -14.685 5.26e-17 3.55e-17 2.02e-17 19.91 -637.13
