name x y flux1 flux2 flux3 par rv
P10180   0.481  -0.560 1.69e-15 8.55e-16 3.94e-16   0.000   -2.54
P01695   0.290  -0.610 5.36e-17 3.83e-17 2.70e-17   0.002   -2.55
P07796   0.536  -0.764 9.44e-17 6.44e-17 3.61e-17   0.000   -2.76
P06496   0.689  -0.919 4.66e-15 2.52e-15 1.19e-15   0.001   -3.94
P02214   0.589  -0.874 1.28e-15 5.91e-16 3.27e-16  -0.000   -3.33
P08582   0.627  -1.451 1.13e-16 6.93e-17 4.24e-17   0.001   -4.14
P08052   0.864  -0.631 3.92e-15 1.53e-15 7.20e-16   0.001   -3.01
P00811   0.830  -1.016 5.96e-15 2.71e-15 1.47e-15  -0.000   -3.82
P01592   0.907  -1.103 6.47e-16 3.08e-16 2.02e-16   0.000   -4.03
P01742   0.873  -0.266 1.40e-15 6.83e-16 3.41e-16   0.001   -0.64
P07834   0.973  -0.601 2.12e-15 1.10e-15 4.99e-16   0.001   -1.96
P03245   1.088  -2.421 2.35e-17 1.99e-17 1.57e-17   0.001   -4.24
P03495   0.899  -0.820 2.41e-17 1.98e-17 1.41e-17   0.000   -3.17
P05816   0.905  -0.393 6.85e-15 2.36e-14 4.55e-14   0.002   -1.91
P09000   1.042  -0.512 1.62e-16 1.16e-16 6.01e-17   0.001   -2.36
P06458   1.035  -0.279 2.00e-16 1.44e-16 7.42e-17  -0.001   -0.84
P05904   0.971  -0.493 1.24e-15 7.54e-16 3.55e-16   0.001   -2.56
P03388   1.151  -0.530 1.21e-13 7.13e-14 3.38e-14   0.001   -2.48
P04431   1.085  -0.569 5.93e-16 3.43e-16 1.77e-16   0.002   -2.79
P02163   1.135  -0.553 1.36e-17 1.10e-17 9.17e-18   0.001   -2.31
P00065   1.029  -0.234 1.85e-17 1.52e-17 1.01e-17  -0.000   -0.01
P03003   1.172  -0.514 5.95e-15 3.83e-15 1.76e-15   0.001   -1.58
P00729   0.866  -0.749 1.74e-15 9.82e-16 4.24e-16   0.001   -3.47
P08701   1.018  -0.175 9.32e-16 5.74e-16 2.63e-16   0.001   -0.15
P07139   1.191  -0.247 3.76e-15 1.79e-15 8.08e-16   0.000   -0.73
P03962   1.125  -0.284 4.13e-16 2.51e-16 1.56e-16   0.001   -1.66
P04993   1.144  -1.154 7.12e-17 4.84e-17 3.36e-17   0.001   -3.87
P03179   1.132  -0.250 1.27e-13 1.24e-13 1.04e-13   0.001    0.11
P07223   1.133  -0.475 1.13e-17 1.46e-17 9.11e-18  -0.000   -2.12
P07293   1.019  -0.400 2.89e-16 1.79e-16 9.75e-17   0.002   -2.28
