name x y flux0 flux1 flux2 width rv
F02879   2.467 -36.701 2.26e-17 1.64e-17 1.01e-17 14.15 -1073.54
F02907   2.649 -36.427 1.61e-17 1.35e-17 7.09e-18  9.40 -1073.47
F02913   2.688 -36.855 1.91e-17 1.19e-17 5.42e-18 12.94 -1073.70
F02899   2.736 -36.667 2.18e-17 1.21e-17 7.59e-18  8.45 -1073.65
F02868   2.743 -36.450 2.10e-17 1.16e-17 6.74e-18 12.12 -1073.65
F02869   2.747 -36.256 2.66e-17 1.21e-17 8.55e-18  9.89 -1073.56
F02919   2.756 -36.231 1.70e-17 1.06e-17 6.81e-18  8.01 -1073.80
F02910   2.780 -36.328 2.41e-17 1.53e-17 9.95e-18  8.30 -1073.49
F02911   2.783 -36.703 2.09e-17 1.41e-17 9.35e-18 11.62 -1073.52
F02870   2.784 -36.169 1.60e-17 1.07e-17 8.09e-18  7.29 -1073.72
F02888   2.808 -36.425 1.96e-17 1.27e-17 8.98e-18  3.92 -1073.66
F02912   2.815 -36.488 1.80e-17 1.45e-17 9.43e-18  5.22 -1073.49
F02905   2.822 -36.449 1.20e-17 1.42e-17 8.68e-18 10.10 -1073.77
F02903   2.827 -36.429 1.61e-17 1.26e-17 6.97e-18 13.30 -1073.49
F02878   2.828 -36.472 1.59e-17 1.51e-17 5.61e-18  9.29 -1073.78
F02886   2.830 -36.359 1.60e-17 1.19e-17 4.12e-18  7.79 -1073.66
F02900   2.834 -36.455 2.29e-17 1.42e-17 8.21e-18  7.85 -1073.50
F02884   2.839 -36.435 1.85e-17 1.44e-17 1.10e-17  7.26 -1073.49
F02925   2.848 -36.453 1.62e-17 1.48e-17 7.37e-18 12.24 -1073.56
F02898   2.848 -36.456 1.87e-17 1.51e-17 7.98e-18  9.40 -1073.42
F02874   2.849 -36.452 1.76e-17 1.31e-17 8.61e-18 13.96 -1073.59
F02923   2.849 -36.443 2.43e-17 1.46e-17 7.85e-18  4.99 -1073.63
F02915   2.850 -36.481 1.64e-17 1.28e-17 6.75e-18 14.62 -1073.49
F02924   2.852 -36.444 1.69e-17 1.83e-17 8.58e-18  8.78 -1073.48
F02876   2.864 -36.427 1.61e-17 1.67e-17 8.14e-18  9.73 -1073.59
F02889   2.865 -36.447 1.79e-17 1.31e-17 9.25e-18 14.56 -1073.76
F02890   2.870 -36.434 1.40e-17 1.23e-17 7.92e-18  7.14 -1073.51
F02892   2.871 -36.438 1.88e-17 1.64e-17 8.46e-18  5.86 -1073.59
F02885   2.873 -36.472 1.96e-17 1.61e-17 8.38e-18  7.77 -1073.63
F02864   2.876 -36.397 2.76e-17 1.40e-17 1.04e-17  8.41 -1073.58
F02897   2.884 -36.413 2.16e-17 1.80e-17 1.17e-17  6.14 -1073.77
F02896   2.891 -36.384 1.66e-17 1.02e-17 7.49e-18 12.21 -1073.46
F02895   2.918 -36.480 1.34e-17 1.34e-17 8.43e-18  9.79 -1073.43
F02909   2.925 -36.458 1.37e-17 1.13e-17 7.48e-18  9.22 -1073.50
F02918   2.926 -36.386 1.27e-17 1.18e-17 8.23e-18  7.42 -1073.58
F02927   2.933 -36.468 1.50e-17 1.23e-17 8.34e-18  8.86 -1073.51
F02902   2.963 -36.428 2.61e-17 1.67e-17 9.00e-18 10.67 -1073.56
F02880   2.976 -36.375 2.29e-17 1.30e-17 7.51e-18 15.83 -1073.55
F02867   2.994 -36.476 2.09e-17 1.34e-17 6.57e-18 14.58 -1073.63
F02881   3.015 -36.436 1.51e-17 1.28e-17 5.09e-18 11.23 -1073.55
F02872   3.053 -36.441 1.67e-17 1.24e-17 7.55e-18 13.13 -1073.50
F02906   3.176 -36.521 2.07e-17 1.77e-17 9.38e-18  8.30 -1073.50
F09330  10.387 -38.824 1.70e-17 1.89e-17 8.73e-18 12.35 -1083.10
F09316  10.400 -38.729 1.38e-17 2.03e-17 1.13e-17 13.20 -1083.08
F09309  10.418 -38.313 1.35e-17 1.17e-17 6.53e-18  8.93 -1082.74
F09315  10.422 -38.902 1.57e-17 1.35e-17 8.00e-18 11.00 -1082.92
F09322  10.423 -38.638 1.88e-17 1.28e-17 1.03e-17  8.64 -1082.93
F09324  10.461 -38.764 1.54e-17 1.02e-17 7.89e-18 10.06 -1082.79
F09319  10.463 -38.774 2.08e-17 1.18e-17 7.89e-18 14.25 -1083.12
F09308  10.477 -38.991 1.78e-17 1.10e-17 7.32e-18 16.07 -1082.94
F09311  10.497 -38.718 1.33e-17 1.09e-17 6.97e-18  7.85 -1082.89
F09317  10.519 -38.763 1.88e-17 1.61e-17 7.33e-18 11.16 -1083.09
F09327  10.527 -38.764 1.80e-17 1.20e-17 8.49e-18 13.63 -1082.97
F09314  10.528 -38.760 1.41e-17 1.32e-17 1.05e-17  9.91 -1082.97
