name x y flux1 flux2 flux3 par rv
P03124  16.261  -1.663 4.02e-16 2.84e-16 1.84e-16   0.001   -1.33
P02398  16.667  -7.709 9.86e-12 1.76e-11 2.15e-11   0.009   -0.18
P04492  16.807  -6.906 2.44e-17 2.46e-17 1.99e-17   0.001   -0.89
P04190  17.600  -2.537 7.18e-15 4.24e-15 2.00e-15   0.002   -1.08
P08029  18.142  -0.766 5.16e-17 5.21e-17 4.18e-17   0.003   -0.95
P07688  18.492  -0.640 1.20e-15 7.62e-16 4.81e-16   0.002   -0.86
P06835  18.451  -1.509 2.45e-17 2.45e-17 2.18e-17   0.001   -0.88
P10337  18.627  -0.259 3.16e-16 2.50e-16 1.48e-16   0.001   -0.67
P08139  18.781  -2.791 3.02e-17 3.03e-17 2.54e-17   0.002   -0.65
P04174  18.905  -2.239 2.06e-16 1.92e-16 1.13e-16   0.003   -0.48
P07560  18.943  -1.046 5.00e-13 6.68e-13 8.80e-13   0.002   -0.55
P08332  19.097  -0.025 1.09e-17 1.14e-17 9.78e-18   0.002   -0.43
P05061  19.110  -0.761 1.34e-12 8.11e-13 4.26e-13   0.003   -0.50
P03709  19.237  -0.176 3.26e-15 2.01e-15 1.08e-15   0.002   -0.40
P01970  19.277  -3.277 1.40e-14 7.07e-15 3.31e-15   0.001   -0.42
P08872  19.305  -0.041 2.74e-14 1.33e-14 6.53e-15   0.002   -0.29
P00247  19.234  -0.089 7.44e-15 5.27e-15 2.32e-15   0.001   -0.25
P04972  19.293  -0.066 6.43e-13 9.03e-13 7.92e-13   0.003   -0.25
P04584  19.215  -9.693 6.21e-16 3.90e-16 2.76e-16   0.001   -0.33
P07865  19.263  -1.436 5.18e-13 2.77e-13 1.51e-13   0.001   -0.48
P01582  19.294  -0.111 6.81e-14 3.43e-14 1.65e-14   0.005   -0.21
P08171  19.365  -0.362 8.19e-16 5.99e-16 3.07e-16   0.002   -0.21
P07564  19.549  -2.982 5.32e-15 3.27e-15 1.56e-15   0.000   -0.28
P01388  19.606  -0.559 1.34e-16 1.52e-16 8.12e-17   0.002    0.17
P08339  19.676  -0.039 2.35e-17 2.15e-17 2.13e-17   0.000    0.60
P06196  19.720  -0.218 2.59e-17 3.21e-17 2.39e-17   0.002    0.48
P01042  19.706  -0.291 6.86e-15 4.54e-15 2.17e-15   0.002    0.45
P07485  19.868  -0.535 9.77e-17 1.01e-16 6.46e-17   0.004    0.36
P03183  19.902  -0.109 2.21e-15 1.18e-15 6.88e-16   0.001    0.71
P00153  19.978  -0.093 5.77e-15 3.04e-15 1.47e-15   0.003    0.79
P06262  20.430  -0.180 1.55e-14 8.00e-15 3.91e-15   0.001    1.17
P02208  20.540  -0.492 2.30e-17 2.40e-17 2.46e-17   0.002    0.89
P03471  20.666  -2.401 1.35e-16 1.05e-16 8.26e-17   0.002    0.25
P01132  20.972  -0.538 1.91e-16 1.51e-16 1.00e-16   0.001    1.17
P06345  21.305  -2.965 3.39e-17 4.37e-17 2.72e-17   0.003    0.44
P03367  21.260  -0.263 9.53e-15 4.38e-15 2.29e-15   0.004    1.27
P08417  21.325  -1.314 1.55e-16 1.25e-16 8.86e-17   0.003    0.90
P07626  21.493  -1.360 9.56e-13 1.07e-12 8.07e-13   0.004    0.95
P00673  21.567  -2.723 1.00e-17 1.27e-17 1.37e-17   0.002    0.58
P05121  22.459 -14.587 8.14e-17 7.55e-17 6.20e-17   0.002    3.27
P03921  23.042  -4.111 8.03e-16 8.50e-16 6.00e-16   0.010    0.03
P05114  23.609  -3.099 9.31e-13 7.54e-13 5.54e-13   0.188    0.08
P08952  24.932  -9.148 1.42e-15 9.67e-16 5.65e-16   0.003    2.60
P00067  25.883 -10.520 1.06e-12 6.57e-13 3.22e-13   0.000    2.97
P00592  26.677  -9.502 1.96e-16 1.85e-16 1.12e-16   0.004    2.80
P03529  26.568 -13.326 2.42e-14 1.24e-14 5.56e-15   0.001    3.49
P00539  28.410 -13.781 7.59e-17 6.88e-17 6.08e-17   0.003    3.50
P08592  28.851 -10.761 2.15e-14 8.80e-15 4.62e-15   0.002    3.15
P10082  28.974  -8.209 1.00e-17 5.04e-18 2.53e-18   0.002    2.25
P09533  29.597 -12.769 3.52e-16 2.50e-16 1.47e-16   0.002    3.42
P00371  29.826 -13.152 2.90e-15 2.12e-14 1.02e-13   0.003    3.42
P03050  29.932  -4.987 1.22e-12 6.08e-13 3.15e-13   0.002    0.92
