name x y flux0 flux1 flux2 width rv
F06706  16.246 -30.767 1.80e-17 1.42e-17 9.40e-18 11.30 -1060.16
F06704  16.263 -30.789 1.34e-17 1.37e-17 8.00e-18 11.07 -1060.24
F06690  16.310 -30.639 1.90e-17 1.03e-17 1.10e-17  9.06 -1060.34
F06701  16.344 -30.839 1.55e-17 1.70e-17 9.72e-18  6.86 -1060.15
F06694  16.352 -30.742 2.06e-17 1.25e-17 6.34e-18  6.00 -1060.31
F06688  16.361 -30.927 1.92e-17 1.22e-17 8.58e-18  6.95 -1060.15
F06693  16.376 -30.803 1.79e-17 1.48e-17 9.33e-18 13.63 -1060.17
F06698  16.395 -30.828 2.14e-17 1.00e-17 7.85e-18 12.55 -1060.10
F06686  16.402 -30.775 1.91e-17 1.49e-17 9.10e-18 13.65 -1059.96
F06683  16.411 -30.689 1.39e-17 1.53e-17 7.83e-18  9.71 -1060.24
F06697  16.423 -30.828 1.77e-17 1.12e-17 4.75e-18 10.73 -1060.08
F06709  16.433 -30.791 2.58e-17 1.40e-17 1.06e-17 11.95 -1060.19
F06703  16.438 -30.795 1.90e-17 1.07e-17 7.55e-18 15.29 -1060.02
F06684  16.438 -30.790 1.62e-17 1.10e-17 5.42e-18  9.14 -1060.19
F06708  16.449 -30.787 1.48e-17 1.10e-17 7.61e-18  7.09 -1060.20
F06699  16.457 -30.754 1.29e-17 1.16e-17 6.55e-18  9.00 -1060.09
F06705  16.459 -30.784 2.07e-17 1.12e-17 8.87e-18 10.08 -1060.19
F06702  16.463 -30.747 1.64e-17 1.29e-17 8.17e-18  8.36 -1060.21
F06707  16.495 -31.031 1.71e-17 1.02e-17 5.10e-18 10.16 -1060.20
F06692  16.582 -30.592 1.38e-17 1.14e-17 7.16e-18  7.49 -1060.07
F06691  16.594 -30.821 2.17e-17 1.47e-17 7.66e-18  8.61 -1060.18
F06687  16.757 -30.936 2.16e-17 1.33e-17 7.20e-18  4.54 -1060.05
F06682  16.791 -30.891 2.10e-17 1.20e-17 7.84e-18  8.15 -1060.18
