name x y flux0 flux1 flux2 width rv
F05742  30.178  -7.492 1.79e-17 1.73e-17 8.81e-18  8.69 -1142.86
F05725  30.187  -7.528 1.54e-17 1.39e-17 8.15e-18 12.89 -1142.62
F05735  30.199  -7.505 1.27e-17 1.25e-17 7.51e-18 12.02 -1142.70
F05711  30.199  -7.533 1.42e-17 1.10e-17 7.99e-18  8.94 -1142.82
F05738  30.207  -7.532 1.36e-17 1.23e-17 7.58e-18 10.13 -1142.55
F05720  30.208  -7.527 1.45e-17 1.19e-17 6.33e-18  8.29 -1142.62
F05721  30.208  -7.471 1.67e-17 1.18e-17 8.15e-18 11.03 -1142.75
F05737  30.211  -7.512 1.46e-17 1.03e-17 5.47e-18  8.34 -1142.73
F05739  30.214  -7.509 1.47e-17 1.14e-17 5.38e-18 13.90 -1142.62
F05717  30.226  -7.517 1.69e-17 1.29e-17 7.66e-18  8.67 -1142.76
F05734  30.235  -7.460 1.76e-17 1.29e-17 7.45e-18 12.93 -1142.86
F05719  30.240  -7.487 1.56e-17 1.50e-17 8.67e-18  5.74 -1142.74
F05729  30.240  -7.610 1.81e-17 1.34e-17 7.26e-18 12.87 -1142.70
F05712  30.253  -7.557 1.53e-17 1.28e-17 7.46e-18 12.46 -1142.68
F05724  30.296  -7.541 1.62e-17 1.12e-17 6.92e-18  8.37 -1142.74
F05727  30.341  -7.737 1.40e-17 1.22e-17 6.32e-18  7.84 -1142.84
F05730  30.500  -7.999 1.30e-17 1.48e-17 9.61e-18 10.18 -1142.76
F05718  30.504  -7.561 1.55e-17 1.13e-17 8.80e-18 11.81 -1142.65
F03545  39.501  -4.179 3.43e-17 2.81e-17 1.17e-17 15.72 -671.92
F03597  39.725  -3.843 3.63e-17 4.49e-17 2.56e-17 19.21 -671.88
F03538  39.728  -3.465 4.29e-17 2.70e-17 2.18e-17 15.62 -671.91
F03579  39.731  -4.036 5.72e-17 4.21e-17 2.94e-17 18.58 -672.07
F03572  39.738  -3.790 3.76e-17 2.45e-17 2.13e-17  6.73 -672.16
F03555  39.754  -4.140 4.41e-17 2.75e-17 2.08e-17 20.03 -671.91
