name x y flux1 flux2 flux3 par rv
P01010  30.068  -5.312 7.10e-14 2.39e-14 1.33e-14   0.003    1.04
P04326  30.060 -10.697 9.88e-15 5.83e-15 2.41e-15   0.002    3.19
P05354  30.284  -4.629 2.04e-17 2.28e-17 2.36e-17   0.002    0.80
P09612  30.608 -11.289 3.66e-17 3.94e-17 3.05e-17   0.002    3.31
P02323  30.709 -10.504 3.90e-17 2.02e-17 9.68e-18   0.003    3.21
P05935  30.673 -10.826 2.92e-15 1.92e-15 1.05e-15   0.003    3.23
P03977  30.803 -12.471 6.64e-13 3.68e-13 1.76e-13   0.003    3.37
P09881  30.991 -10.320 1.80e-16 1.49e-16 1.16e-16   0.002    3.12
P01433  30.860 -10.216 2.13e-15 1.41e-15 8.63e-16   0.002    3.09
P07386  31.071  -9.022 1.67e-16 1.41e-16 9.34e-17   0.002    2.55
P00244  31.150  -6.951 1.38e-14 7.22e-15 3.05e-15   0.003    1.35
P03598  31.261  -7.229 1.52e-12 8.92e-13 4.25e-13   0.003    1.58
P00898  31.118  -6.981 1.95e-14 1.14e-14 4.44e-15   0.004    1.37
P07913  31.397  -8.378 7.48e-13 4.01e-13 1.92e-13   0.002    2.18
P05382  31.390  -5.951 4.84e-14 2.66e-14 1.29e-14   0.001    0.77
P01426  31.675  -3.238 1.11e-15 7.03e-16 3.90e-16   0.001    0.02
P00865  31.743  -6.494 6.41e-15 4.26e-15 1.94e-15   0.004    0.95
P03714  32.127  -8.975 7.80e-14 3.51e-14 1.62e-14   0.002    2.55
P07238  32.120  -9.634 4.17e-15 2.67e-15 1.18e-15   0.002    2.73
P01316  32.254  -7.441 1.60e-15 9.43e-16 5.25e-16   0.002    1.14
P04211  32.277  -9.624 3.72e-14 1.57e-14 7.90e-15   0.003    2.70
P06947  32.311 -10.713 3.34e-14 1.59e-14 7.81e-15   0.002    2.87
P08671  32.570  -8.097 7.53e-16 4.87e-16 2.98e-16   0.002    1.32
P09116  32.496  -9.418 9.17e-17 8.20e-17 6.21e-17   0.003    2.59
P10374  32.637  -9.983 2.38e-14 1.29e-14 5.62e-15  -0.000    2.77
P08832  32.619  -9.039 5.37e-17 5.59e-17 3.98e-17   0.001    2.35
P08128  32.612  -9.804 2.06e-14 1.04e-14 5.23e-15   0.003    2.74
P05902  32.783  -9.015 1.38e-12 7.77e-13 3.35e-13   0.001    2.35
P05933  32.818 -10.564 1.03e-12 8.48e-13 3.86e-13   0.001    2.63
P01234  32.862 -13.462 3.39e-17 3.36e-17 3.15e-17   0.001    2.68
P02311  33.099  -9.406 3.53e-15 2.57e-15 1.25e-15   0.003    2.32
P00659  32.948  -8.339 7.68e-14 3.45e-14 1.72e-14   0.002    1.54
P09980  33.116  -8.905 1.68e-16 1.58e-16 1.09e-16   0.002    2.10
P07228  33.100  -9.165 2.31e-15 1.41e-15 8.85e-16   0.002    2.17
P04834  33.220  -8.645 3.39e-15 1.97e-15 1.16e-15   0.004    1.91
P09764  33.308  -7.496 5.60e-17 5.34e-17 4.43e-17   0.002    0.19
P02669  33.210 -10.134 3.74e-16 2.88e-16 1.97e-16   0.003    2.34
P10018  33.331  -8.379 8.33e-14 3.86e-14 1.60e-14   0.002    1.29
P02317  33.291  -9.016 8.59e-16 6.12e-16 3.00e-16   0.002    1.94
P01756  33.309  -8.192 3.22e-15 1.98e-15 1.20e-15   0.001    0.77
P07749  33.301  -8.519 9.03e-15 6.27e-15 2.34e-15   0.002    1.18
P02681  33.384  -7.723 8.00e-14 3.85e-14 1.83e-14   0.001    0.29
P03365  33.503  -9.010 1.62e-14 7.64e-15 4.32e-15   0.003    1.74
P08375  33.437  -8.431 3.49e-16 2.55e-16 1.72e-16   0.002    1.00
P07105  33.556  -8.424 3.64e-16 2.99e-16 1.88e-16   0.000    0.80
P08697  33.433  -8.539 5.15e-17 5.08e-17 4.00e-17   0.002    0.92
P00332  33.501  -8.983 2.78e-17 1.36e-17 4.95e-18   0.003    1.66
P07630  33.425  -8.479 3.83e-14 1.75e-14 9.13e-15  -0.000    0.58
P03729  33.487  -9.028 5.40e-17 4.75e-17 4.17e-17   0.001    1.71
P02782  33.641  -8.081 2.40e-14 1.41e-14 5.20e-15   0.002    0.02
P10020  33.563  -9.019 1.05e-15 8.13e-16 4.04e-16   0.002    1.27
P05928  33.602  -8.464 3.88e-16 2.76e-16 1.70e-16   0.002    0.66
P06006  33.671  -9.318 7.73e-15 4.30e-15 1.93e-15   0.003    1.68
P00642  33.662  -8.798 4.91e-16 3.53e-16 2.29e-16   0.001    0.96
P06493  33.523  -8.740 6.93e-17 7.08e-17 5.83e-17   0.000    1.04
P10209  33.731  -9.344 1.10e-17 1.56e-17 1.43e-17   0.002    1.39
P06571  33.717  -8.623 1.46e-12 1.10e-12 9.05e-13   0.003    0.42
P08457  33.541  -8.264 9.57e-15 4.77e-15 2.53e-15   0.002    0.30
P00601  33.752  -7.673 2.54e-16 1.97e-16 1.34e-16  -0.001   -0.04
P09138  33.723  -8.440 7.71e-16 5.92e-16 3.18e-16   0.001    0.11
P06774  33.722  -6.189 6.78e-15 3.20e-15 1.59e-15   0.002   -0.52
P04890  33.659 -10.545 9.69e-16 6.74e-16 4.11e-16   0.002    1.88
P03788  33.919  -8.889 5.61e-17 5.12e-17 5.06e-17   0.003    1.28
P09527  33.875  -8.560 2.51e-16 2.29e-16 1.52e-16   0.001    0.29
P01454  33.746  -6.775 1.01e-14 5.02e-15 2.71e-15   0.002   -0.54
P02606  33.750  -9.726 9.92e-17 1.00e-16 7.62e-17   0.003    1.50
P06266  33.819  -8.840 1.92e-17 8.24e-18 4.27e-18   0.004    0.79
P06686  33.746  -8.950 6.25e-16 4.51e-16 2.70e-16   0.002    0.98
P01486  33.858  -5.937 5.98e-16 4.26e-16 2.58e-16   0.002   -0.63
P04671  33.821  -8.544 1.85e-15 1.32e-15 7.71e-16   0.003    0.08
P05965  33.864  -8.510 5.66e-15 3.20e-15 1.92e-15   0.003    0.34
P07598  33.844  -8.115 1.07e-15 6.94e-16 3.80e-16   0.001   -0.15
P03269  33.875  -7.188 4.57e-14 1.84e-14 9.91e-15   0.002   -0.72
P01923  34.040  -2.521 7.75e-16 4.77e-16 3.13e-16   0.002   -0.91
P02278  33.886  -7.941 2.75e-17 2.91e-17 2.35e-17   0.004   -0.40
P03506  34.076 -10.175 8.07e-15 5.66e-15 3.14e-15   0.001    1.54
P08067  34.107  -8.184 3.83e-17 3.71e-17 2.84e-17   0.003   -0.42
P07197  34.222 -13.988 1.81e-16 1.92e-16 1.07e-16   0.002    2.13
P00651  34.185  -8.257 2.62e-15 1.67e-15 7.52e-16   0.002   -0.40
P03000  34.164  -9.067 3.92e-16 3.12e-16 1.82e-16   0.002    0.57
P09806  34.334  -9.216 4.84e-16 4.31e-16 2.55e-16   0.003    0.76
P03558  34.357  -2.320 2.73e-15 2.24e-15 9.92e-16   0.003   -1.00
P04339  34.428  -8.409 9.42e-15 5.45e-15 2.72e-15   0.002   -0.29
P05107  34.471  -9.868 5.29e-15 3.26e-15 1.95e-15   0.001    1.01
