Name Equatorial Polar BlueFlux GreenFlux RedFlux Parallax RadialVelocity Distance Periodicity Location
P00892 135.946 63.916 2.74e-13 1.44e-13 7.72e-14 0.01 0.30 100 0 BackA02
P02561 139.448 81.886 6.76e-17 9.27e-17 9.42e-17 0.006 0.35 167 0 BackA03
P02347 147.696 89.196 1.32e-15 8.11e-16 4.34e-16 0.003 2.96 333 0 BackA03
P06921 147.255 91.112 1.13e-15 7.86e-16 4.41e-16 0.003 2.32 333 0 BackA04
P09914 148.183 90.835 4.31e-13 2.28e-13 1.03e-13 0.003 2.49 333 0 BackA04
P06505 148.311 93.358 3.42e-17 3.38e-17 2.52e-17 0.003 0.66 333 0 BackA04
P05467 148.465 90.727 8.82e-15 4.40e-15 2.15e-15 0.003 2.50 333 0 BackA04
P02238 149.343 93.214 4.18e-16 2.99e-16 1.79e-16 0.003 0.57 333 0 BackA04
P07894 149.441 94.337 4.13e-13 2.30e-13 1.08e-13 0.003 -0.48 333 0 BackA04
P09869 149.707 93.672 1.36e-14 7.65e-15 3.80e-15 0.003 -1.25 333 0 BackA04
P00463 149.757 94.989 2.33e-15 1.32e-15 6.79e-16 0.003 -0.87 333 0 BackA04
P10107 149.848 92.572 3.01e-14 8.76e-14 1.90e-13 0.003 0.07 333 0 BackA04
P09074 149.789 93.252 4.49e-15 2.36e-15 1.31e-15 0.003 -1.00 333 0 BackA04
P04423 149.911 93.276 4.41e-13 2.86e-13 1.48e-13 0.003 -0.93 333 0 BackA04
P04870 151.993 57.581 3.00e-15 2.74e-15 2.14e-15 0.012 -0.42 83 0 BackB01
P00751 159.044 46.563 3.99e-11 2.14e-11 9.65e-12 0.015 -0.77 67 0 BackB01
P02444 160.87 57.984 2.10e-17 2.40e-17 2.12e-17 0.003 0.05 333 0 BackB01
P01534 160.957 58.569 2.67e-14 1.40e-14 6.71e-15 0.003 0.07 333 0 BackB01
P05425 162.272 52.915 4.48e-14 2.28e-14 1.06e-14 0.004 -0.77 250 0 BackB01
P05212 160.171 62.602 5.01e-17 4.79e-17 4.09e-17 0.004 0.74 250 0 BackB02
P03999 160.624 60.193 2.92e-15 1.82e-15 1.08e-15 0.003 0.84 333 0 BackB02
P05330 160.786 61.916 4.32e-14 2.31e-14 9.85e-15 0.003 0.68 333 0 BackB02
P07303 160.832 61.177 3.91e-17 4.29e-17 3.72e-17 0.003 0.85 333 0 BackB02
P10429 161.239 60.315 6.99e-17 7.38e-17 5.49e-17 0.005 0.34 200 0 BackB02
P02400 161.375 61.672 1.29e-16 1.13e-16 8.37e-17 0.003 0.53 333 48.949919224555735 BackB02
P10349 161.871 61.207 2.54e-14 1.49e-14 6.49e-15 0.003 0.29 333 0 BackB02
P06222 161.876 61.087 5.64e-17 5.48e-17 4.31e-17 0.005 0.33 200 0 BackB02
P06156 162.01 60.97 1.57e-12 1.09e-12 6.13e-13 0.003 0.04 333 0 BackB02
P05655 162.159 61.355 6.32e-14 2.87e-14 1.29e-14 0.004 -0.09 250 0 BackB02
P09404 162.204 61.271 7.72e-15 4.37e-15 2.26e-15 0.003 -0.04 333 0 BackB02
P07035 162.241 60.283 2.48e-14 1.28e-14 6.01e-15 0.004 -0.43 250 0 BackB02
P04182 162.368 61.062 1.53e-16 1.20e-16 9.11e-17 0.003 -0.24 333 49.26829268292683 BackB02
P08109 162.464 62.139 1.93e-17 2.32e-17 2.25e-17 0.003 -0.55 333 0 BackB02
P06980 162.35 60.184 3.17e-15 2.14e-15 9.92e-16 0.003 -0.70 333 0 BackB02
P05618 162.401 60.908 8.36e-17 7.82e-17 5.44e-17 0.003 -0.61 333 0 BackB02
P09874 162.49 61.066 1.11e-15 8.43e-16 5.07e-16 0.003 -0.90 333 0 BackB02
P03373 162.611 61.771 9.95e-16 7.10e-16 4.16e-16 0.003 -0.91 333 0 BackB02
P06103 162.471 61.6 1.51e-16 1.31e-16 9.08e-17 0.004 -0.95 250 49.05558553696708 BackB02
P07870 162.698 62.822 6.12e-13 3.29e-13 1.51e-13 0.003 -0.85 333 0 BackB02
P10079 162.761 60.955 6.11e-17 5.50e-17 4.86e-17 0.003 -1.52 333 0 BackB02
P04157 162.827 61.185 1.52e-12 1.35e-12 8.60e-13 0.004 -1.62 250 0 BackB02
P08948 162.979 60.871 8.76e-13 1.01e-12 1.05e-12 0.003 -1.69 333 19.060599706437408 BackB02
P01123 163.016 60.022 4.46e-16 3.62e-16 2.29e-16 0.003 -1.30 333 0 BackB02
P04970 162.932 61.494 5.00e-15 2.89e-15 1.35e-15 0.003 -1.47 333 0 BackB02
P07914 162.969 60.718 1.81e-16 1.40e-16 1.05e-16 0.003 -1.55 333 49.16170903190913 BackB02
P03079 162.996 61.591 2.20e-15 1.38e-15 7.89e-16 0.003 -1.58 333 0 BackB02
P02409 163.177 60.229 2.36e-15 1.63e-15 8.38e-16 0.004 -1.43 250 0 BackB02
P04066 163.285 61.212 4.51e-16 3.35e-16 2.08e-16 0.003 -1.92 333 0 BackB02
P09104 163.404 61.321 2.12e-15 1.40e-15 7.41e-16 0.003 -2.01 333 0 BackB02
P07937 163.871 63.084 8.56e-15 4.43e-15 2.23e-15 0.003 -1.61 333 0 BackB02
P02522 164.235 60.462 8.17e-15 5.17e-15 2.44e-15 0.003 -2.24 333 0 BackB02
P00232 164.469 60.367 1.73e-16 1.40e-16 1.06e-16 0.003 -2.25 333 49.48285247686445 BackB02
P03811 164.567 61.843 2.48e-14 1.30e-14 5.82e-15 0.003 -2.39 333 0 BackB02
P05169 150.493 100.95 6.16e-17 5.68e-17 3.72e-17 0.003 -1.38 333 0 BackB04
P05353 150.769 91.527 7.75e-16 5.67e-16 2.80e-16 0.003 0.07 333 0 BackB04
P05519 151.19 93.627 9.86e-16 5.94e-16 2.97e-16 0.003 -2.01 333 0 BackB04
P02170 151.287 94.425 1.94e-15 1.01e-15 6.13e-16 0.003 -2.35 333 0 BackB04
P04358 151.392 96.278 1.96e-15 1.29e-15 7.27e-16 0.003 -2.37 333 0 BackB04
P08286 160.203 106.213 8.88e-17 5.31e-17 3.09e-17 0.003 1.02 333 0 BackB05
P08354 161.365 106.593 8.20e-17 6.27e-17 2.81e-17 0.003 -2.08 333 0 BackB05
P10308 168.603 47.548 7.84e-14 5.42e-14 2.80e-14 0.014 -0.97 71 0 BackC01
P07189 165.056 60.86 7.35e-13 3.54e-13 1.74e-13 0.005 -2.53 200 0 BackC02
P08813 166.405 64.306 5.44e-14 2.68e-14 1.19e-14 0.003 -2.18 333 0 BackC02
P03218 177.353 118.901 2.80e-12 1.38e-12 5.36e-13 0.005 1.34 200 0 BackC05
P05946 169.199 132.49 2.49e-13 1.48e-13 5.84e-14 0.006 2.45 167 0 BackC06
P06186 174.674 125.608 3.43e-15 2.24e-15 1.49e-15 0.008 1.43 125 0 BackC06
P09241 175.299 122.099 7.25e-12 7.42e-12 5.29e-12 0.005 1.61 200 0 BackC06
P05657 176.053 121.212 1.05e-17 1.31e-17 1.61e-17 0.005 1.67 200 0 BackC06
P03862 176.411 122.809 1.37e-14 8.83e-15 4.62e-15 0.004 1.54 250 0 BackC06
P02254 177.928 125.21 2.32e-16 2.29e-16 2.07e-16 0.004 0.98 250 0 BackC06
P08552 178.523 125.531 1.43e-14 9.83e-15 5.47e-15 0.005 0.81 200 0 BackC06
P05744 179.633 122.74 1.21e-15 1.16e-15 8.04e-16 0.005 1.22 200 50.360110803324105 BackC06
P02675 181.443 50.62 2.61e-12 1.35e-12 5.85e-13 0.013 -1.22 77 0 BackD01
P08024 186.394 56.07 1.94e-14 1.43e-14 9.18e-15 0.014 -1.35 71 0 BackD01
P06577 186.931 45.496 2.60e-15 2.89e-15 2.30e-15 0.015 -0.75 67 0 BackD01
P02101 184.025 77.961 5.33e-16 5.18e-16 5.68e-16 0.01 -1.29 100 0 BackD03
P02248 187.391 89.657 6.70e-16 6.41e-16 4.79e-16 0.004 1.63 250 50.027517886626306 BackD03
P08869 188.81 83.046 8.69e-17 5.25e-17 2.85e-17 0.01 -1.39 100 0 BackD03
P06621 181.386 118.912 5.53e-14 3.12e-14 1.47e-14 0.004 0.74 250 0 BackD05
P03288 181.855 117.649 4.77e-14 2.71e-14 1.33e-14 0.005 0.23 200 0 BackD05
P00126 182.705 118.877 2.58e-12 1.27e-12 5.15e-13 0.004 0.48 250 0 BackD05
P00903 182.892 117.287 1.09e-14 6.01e-15 3.40e-15 0.005 -0.03 200 0 BackD05
P03677 183.252 116.557 4.95e-17 5.68e-17 4.71e-17 0.004 -0.20 250 0 BackD05
P02478 183.65 115.238 4.18e-12 4.03e-12 2.99e-12 0.004 -0.46 250 0 BackD05
P01892 184.586 119.609 1.30e-16 1.45e-16 1.14e-16 0.004 0.06 250 0 BackD05
P00031 185.111 119.05 7.17e-17 8.04e-17 8.29e-17 0.004 -0.32 250 0 BackD05
P09292 185.545 118.822 1.55e-12 2.99e-12 4.14e-12 0.005 -0.25 200 0 BackD05
P02790 187.414 119.59 3.00e-15 2.20e-15 1.23e-15 0.005 -1.11 200 0 BackD05
P09677 187.624 119.774 4.43e-15 2.94e-15 1.81e-15 0.005 -1.17 200 0 BackD05
P08682 189.394 119.959 1.99e-13 9.18e-14 4.28e-14 0.004 -1.80 250 0 BackD05
P05023 190.755 119.299 4.82e-16 4.30e-16 3.08e-16 0.005 -2.00 200 49.16170903190913 BackD05
P00421 193.919 119.861 7.67e-15 5.47e-15 2.86e-15 0.003 -3.17 333 0 BackD05
P00311 181.964 122.397 1.03e-14 4.71e-15 2.83e-15 0.004 0.87 250 0 BackD06
P04197 182.114 121.694 1.40e-12 3.39e-12 4.10e-12 0.007 0.94 143 0 BackD06
P09739 182.655 122.362 4.52e-16 4.04e-16 2.80e-16 0.005 0.80 200 0 BackD06
P01509 182.794 126.556 4.91e-13 2.84e-13 1.15e-13 0.006 -0.09 167 0 BackD06
P03118 183.772 126.408 1.29e-15 1.15e-15 6.78e-16 0.003 -0.16 333 49.80821917808219 BackD06
P01140 183.956 123.075 1.88e-13 9.93e-14 4.88e-14 0.006 0.08 167 0 BackD06
P04212 184.097 122.157 3.80e-14 2.42e-14 1.11e-14 0.006 0.65 167 0 BackD06
P02316 184.11 123.754 7.08e-16 5.26e-16 3.92e-16 0.005 -0.12 200 48.949919224555735 BackD06
P00966 184.957 121.28 2.28e-16 2.39e-16 2.08e-16 0.003 0.37 333 0 BackD06
P00114 185.508 122.416 2.15e-17 3.06e-17 3.51e-17 0.005 -0.11 200 0 BackD06
P06408 185.938 120.294 2.73e-17 4.78e-17 4.23e-17 0.004 -0.37 250 0 BackD06
P02467 186.05 124.989 1.78e-16 2.15e-16 1.68e-16 0.006 -0.66 167 0 BackD06
P04709 186.356 121.728 5.07e-15 2.69e-15 1.62e-15 0.003 -0.39 333 0 BackD06
P00799 186.618 121.137 1.79e-15 1.46e-15 8.36e-16 0.005 -0.48 200 0 BackD06
P04978 186.792 122.563 1.06e-17 1.62e-17 2.54e-17 0.003 -0.78 333 0 BackD06
P05457 187.011 121.636 4.17e-16 3.72e-16 2.58e-16 0.004 -0.89 250 0 BackD06
P01656 187.026 121.682 1.75e-13 8.67e-14 4.15e-14 0.004 -0.76 250 0 BackD06
P07319 186.977 122.374 7.11e-16 5.88e-16 4.01e-16 0.006 -0.88 167 49.05558553696708 BackD06
P08371 187.066 121.675 4.89e-12 2.58e-12 1.33e-12 0.004 -0.98 250 0 BackD06
P02878 187.213 120.442 6.59e-16 5.94e-16 4.66e-16 0.004 -0.79 250 49.16170903190913 BackD06
P00899 187.082 121.803 1.23e-15 9.23e-16 6.55e-16 0.005 -1.20 200 50.13789299503585 BackD06
P02786 187.3 121.333 7.61e-16 7.03e-16 4.96e-16 0.006 -1.15 167 50.24875621890547 BackD06
P08519 187.244 128.607 1.62e-13 7.27e-14 2.67e-14 0.004 1.56 250 0 BackD06
P06081 187.225 121.965 1.91e-14 1.08e-14 5.90e-15 0.006 -1.06 167 0 BackD06
P03110 187.16 124.044 2.11e-14 1.14e-14 6.71e-15 0.005 -0.99 200 0 BackD06
P01995 187.499 121.482 7.58e-14 4.14e-14 1.61e-14 0.008 -1.22 125 0 BackD06
P03906 187.494 120.169 3.28e-17 4.44e-17 4.88e-17 0.004 -1.21 250 0 BackD06
P05876 187.721 121.39 1.61e-14 9.60e-15 5.93e-15 0.006 -1.53 167 0 BackD06
P08013 187.942 120.836 7.01e-16 7.17e-16 4.54e-16 0.003 -1.67 333 49.05558553696708 BackD06
P02364 187.908 121.497 2.84e-15 1.85e-15 1.30e-15 0.004 -1.83 250 0 BackD06
P08748 188.441 121.71 1.78e-16 9.20e-17 4.07e-17 0.005 -2.03 200 0 BackD06
P06607 188.476 121.148 2.91e-14 1.49e-14 6.73e-15 0.004 -1.82 250 0 BackD06
P00460 188.614 120.851 1.56e-13 6.77e-14 3.35e-14 0.003 -2.14 333 0 BackD06
P01346 188.838 122.414 1.93e-15 2.01e-15 9.88e-16 0.003 -1.92 333 0 BackD06
P02810 188.939 120.68 2.56e-14 1.52e-14 7.74e-15 0.006 -2.14 167 0 BackD06
P03783 189.161 123.817 3.61e-14 1.85e-14 1.06e-14 0.004 -1.78 250 0 BackD06
P04696 189.083 122.499 7.53e-12 5.01e-12 2.85e-12 0.005 -2.09 200 0 BackD06
P08301 189.223 123.091 2.16e-13 1.06e-13 5.39e-14 0.004 -2.15 250 0 BackD06
P06107 189.953 120.84 1.16e-15 9.14e-16 5.61e-16 0.004 -2.37 250 50.13789299503585 BackD06
P05897 190.121 123.031 2.60e-14 1.37e-14 7.10e-15 0.004 -2.44 250 0 BackD06
P09749 190.694 125.729 4.66e-14 2.43e-14 1.33e-14 0.005 -1.92 200 0 BackD06
P00223 190.924 122.297 1.12e-17 1.75e-17 2.25e-17 0.004 -2.73 250 0 BackD06
P07107 190.876 123.931 8.96e-15 4.59e-15 2.90e-15 0.004 -2.39 250 0 BackD06
P05628 191.17 124.456 5.60e-15 3.43e-15 1.76e-15 0.006 -2.36 167 0 BackD06
P07341 191.604 123.588 1.45e-15 1.24e-15 8.31e-16 0.006 -2.57 167 51.38496325607689 BackD06
P01726 192.049 121.494 1.54e-17 2.20e-17 2.65e-17 0.003 -2.77 333 0 BackD06
P02366 192.228 126.073 1.90e-15 1.58e-15 9.61e-16 0.005 -2.22 200 50.471960022209885 BackD06
P09525 192.622 125.197 1.54e-13 7.90e-14 3.49e-14 0.004 -2.45 250 0 BackD06
P01598 193.508 120.148 1.03e-15 8.71e-16 5.84e-16 0.004 -2.81 250 51.03874227961819 BackD06
P00161 193.807 134.04 3.50e-12 2.38e-12 1.64e-12 0.003 1.33 333 0 BackD06
P04282 194.027 123.279 1.84e-16 2.02e-16 1.81e-16 0.006 -3.16 167 0 BackD06
P10174 194.123 132.273 5.03e-15 3.27e-15 1.93e-15 0.003 1.16 333 0 BackD06
P10135 194.376 120.971 2.58e-15 2.10e-15 1.51e-15 0.005 -2.87 200 0 BackD06
P02095 194.81 132.714 1.47e-16 1.53e-16 1.30e-16 0.004 1.03 250 0 BackD06
P09352 203.256 69.758 2.34e-13 1.26e-13 6.90e-14 0.011 -1.77 91 0 BackE02
P01836 205.074 63.02 1.90e-11 9.77e-12 4.70e-12 0.011 -1.75 91 0 BackE02
P03952 196.381 86.966 2.33e-13 1.05e-13 5.93e-14 0.007 1.90 143 0 BackE03
P10296 200.566 89.103 4.17e-16 4.02e-16 3.25e-16 0.004 1.65 250 0 BackE03
P08737 207.29 89.514 5.78e-14 2.97e-14 1.62e-14 0.008 0.86 125 0 BackE03
P08946 204.817 90.081 4.15e-14 2.48e-14 9.58e-15 0.006 0.01 167 0 BackE04
P10147 207.399 92.15 1.62e-15 1.28e-15 8.12e-16 0.006 1.16 167 51.15362971299943 BackE04
P02418 196.87 119.9 6.53e-15 3.16e-15 2.35e-15 0.004 -3.11 250 0 BackE05
P00113 200.413 119.742 7.76e-14 4.35e-14 2.13e-14 0.004 -3.54 250 0 BackE05
P00588 202.691 118.448 2.45e-14 1.28e-14 6.27e-15 0.003 -3.31 333 0 BackE05
P02303 204.876 118.824 2.09e-14 1.45e-14 6.32e-15 0.006 1.14 167 0 BackE05
P02788 206.22 119.511 2.48e-12 1.21e-12 5.81e-13 0.004 -3.54 250 0 BackE05
P01682 195.275 123.176 3.77e-14 2.43e-14 1.04e-14 0.004 -3.25 250 0 BackE06
P03091 195.537 123.575 5.75e-15 4.25e-15 2.51e-15 0.006 -3.27 167 0 BackE06
P08633 196.302 133.872 1.02e-15 6.42e-16 4.98e-16 0.004 0.87 250 49.9176276771005 BackE06
P04739 196.302 121.473 1.27e-13 8.35e-14 2.80e-14 0.006 -3.36 167 0 BackE06
P05362 196.796 123.626 6.70e-15 4.84e-15 2.75e-15 0.005 -3.41 200 0 BackE06
P02288 197.078 120.536 2.05e-14 9.86e-15 5.37e-15 0.004 -3.29 250 0 BackE06
P05108 199.847 131.536 5.59e-14 3.07e-14 1.62e-14 0.004 -0.08 250 0 BackE06
P05975 200.394 128.503 1.88e-13 1.00e-13 3.59e-14 0.005 -3.27 200 0 BackE06
P07578 201.75 123.004 3.55e-15 2.75e-15 1.31e-15 0.005 -3.74 200 0 BackE06
P10348 201.87 125.356 7.09e-14 3.78e-14 1.97e-14 0.005 -3.76 200 0 BackE06
P08707 202.109 133.669 1.20e-17 1.95e-17 2.25e-17 0.003 -0.48 333 0 BackE06
P10357 206.208 127.095 2.65e-14 1.28e-14 9.12e-15 0.006 -3.86 167 0 BackE06
P02999 209.137 124.261 3.00e-13 1.27e-13 6.42e-14 0.006 1.89 167 0 BackE06
P01813 209.393 131.728 5.63e-17 6.76e-17 8.31e-17 0.004 -3.64 250 0 BackE06
