Name No.Members RadialVelocity
RC-X137-Y045-N027 27 -754.82
RC-X148-Y051-N033 33 -759.19
RC-X140-Y065-N038 38 -910.64
RC-X142-Y062-N038 38 -1068.85
RC-X146-Y064-N029 29 -236.66
RG-X136-Y097-N019 19 -1030.04
RC-X136-Y103-N026 26 -1112.4
RC-X139-Y102-N041 41 -1093.17
RC-X140-Y102-N037 37 -1124.66
RG-X147-Y091-N013 13 -874.31
RC-X149-Y091-N055 55 -309.54
RG-X138-Y112-N019 19 -1122.73
RC-X159-Y074-N043 43 -424.68
RC-X155-Y087-N022 22 -789.45
RG-X154-Y093-N018 18 -473.92
RG-X157-Y103-N005 5 -954.39
RC-X156-Y116-N033 33 -506.48
RC-X161-Y115-N025 25 -898.43
RC-X163-Y105-N022 22 -905.46
RG-X163-Y110-N015 15 -1108.6
RC-X163-Y109-N034 34 -950.36
RC-X156-Y123-N036 36 -682.92
RG-X160-Y132-N019 19 -978.93
RC-X161-Y128-N022 22 -568.32
RC-X161-Y121-N049 49 -862.07
RG-X164-Y125-N011 11 -802.62
RG-X167-Y045-N012 12 -725.32
RC-X178-Y066-N053 53 -680.09
RC-X180-Y114-N045 45 -963.37
RC-X170-Y133-N048 48 -490.78
RC-X182-Y053-N046 46 -186.84
RC-X187-Y050-N057 57 -679.48
RC-X189-Y047-N029 29 -867.78
RC-X187-Y074-N068 68 -718.49
RG-X187-Y065-N007 7 -276.61
RC-X191-Y079-N029 29 -902.48
RC-X189-Y105-N057 57 -781.8
RC-X183-Y109-N035 35 -909.14
RC-X191-Y126-N043 43 -992.86
RC-X205-Y056-N022 22 -436.1
RC-X206-Y053-N063 63 -790.46
RC-X204-Y072-N032 32 -808.46
RC-X195-Y085-N024 24 -697.13
RG-X196-Y075-N012 12 -1010.25
RC-X196-Y079-N048 48 -124.15
RC-X201-Y083-N038 38 -128.89
RC-X208-Y085-N030 30 -956.58
RC-X209-Y077-N038 38 -1015.23
RG-X196-Y103-N018 18 -537.87
