x y horizontal vertical theta
75 2 55 2 0
18.2 36.5 10 4 25
43.5 38.5 5 2 -5
76 34 22 7 -18
90 19.5 11 6 0
114.5 16 10 3 0
26 96 3.5 1.1 -17
30.9 114 4 1.3 -12
3.5 106.5 1.7 0.8 -75
118.5 72.2 6.5 5 50
162.5 62 5.5 3.5 135
150 92.5 5 3 135
161.3 106 2 1 -65
187 122 22 9 0
211.4 143.3 3.8 1 28
202.5 140 23 10 -10
231 147.8 4.7 1.2 61
258 155 25 8.1 -10
135.5 155 9 4 -13
291.5 151.5 1.6 1.16 98
245 85 7.2 1.7 150
284.4 134 4 4 0
261 127 7.5 2 162.5
352.8 124 4 2 10
330 90.5 4 1.5 0
310 125 8.5 2.5 -25
220 95 18 8 -5
250.8 94 6 1.1 -15
276.4 88.8 2.5 0.8 -37
277.6 98.5 6.5 4 0
246.6 106.5 4 1.3 -5
247.5 98.5 8 3.2 -3
226 44.5 2 1 0
236 51 9.8 5.5 -20
265 26.7 18 10 0
276.5 43 8 2.2 -20
272 56.5 5 3 0
326.5 15.5 17 6 0
328.5 26 10 4.5 10
354 20.8 2 1 -30
297.5 43.5 6 3.3 40
309 41.2 3.3 1.2 -5
294.5 55 19.1 3.5 30
351.5 50.3 6.57 1.5 20
358 51 3.2 1.5 0
342.5 56 6 5 -24
346.5 63.6 6 3 -10
262 78 8.3 4 25
261.5 91.5 6.5 3 20
275 115 4 2 0
279 120 3.6 2 -25
292.5 100 7 5 0
