Name Equatorial Polar BlueFlux GreenFlux RedFlux Size RadialVelocity Distance Location
F07766 136.469 45.024 3.62e-17 2.69e-17 1.8e-17 13.59 -754.82 287628.5171102662 BackA01
F07744 136.549 45.229 3.93e-17 2.77e-17 1.87e-17 9.74 -754.71 287586.6920152092 BackA01
F07761 136.625 45.46 3.58e-17 2.46e-17 1.66e-17 11.3 -754.85 287639.92395437264 BackA01
F07747 136.631 45.367 3.31e-17 2.19e-17 1.54e-17 13.29 -754.78 287613.3079847909 BackA01
F07755 136.632 45.398 3.69e-17 2.51e-17 1.71e-17 15.87 -754.77 287609.50570342207 BackA01
F07760 136.654 45.314 4.71e-17 3.27e-17 2.12e-17 13.97 -754.8 287620.9125475285 BackA01
F07748 136.67 45.312 3.04e-17 2.18e-17 1.48e-17 17.29 -755.04 287712.16730038024 BackA01
F07758 136.699 45.373 3.35e-17 2.26e-17 1.49e-17 10.33 -754.83 287632.319391635 BackA01
F07743 136.703 45.394 4.6e-17 3.19e-17 2.14e-17 16.36 -754.81 287624.7148288973 BackA01
F07763 136.713 45.361 2.4e-17 1.68e-17 1.07e-17 22.09 -754.85 287639.92395437264 BackA01
F07745 136.738 45.336 3.1e-17 2.17e-17 1.48e-17 9.25 -754.75 287601.90114068444 BackA01
F07749 136.743 45.447 3.42e-17 2.45e-17 1.61e-17 22.81 -754.8 287620.9125475285 BackA01
F07742 136.752 45.408 3.41e-17 2.51e-17 1.57e-17 18.56 -754.85 287639.92395437264 BackA01
F07740 136.766 45.395 3.53e-17 2.48e-17 1.67e-17 14.45 -754.62 287552.4714828897 BackA01
F07750 136.77 45.413 3.2e-17 2.29e-17 1.47e-17 18.19 -754.81 287624.7148288973 BackA01
F07756 136.772 45.422 2.94e-17 2.04e-17 1.29e-17 12.62 -754.73 287594.2965779468 BackA01
F07753 136.787 45.296 2.44e-17 1.72e-17 1.07e-17 13.44 -754.63 287556.27376425854 BackA01
F07751 136.791 45.35 3.37e-17 2.46e-17 1.55e-17 17.38 -754.67 287571.48288973386 BackA01
F07765 136.793 45.114 3.98e-17 2.69e-17 1.83e-17 13.88 -754.93 287670.34220532316 BackA01
F07752 136.797 45.132 4.11e-17 2.93e-17 1.81e-17 19.17 -754.81 287624.7148288973 BackA01
F07759 136.807 45.498 3.67e-17 2.6e-17 1.74e-17 13.49 -754.91 287662.73764258553 BackA01
F07757 136.828 45.377 3.25e-17 2.12e-17 1.4e-17 13.83 -754.99 287693.15589353617 BackA01
F07746 136.889 45.678 3.36e-17 2.53e-17 1.61e-17 14.23 -754.79 287617.1102661597 BackA01
F07754 136.908 45.288 3.27e-17 2.45e-17 1.63e-17 19.48 -754.7 287582.88973384036 BackA01
F07762 137.003 45.321 4.51e-17 3.22e-17 2.03e-17 10.83 -754.66 287567.68060836504 BackA01
F07764 137.184 45.425 3.84e-17 2.64e-17 1.74e-17 16.65 -754.72 287590.494296578 BackA01
F07741 137.638 45.568 3.22e-17 2.23e-17 1.49e-17 10.87 -754.77 287609.50570342207 BackA01
F04569 147.413 50.728 3.02e-17 1.91e-17 1.36e-17 13.68 -759.19 289290.1140684411 BackA01
F04564 147.535 51.289 3.95e-17 2.83e-17 1.82e-17 12.74 -759.22 289301.52091254754 BackA01
F04561 147.543 50.998 3.62e-17 2.42e-17 1.59e-17 22.05 -759.18 289286.3117870722 BackA01
F04545 147.561 51.074 3.88e-17 2.72e-17 1.63e-17 22.38 -759.2 289293.9163498099 BackA01
F04565 147.594 51.257 3.97e-17 2.87e-17 1.77e-17 9.11 -759.3 289331.9391634981 BackA01
F04549 147.649 51.323 3.93e-17 2.73e-17 1.74e-17 19.9 -759.58 289438.4030418251 BackA01
F04543 147.698 51.094 3.11e-17 2.14e-17 1.46e-17 12.97 -759.03 289229.27756653994 BackA01
F04550 147.7 51.154 2.84e-17 2.1e-17 1.35e-17 15.96 -759.35 289350.95057034225 BackA01
F04553 147.705 51.104 2.83e-17 2.15e-17 1.29e-17 13.62 -759.26 289316.7300380228 BackA01
F04562 147.708 51.074 4.74e-17 3.11e-17 2.1e-17 5.93 -759.24 289309.12547528517 BackA01
F04563 147.708 51.046 3.81e-17 2.71e-17 1.8e-17 8.76 -759.2 289293.9163498099 BackA01
F04542 147.717 51.052 3.13e-17 2.13e-17 1.52e-17 13.84 -759.06 289240.6844106464 BackA01
F04567 147.72 51.041 2.03e-17 1.38e-17 9.17e-18 19.43 -759.06 289240.6844106464 BackA01
F04556 147.723 51.031 2.47e-17 1.68e-17 1.13e-17 18.84 -759.43 289381.36882129277 BackA01
F04568 147.723 51.08 2.74e-17 1.82e-17 1.19e-17 11.93 -759.37 289358.5551330799 BackA01
F04559 147.725 51.128 3.46e-17 2.33e-17 1.67e-17 14.69 -759.26 289316.7300380228 BackA01
F04555 147.728 51.096 3.13e-17 2.03e-17 1.35e-17 5.05 -759.22 289301.52091254754 BackA01
F04547 147.728 51.101 2.92e-17 2.13e-17 1.32e-17 15.69 -759.2 289293.9163498099 BackA01
F04557 147.73 51.119 3.92e-17 2.67e-17 1.76e-17 14.37 -759.34 289347.14828897343 BackA01
F04560 147.743 51.088 3.51e-17 2.48e-17 1.53e-17 11.51 -759.31 289335.74144486693 BackA01
F04538 147.746 51.091 3.23e-17 2.23e-17 1.42e-17 13.07 -759.3 289331.9391634981 BackA01
F04539 147.753 51.049 2.94e-17 2.06e-17 1.3e-17 16.47 -759.19 289290.1140684411 BackA01
F04552 147.759 51.048 2.65e-17 1.86e-17 1.2e-17 14.16 -759.25 289312.927756654 BackA01
F04570 147.76 51.069 4.02e-17 2.69e-17 1.75e-17 13.35 -759.23 289305.32319391635 BackA01
F04566 147.761 50.949 4.11e-17 2.77e-17 1.74e-17 14.95 -759.35 289350.95057034225 BackA01
F04558 147.762 51.15 2.74e-17 2.04e-17 1.25e-17 12.77 -759.3 289331.9391634981 BackA01
F04554 147.774 51.075 3.23e-17 2.3e-17 1.49e-17 11.77 -759.21 289297.7186311787 BackA01
F04546 147.809 51.127 2.97e-17 2.14e-17 1.36e-17 16.16 -759.27 289320.53231939167 BackA01
F04544 147.812 51.245 4.39e-17 2.92e-17 2.06e-17 22.46 -759.29 289328.1368821293 BackA01
F04541 147.849 51.071 3.55e-17 2.56e-17 1.61e-17 10.05 -759.43 289381.36882129277 BackA01
F04548 147.887 50.91 3.51e-17 2.35e-17 1.63e-17 8.52 -759.41 289373.76425855514 BackA01
F04540 147.993 51.219 3.98e-17 2.68e-17 1.75e-17 18.47 -759.24 289309.12547528517 BackA01
F04551 148.741 51.203 3.03e-17 2.11e-17 1.36e-17 23.0 -759.26 289316.7300380228 BackA01
F02347 139.246 65.403 2.25e-17 1.63e-17 1.29e-17 9.51 -910.64 346875.6653992396 BackA02
F02342 139.572 64.929 1.59e-17 1.26e-17 8.43e-18 13.1 -910.54 346837.6425855513 BackA02
F02343 139.645 64.67 2.54e-17 1.55e-17 1.02e-17 15.16 -910.67 346887.072243346 BackA02
F02348 139.648 64.602 2.17e-17 1.62e-17 1.12e-17 12.69 -910.69 346894.6768060837 BackA02
F02318 139.649 64.93 2.04e-17 1.43e-17 8.49e-18 8.75 -910.67 346887.072243346 BackA02
F02326 139.653 64.591 2.5e-17 1.8e-17 1.37e-17 7.75 -910.5 346822.43346007605 BackA02
F02336 139.669 64.603 2.34e-17 1.43e-17 1.06e-17 11.75 -910.73 346909.88593155897 BackA02
F02324 139.677 64.703 2.08e-17 1.38e-17 9.07e-18 14.41 -910.71 346902.28136882134 BackA02
F02323 139.681 64.831 2.45e-17 1.84e-17 1.36e-17 12.62 -910.76 346921.2927756654 BackA02
F02346 139.685 64.637 2.76e-17 2.14e-17 1.16e-17 10.65 -910.63 346871.86311787076 BackA02
F02334 139.694 64.842 3.01e-17 2.17e-17 1.36e-17 7.92 -910.65 346879.4676806084 BackA02
F02349 139.699 64.728 2.48e-17 1.67e-17 9.6e-18 12.99 -910.54 346837.6425855513 BackA02
F02340 139.709 64.675 2.15e-17 1.46e-17 9.44e-18 15.65 -910.62 346868.06083650194 BackA02
F02350 139.745 64.82 2.51e-17 1.69e-17 1.47e-17 17.0 -910.53 346833.8403041825 BackA02
F02345 139.75 64.76 2.17e-17 1.55e-17 1.04e-17 10.41 -910.73 346909.88593155897 BackA02
F02316 139.752 64.848 1.84e-17 1.38e-17 7.04e-18 14.27 -910.69 346894.6768060837 BackA02
F02317 139.757 64.704 2.01e-17 1.53e-17 8.95e-18 10.64 -910.63 346871.86311787076 BackA02
F02325 139.76 64.753 2.6e-17 1.57e-17 1.15e-17 13.88 -910.74 346913.6882129278 BackA02
F02320 139.761 64.958 1.39e-17 1.09e-17 8.1e-18 10.83 -910.58 346852.8517110266 BackA02
F02332 139.762 64.865 2.32e-17 1.78e-17 1.07e-17 11.29 -910.79 346932.69961977185 BackA02
F02331 139.765 64.79 2.26e-17 1.66e-17 1.27e-17 13.34 -910.61 346864.2585551331 BackA02
F02319 139.768 64.786 2.55e-17 1.88e-17 1.17e-17 15.26 -910.69 346894.6768060837 BackA02
F02315 139.777 64.776 2.96e-17 2.31e-17 1.31e-17 17.03 -910.67 346887.072243346 BackA02
F02341 139.785 64.797 2.39e-17 1.95e-17 1.24e-17 14.04 -910.59 346856.65399239544 BackA02
F02333 139.796 64.725 2.82e-17 1.77e-17 1.36e-17 14.64 -910.56 346845.247148289 BackA02
F02328 139.8 64.837 2.34e-17 1.69e-17 1.16e-17 15.47 -910.79 346932.69961977185 BackA02
F02321 139.812 64.948 2.56e-17 1.91e-17 1.13e-17 18.11 -910.61 346864.2585551331 BackA02
F02335 139.814 64.832 2.45e-17 1.82e-17 1.01e-17 12.78 -910.67 346887.072243346 BackA02
