Name Equatorial Polar BlueFlux GreenFlux RedFlux Parallax RadialVelocity Distance Periodicity PeriodUnc Location
P00892 135.946 63.916 2.74e-13 1.44e-13 7.72e-14 0.01 0.30 100 0 0 BackA02
P02561 139.448 81.886 6.76e-17 9.27e-17 9.42e-17 0.006 0.35 167 0 0 BackA03
P01212 143.732 81.468 7.73e-17 6.68e-17 4.75e-17 0.001 2.76 undef 50.13789299503585 0.09840887174254567 BackA03
P06214 145.097 89.411 1.12e-14 6.23e-15 2.59e-15 0.002 2.98 undef 0 0 BackA03
P06524 146.142 89.082 1.83e-14 9.21e-15 4.18e-15 0.0 3.05 undef 0 0 BackA03
P08741 146.943 89.478 3.79e-16 2.76e-16 1.46e-16 0.001 3.01 undef 0 0 BackA03
P09167 147.541 89.011 5.75e-16 3.58e-16 2.16e-16 0.001 2.70 undef 0 0 BackA03
P02347 147.696 89.196 1.32e-15 8.11e-16 4.34e-16 0.003 2.96 undef 0 0 BackA03
P08452 146.672 90.002 2.11e-16 1.59e-16 1.14e-16 0.001 3.02 undef 0 0 BackA04
P06921 147.255 91.112 1.13e-15 7.86e-16 4.41e-16 0.003 2.32 undef 0 0 BackA04
P10222 147.897 92.377 3.82e-16 2.77e-16 1.63e-16 0.001 1.42 undef 0 0 BackA04
P02064 148.0 92.101 1.70e-15 8.77e-16 5.01e-16 0.002 1.60 undef 0 0 BackA04
P00701 148.151 91.03 6.30e-17 5.90e-17 4.32e-17 0.001 2.31 undef 49.59083469721767 0.2594923854468702 BackA04
P09914 148.183 90.835 4.31e-13 2.28e-13 1.03e-13 0.003 2.49 undef 0 0 BackA04
P06505 148.311 93.358 3.42e-17 3.38e-17 2.52e-17 0.003 0.66 undef 0 0 BackA04
P05467 148.465 90.727 8.82e-15 4.40e-15 2.15e-15 0.003 2.50 undef 0 0 BackA04
P02494 148.705 93.889 3.02e-14 1.42e-14 6.18e-15 0.001 0.16 undef 0 0 BackA04
P00680 148.894 92.512 2.68e-14 1.23e-14 5.13e-15 0.001 1.31 undef 0 0 BackA04
P06359 148.871 90.883 1.03e-17 1.38e-17 1.04e-17 0.001 2.13 undef 0 0 BackA04
P02296 148.945 91.224 1.09e-15 6.94e-16 3.82e-16 0.001 2.22 undef 0 0 BackA04
P04097 148.994 91.024 2.95e-15 1.82e-15 8.34e-16 0.002 2.14 undef 0 0 BackA04
P08299 148.904 93.021 1.42e-15 9.05e-16 4.64e-16 0.001 0.63 undef 0 0 BackA04
P10170 149.045 91.452 1.91e-16 1.49e-16 9.95e-17 0.001 2.18 undef 0 0 BackA04
P07750 149.15 93.434 3.31e-16 2.71e-16 1.51e-16 0.001 0.15 undef 0 0 BackA04
P00333 149.072 92.377 9.96e-15 5.16e-15 2.36e-15 0.002 1.64 undef 0 0 BackA04
P02238 149.343 93.214 4.18e-16 2.99e-16 1.79e-16 0.003 0.57 undef 0 0 BackA04
P01808 149.223 90.496 6.06e-17 4.90e-17 4.04e-17 0.002 1.70 undef 48.949919224555735 0.12663074415952924 BackA04
