CameraDirection X Y PhotonsDetected
Back -24.604 -33.183 654
Back -22.435 -12.889 345
Left -19.980 7.299 1420
Front 39.846 -29.784 704
Front 42.399 -7.020 435
Down 0.179 20.562 286
Back 2.355 36.457 9352
Right -35.541 -9.334 397
Right 30.741 -8.657 512
Left -18.579 -10.511 1679
Up 44.101 8.070 465
Left 38.634 -43.841 339
Up -38.491 -8.667 1118
Up -34.180 -23.252 440
Back -23.543 -26.052 1194
Right -21.405 -30.261 538
Right 41.842 -28.012 978
Up -41.476 -35.022 2175
Up -29.329 16.237 663
Front 15.830 -2.428 575
Down 0.564 17.395 394
Up -43.642 -12.639 572
Back -13.456 45.146 624
Down 2.847 -23.928 290
Back 6.945 -31.793 1222634590
Front 39.599 -29.786 716
Up -12.640 -15.158 773
Front 1.514 -1.134 499
Down 26.413 -10.002 325
Left 6.945 -8.561 587128976
Up -40.068 -15.028 504
Up -28.757 16.281 569
Up 40.061 -4.293 731
Right -20.788 -30.102 564
Down -0.006 17.566 431
Up -18.357 -1.964 2381
Right -18.794 11.182 404
Up -25.562 -6.940 1329
Up -42.209 -25.799 1020
Down 8.736 -0.274 4475
Front -9.631 -7.513 466
Down 27.276 -41.280 1677
Down -39.521 18.357 512
Front 11.160 39.701 291
Down 27.782 -38.361 571
Left -36.570 21.548 677
Down 36.318 8.048 1279
Front 36.276 41.636 520
Back 11.053 -35.786 335
Front -37.460 -34.165 356
Down 31.056 22.322 480
Up 43.980 7.973 404
